,Date,Title,Content,Category,Image_link,Article_link
0,['24/01/2020'],"I may have missed out on opportunities by not attending parties, but I don’t regret that: Suniel Shetty","Bollywood actor Suniel Shetty was on a self-imposed break for a few years — a time well-spent with his father, whom he lost thereafter — until his recent comeback with the multilingual Pailwaan , alongside Kichcha Sudeep . His return to films has also heralded in a new phase in his career, as he branches out into other industries. He’s already done Darbar with superstar Rajinikanth and is part of Mohanlal’s Malayalam film Marakkar as well. Amid all this excitement, Suniel made a quick trip to Bengaluru to be a part of a sports injury conclave, during which we caught up with him for a quick chat on films, fitness and fashion, and also tells us why he thinks Bengaluru has changed. Excerpts…I have been a proud father right from the day they began school. They were well-behaved, humble, respectful students. Mana (his wife) has brought them up beautifully. Ahan and Athiya grew up around their grandparents, and have learnt good values amid love and affection. What I am happy about is that they chose their careers and trained for it.A lot of people had expressed their concern over girls being in films (referring to Athiya). But I believe that as long as you are brave and confident, you can handle anything in the world. I remember being asked at a press meet once, “The film industry is such a shady place. What advice do you give your daughter about it?” I replied, “I don’t give any advice to my daughter at all. Instead, I advise my son to treat women well.” If everyone does that, there is no cause for concern.There is no such trend in Bollywood, but when a team is working together, there is a tendency to meet up. But I stay further away from the city, and the journey back home is long and tiring. Also, I am very lazy, so I often skip going to such get-togethers. Once my shoot is done, I head back home and spend time with my family. On Saturdays, I usually catch up with my childhood friends. I have some amazing friends in the industry as well. I meet them whenever there is time.I may have missed out on a few opportunities by not attending parties, but I don’t regret that. Sometimes, you need to make a choice in life, and I choose family over anything else. In my career, there was a four-year period when I did not work, but those were also the most beautiful four years of my life, because I spent time with those whom I love the most. And during that time, the media did not forget me. When a certain movie has done well and you ask me how I feel, I would say that I am feeling good. But in a movie like Darbar, I know that it has done well mainly because of Rajinikanth sir. Similarly, Pailwaan was a big hit, and the credit for its success goes mainly to Kichcha (referring to Sudeep). I accept that. I think I am in the happiest phase of my life. I respect everyone, but I am not insecure.I sport a man bun, because I have hair on my head (laughs). If you are a sportsperson or an actor, you need to have your own style statement. There were times when we dictated fashion, but now fashion dictates us. The brands tell you what to wear, how to walk. I am old school, and I’ll stay that way. I will wear my hair and my beard the way I like it.Actors speak up on matters that we feel need to be talked aloud. Many artistes even voice their opinions through their films/craft. Having said that, things do get a little taxing, sometimes; expecting actors to call out every time doesn’t make sense.Hera Pheri 3 is in the making. There are certain issues regarding the film, but all three of us — Akshay Kumar Paresh Rawal and myself — are working towards making it happen. There’s also an American film, titled Fraudsters. The story is inspired by a massive call centre scam that happened in India.",entertainment,"https://static.toiimg.com/thumb/msid-73548414,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-204570/73548414.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/i-may-have-missed-out-on-opportunities-by-not-attending-parties-but-i-dont-regret-that-suniel-shetty/articleshow/73548414.cms
1,['24/01/2020'],I am writing something for Telugu fans at present: Siddharth,"Given that he first tasted financial success in Tollywood , with Nuvvostanante Nenoddantana Siddharth has quite a following in the Telugu-speaking states. But the actor hasn’t done a straight Telugu film for the past six to seven years. Quiz him if he intentionally decided to focus on Tamil films during these years and he says, “I’d be lying if I say I planned all this. After Rang De Basanti, I was asked why I hadn’t moved to Bombay.,” he recalls, adding, “I was already in Hyderabad then. And I can’t live in two cities.After that, I moved to Chennai, and I’m being asked why not be in Hyderabad as well. I want to work in different languages, but I want to be in one city only.”So, is there any plan for a Telugu project in the near future? “I’m currently writing something for Telugu fans, and there are definitely plans to do films in Telugu. In fact, my current films are all tailor-made to work in both Tamil and Telugu,” says Siddharth, adding that his Telugu audiences are wonderful. I realise I have a beautiful audience there to whom I haven’t made a film for in some time. But if you look at the long game, all these are inconsequential,” the actor adds.There will come one film that will change things. I started in Tamil, then went to Telugu and worked there for seven years without coming to Tamil. Then, I came to Tamil and have been doing films here for seven years without going to Andhra. I don’t know what’s going to happen next. Let’s see,” he says.",entertainment,"https://static.toiimg.com/thumb/msid-73552664,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-936136/73552664.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/i-am-writing-something-for-telugu-fans-at-present-siddharth/articleshow/73552664.cms
2,['24/01/2020'],Anita Hassanandani turns naagin again,"Actress Anita Hassanandani , who played Vish in the previous edition of ' Naagin ', will reprise her role in the current season. She says, “The supernatural genre has always excited me. Most people around you might say that the genre does not excite them, but in my family, everyone watches the show. During my travels, I meet a lot of people, especially kids, who enjoy watching shows that revolve around snakes and supernatural elements. I don’t think I can ever get tired of this genre.”Anita will sport a new look for the show. She says, “This time around, I will wear leather blouses with my naagin costume. Getting ready for this character takes almost two hours, which is more than the time spent on getting ready for social dramas.”Talking about her role, she says, “I am playing the antagonist and my character has many shades. I have always enjoyed playing negative roles.”",tv,"https://static.toiimg.com/thumb/msid-73552085,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-61909/73552085.jpg",http://timesofindia.indiatimes.com//tv/news/hindi/anita-hassanandani-turns-naagin-again/articleshow/73552128.cms
3,['24/01/2020'],Bengaluru plays host to a glamorous launch,"Bengaluru’s IT Hub witnessed the launch of the second Hard Rock Cafe in the city at Park Square Mall, Whitefield on January 18. Hosted by Jitu Virwani and co-founder and managing director of JSM Corporation Pvt. Ltd., Sanjay Mahtani, it was a night of glitz and glamour . “We are thrilled to add another iconic cafe in Bengaluru with Hard Rock Cafe Whitefield that is sure to be a must-visit destination for locals and tourists alike, who will be thrilled to walk through the doors to enjoy the classic Hard Rock vibe, legendary dining experience and feast their eyes on iconic memorabilia including Bon Jovi’s guitar and Eric Clapton’s suit,” said Sanjay.",entertainment,"https://static.toiimg.com/thumb/msid-73549200,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-146534/73549200.jpg",http://timesofindia.indiatimes.com//entertainment/events/bangalore/bengaluru-plays-host-to-a-glamorous-launch/articleshow/73549200.cms
4,['24/01/2020'],My kids will pick the right partners: Suniel Shetty,"On his recent visit to Bengaluru, Suniel was asked about his kids’ love lives, specifically his daughter Athiya’s, who is reportedly dating cricketer KL Rahul . Suniel responded, neither admitting or denying, “See, I know both my kids will pick the right partners who will complement and support them.” Recently, on social media, Athiya had responded to Rahul’s recent post with a heart emoji. Prior to that, Rahul had shared a picture of him and Athiya (when on a vacation), at a phone booth, with the caption, “Hello, devi prasad....?” — a reference to Suniel’s popular film Hera Pheri . Suniel had also responded to the post with laughing emojis. We stan this camaraderie!",entertainment,"https://static.toiimg.com/thumb/msid-73548872,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-144367/73548872.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/my-kids-will-pick-the-right-partners-suniel-shetty/articleshow/73548872.cms
5,['24/01/2020'],"Filmmaker Rajasenan says, the brilliance of writer Raghunath Paleri and actors like Jagathy made the dialogues memorable","I had finished Ayalathe Adheham and was waiting for a good project.That’s when Jayaram told me that lyricist Gireesh Puthancherry has the thread of an interesting story with him. When I enquired about it, I came to know that producer Goodnight Mohan has already bought it from him. I called him, he said, “I had presented it to many, but the film didn’t get made. If you are interested, you can buy it from my office.” I went to his office and bought the four-page thread, which was interesting.I had an offer from Mani C Kappan and told him I have a story. By then, I developed this four-pager into a 15-page story. I asked Raghunath Paleri also to join us and all of us liked it. We further developed it in Chennai, and that’s when some of the important characters of the story were born, and we named the house, Meleparambil. Raghu named it. I asked him, why not add Aanveedu also to it? When I called Mani C Kappan and told him the title, he said it sounds different and nice, lets finalise it.Then we started with the casting. Generally, one would first think of someone like Thilakan for the role of the father in the family. But from the time we were discussing the story, I had the face of Narendra Prasad sir in my mind. When I called him to talk about it, he said, “I am doing villain roles now. How will such a father’s role be suddenly accepted? Moreover, there is a humour element too.” I told him, “That’s what makes it different”, and he agreed to play the role.As for the evergreen dialogues in the film, from ‘Velaikkariyayirunthalum Neeyen Mohavalli,’ ‘Ente garbham inganalla’ to ‘Amme pant pant,’ the credit goes to scriptwriter Raghunath Paleri. He is someone who goes deep into the psyche of characters and writes poetic dialogues and conversations. When talented artistes like Jayaram, Narendra Prasad and Jagathy Sreekumar deliver it, they also gain a special, memorable personality of their own. That’s why so many dialogues of one film is still used by people. There are certain scenes which has Raghu’s signature, like the one in which Jayaram tells Shobana, “Ingane okke aakumennu arinjirunnenkil nee ardharathriyil kondu vanna kuthira vandiyil njan kerillayirunnu”. It indirectly says, wrapped in humour, that it’s a cross that he took on his shoulders, but with wonderful cinematic impact.While reading the script, the dialogue that made me laugh the most was the one Jayaram says to Shobana, ‘Nee njan Gulf il aanennu vicharichal mathi’. The time in which this film was made, it had a lot of weight. It wasn’t a time in which Gulf Malayalis took their family to the Middle East and many experienced a kind of longing and waiting period of two to three years to meet.On the location, we laughed the most when Jagathy performed the ‘Amma pant pant’ scene and the one in which he runs into the water and says, ‘Baakki nanaju poyi.’The location was Kunnathuveedu in Vaniyanpuram, Ottappalam. Film’s like Kamal’s Peruvannapurathe Viseshangal were also shot there earlier. But, we also attached a veranda to it, as many important scenes like the climax happens there.Innocent was supposed to play Janardhanan’s role in the film, initially. It’s when we started shoot in Pollachi that Innocent called me saying he got another film as a hero, around the same time and should be excused from this project. We needed a replacement in nine days. That’s when I remembered the face of Janardhanan, who was on a train with me a few days ago. I could immediately see him as someone who is aged and unmarried. When I called to tell Raghu about the same, he said, “I think Janardhanan would be a better fit, than someone with a Thrissur accent amid characters speaking a mid-Travancore dialect.”The Tamil portions were written first by Raghu and later translated to Tamil by K Balachander’s associate Bhanu Das, who knew the language well. There is a scene in which Pavizham’s dad Gounder tells Harikrishnan that though he doesn’t know how Harikrishnan’s family would accept Pavizham, he has accepted them. He says the dialogue, ‘Orothikku oruvanthaan enpathu Tamizh panpaadu,’ which means, ‘One man for a woman is the Tamil culture’. I feel not even Tamil movies would they have used one sentence to summarise the Tamil culture in this manner.",entertainment,"https://static.toiimg.com/thumb/msid-73549063,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-439303/73549063.jpg",http://timesofindia.indiatimes.com//entertainment/malayalam/movies/news/filmmaker-rajasenan-says-the-brilliance-of-writer-raghunath-paleri-and-actors-like-jagathy-made-the-dialogues-memorable/articleshow/73548792.cms
6,['24/01/2020'],I can commit to a film only if a script excites me: Aadhi,"Aadhi, who was last seen in U Turn, is eagerly looking forward to another bilingual, titled Clap . Directed by Prithvi Aditya, the film will have the actor in dual appearances — that of a sprinter and of a coach. The sports drama will have Aakanksha Singh and Krisha Kurup among others playing pivotal roles in it and music by none other than Ilaiyaraaja. Aadhi says he feels gratified to have landed a role which provides him ample scope to perform.He explains, “It’s been a while since I have played the role of an intriguing protagonist in a Tamil film . I think Clap is the film which required me to undergo a makeover after Mirugam and Aravaan in Tamil. I often come across people who ask me why I take some time between each projects. I think I can commit a film only if the script excites me. When I come across a convincing script, I immediately say “yes” to it. When it comes to choosing a script, I follow my gut feeling. I’m currently doing three movies simultaneously.”",entertainment,"https://static.toiimg.com/thumb/msid-73552724,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-830603/73552724.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/i-can-commit-to-a-film-only-if-a-script-excites-me-aadhi/articleshow/73552724.cms
7,['24/01/2020'],Bengaluru plays host to a glamorous launch,"This story is from January 24, 2020

Bengaluru’s IT Hub witnessed the launch of the second Hard Rock Cafe in the city at Park Square Mall, Whitefield on January 18. Hosted by Jitu Virwani and co-founder and managing director of JSM Corporation Pvt. Ltd., Sanjay Mahtani, it was a night of glitz and glamour . “We are thrilled to add another iconic cafe in Bengaluru with Hard Rock Cafe Whitefield that is sure to be a must-visit destination for locals and tourists alike, who will be thrilled to walk through the doors to enjoy the classic Hard Rock vibe, legendary dining experience and feast their eyes on iconic memorabilia including Bon Jovi’s guitar and Eric Clapton’s suit,” said Sanjay.",bengaluru,"https://static.toiimg.com/thumb/msid-,width-1070,height-580,imgsize-,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/bengaluru-plays-host-to-a-glamorous-launch/articleshow/73549243.cms
8,['24/01/2020'],An actor’s career is about ups and downs: Sindhu Loknath,"In an industry where actors are not only expected to dole out at least one film a year, but also be ‘busy’ with work all the time, as out of sight can be out of mind, Sindhu Loknath ’s journey of working on Kaanadante Maayavadanu has spanned over three years. She has not had a release in this time, but when she was not shooting for this film, she was busy starring in a musical (she played Charlie Chaplin in a performance last year), and globe-trotting. As she is set to bounce back from this ‘break’, Sindhu chats with us about her journey in films, the need to stay positive through tough times, and why despite the long wait, this movie will be a benchmark in her career...I started shooting for this film in 2016, and due to the untimely death of Raghava Uday , the antagonist in the film who drowned on the set of Masti Gudi, the project was on hold for a while. It was quite a jolt for all of us. Nearly 80% of the movie had been shot and only the climax remained, so we were in a fix as to how to move ahead. The makers then decided to reshoot the second half with Bhajarangi Loki replacing Uday. And few new elements were added — we shot a song in Kashmir, and elaborate sets were erected for some sequences, all of which was time consuming. After that, of course, the VFX work also took time. People believe that actors need to be constantly busy, but we have ups and downs too. Sometimes we have packed, back-to-back schedules and other times we have months of break. An actor’s life does not have a set routine and after nine years in the industry, I am used to the nature of work. Having said that, the past few years have also been an emotional time, because having a project stall just short of the finish line and then struggling to release it, after completing it eventually, can take a toll on you. It has not been easy, but I try to stay positive and believe that there is a lot more in store for me. I am really glad that the movie is finally ready for release and hope this paves the way for more opportunities.The movie is a fantasy love story between a ghost and a human being and is a commercial entertainer. It was a pleasure to work with this team. I have collaborated with Vikas before and since he was involved with Kaanadante Maayavadanu from the scripting stage, he knew the subject inside out and would help me out with scenes. I have known Raj, the director, from our days on the set of Lifeu Ishtene . He was a part of Yogaraj Bhat sir’s team. Raj loves fantasy films, and that’s the genre this movie falls in.2020 has just begun and I hope the year has good things in store for me. Right after Kaanadante Maayavadanu, I have another film and a musical to look forward to. Apart from that, I also have my solo trips; I am soon heading to Bhutan. Travel keeps me calm. Whenever I feel low, I head out on a trip. It helps me find peace and discover new cultures and places.",entertainment,"https://static.toiimg.com/thumb/msid-73548148,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-228424/73548148.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/people-need-to-understand-that-an-actors-career-is-about-ups-and-downs/articleshow/73548148.cms
9,['24/01/2020'],Bengaluru has changed a lot: Suniel Shetty,"Suniel Shetty, who was recently in Bengaluru for the Global Sports Injury Conclave , answered some quirky questions in a fun session with BT. Excerpts:When I try to crack a joke, Athiya will, at least, respond to it. Ahan rolls his eyes and walks away. Perhaps, it’s the generation gap. Jackie Shroff has always been my style icon. I think Dada (referring to Jackie) is still the most good-looking man on earth. It is not only about the clothes he wears, but also the way he carries it off.Cheat-day dishes are whatever my mother cooks on a Sunday. Fish rawa fry and Kori Rotti (both Mangalurean delicacies) are my absolute favourites.During the initial phase of my career, I have shot multiple films in the city. I have amazing memories of this place — the roads we travelled, the hotels we stayed in, the locales we shot at. Bengaluru has also been the ‘big city’, where I used to come to meet my extended family. But, a lot has changed over the past decades. Although, Bengaluru is known for its pleasant weather, there have been times when I felt that Mumbai was cooler than Bengaluru. Also, the traffic here is insane and I dread coming to the city now.",entertainment,"https://static.toiimg.com/thumb/msid-73548577,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-77816/73548577.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/bengaluru-has-changed-a-lot-suniel-shetty/articleshow/73548577.cms
