,Date,Title,Content,Category,Image_link,Article_link
0,2020/02/21,Dream Catcher claims Madras Race Club Trophy,"Kishan Thomas-trained Dream Catcher (Chetan G up) won the Madras Race Club Trophy, the feature event of the races held here on Friday (Feb. 21). The winner is owned by Mr. Chitturi Krishna Kannaiah.

1. CHARMADI PLATE (Div. II), (1,400m), rated 00 to 20, 5-y-o & over: RANCHO (Arshad) 1, Noble Splendor (Sai Vamshi) 2, Fierce Fighter (A. Imran) 3 and Phoenix Reached (Jagadeesh) 4. Not run: Prime Star. 2-3/4, 1-1/4 and 2-1/2. 1m, 28.17s. ₹61 (w), 19, 17 and 15 (p), SHP: 47, THP: 46, FP: 735, Q: 249, Trinella: 2,234 and 1,010, Exacta: 5,704 and 1,726. Favourite: Fierce Fighter. Owner: Mr. Mahinder Kumar. Trainer: Imtiaz Khan.

2. KATEEL PLATE (1,200m), maiden 3-y-o only, (Terms): PAPPARAZI (Antony) 1, Glenary (S. Hussain) 2, Redoubtable (Jagadeesh) 3 and Dream Chaser (Kiran Rai) 4. Not run: Katana. 4-1/2, 3/4 and 5-1/2. 1m, 13.22s. ₹35 (w), 12, 79 and 18 (p), SHP: 266, THP: 37, FP: 1,240, Q: 931, Trinella: 7,575 and 2,597, Exacta: 55,782 (carried over). Favourite: Amalfi Sunrise. Owner: Mr. S. Pathy. Trainer: Arjun Mangalorkar.

3. BYERLY TURK TROPHY (2,000m), rated 45 to 65: ROMAN SENATOR (David Allan) 1, Lycurgus (Trevor) 2, Show Girl (Vaibhav) 3 and Treasure Striker (I. Chisty) 4. 2-1/2, 1/2 and 3-3/4. 2m, 12.16s. ₹13 (w), 11 and 19 (p), SHP: 20, THP: 25, FP: 29, Q: 23, Trinella: 36 and 16. Favourite: Roman Senator. Owner: Mr. M.A.M.R. Muthiah. Trainer: S. Padmanabhan.

4. BHAGAMANDALA PLATE (Div. I), (1,400m), rated 30 to 50, 5-y-o & over: BOLD MOVE (Vaibhav) 1, Brooklyn Supreme (Vinod Shinde) 2, Masada (R. Manish) 3 and Duxton (Darshan) 4. 1, 1-1/4 and 1/2. 1m, 27.08s. ₹70 (w), 19, 29 and 30 (p), SHP: 76, THP: 64, FP: 703, Q: 462, Trinella: 6,232 and 2,968, Exacta: 17,941 and 7,048. Favourite: Duxton. Owners: Skambha Equine Enterprises Pvt Ltd rep by. Mr. Martin John Tower & Mr. John Thomas D. Trainer: Irfan Ghatala.

5. SAPTARISHI PLATE (1,200m), rated 15 to 35, 5-y-o & over: AGNAR (S. John) 1, Hidden Soldier (Antony) 2, Zhu Zhu Zest (Darshan) 3 and Gold Mist (A. Ramu) 4. Nk, 1-3/4 and 2-1/4. 1m, 14.52s. ₹25 (w), 14, 26 and 27 (p), SHP: 76, THP: 77, FP: 182, Q: 118, Trinella: 1,380 and 512, Exacta: 5,112 and 1,669. Favouirte: Agnar. Owners: Mr. Rajan Aggarwal & Mr. Gautam Aggarwal. Trainer: Pradeep Annaiah.

6. MADRAS RACE CLUB TROPHY (1,400m), rated 75 & over: DREAM CATCHER (Chetan G) 1, Merlot (Ankit Yadav) 2, Rafa (T.S. Jodha) 3 and Attorney General (Darshan) 4. 3/4, 1-1/2 and Hd. 1m, 24.70s. ₹369 (w), 59, 23 and 23 (p), SHP: 67, THP: 49, FP: 4,998, Q: 1,351, Trinella: 13,602 and 14,573, Exacta: 1,51,276 (carried over). Favourite: Into The Groove. Owner: Mr. Chitturi Krishna Kannaiah. Trainer: Kishan Thomas.

7. CHARMADI PLATE (Div. I), (1,400m), rated 00 to 20, 5-y-o & over: APOLLO BAY (Trevor) 1, Glorious Days (Jagadeesh) 2, Duty Call (Arshad) 3 and Bazinga (Antony) 4. 3-3/4, 1/2 and 2-3/4. 1m, 27.66s. ₹24 (w), 15, 16 and 27 (p), SHP: 47, THP: 59, FP: 111, Q: 80, Trinella: 429 and 301, Exacta: 1,632 and 570. Favourite: Apollo Bay. Owner: Mr. Dean Stephens. Trainer: Kishan Thomas.

8. BHAGAMANDALA PLATE (Div. II), (1,400m), rated 30 to 50: MOHICAN (A. Imran) 1, Radiant Treasure (S. Hussain) 2, Fantastic App (R. Pradeep) 3 and Memoriter (Vijay Kumar) 4. 4-1/4, 1-1/4 and 1. 1m, 26.91s. ₹18 (w), 12, 24 and 32 (p), SHP: 64, THP: 69, FP: 145, Q: 102, Trinella: 1,633 and 737, Exacta: 7,118 and 4,322. Favourite: Mohican. Owners: Mr. Abdul Azeez & Mr. Neil Darashah. Trainer: Neil Darashah.

Jackpot: ₹41,321 (12 tkts.); Runner-up: 7,590 (28 tkts.); Treble (i): 192 (74 tkts.); (ii): 6,403 (four tkts.).",races,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/races/dream-catcher-claims-madras-race-club-trophy/article30881713.ece
1,2020/02/21,"Pissaro, Crack Of Dawn, Air Command, Mauritania, Snowdon and Desert God please","Pissaro, Crack Of Dawn, Air Command, Mauritania, Snowdon and Desert God pleased when the horses were exercised here on Friday morning (Feb. 21)

Inner sand:

1200m: Industrialist (rb) 1-21, (1,200-600) 38. Eased up. Saint Petersburg (P. Trevor) 1-19, 1,000/1-5.5, 600/39. Impressed.

Outer sand:

600m: Ozark (P. Mani) 44. Moved well. Bloom Buddy (S. Shareef) 46. Easy. Panama (rb), Polar Express (I. Chisty) 43. Former finished a length ahead.

1200m: Allabouther (P. Trevor) 1-29, 1,000/1-13.5, 600/43.5. In fine trim. Temple Dancer (rb), Tequila Tornado (rb) 1-27, (1,200-600) 39.5. Former finished well ahead. Cavallo Veloce (A. Imran) 1-30, 1,000/1-14, 600/46.5. Moved on the bit. Air Command (S. John) 1-24, 1,000/1-10, 600/43. Moved fluently. Subha Ka Tara (M. Naveen) 1-28.5, 1,000/1-12, 600/42. Worked well. Indian Pharaoh (David Allan) 1-31, 1,000/1-15.5, 600/45. Moved freely. Play Safe (Ashok) 1-31.5, 1,000/1-15.5, 600/45.5. Moved on the bit. Formidable Star (Chetan G) 1-30.5, 1,000/1-15, 600/45.5. Moved freely.

1400m: Valegro (rb) 1-45, (1,400-600) 58. Eased up. Karadeniz (A. Imran), After Hours (Sai Vanshi) 1-39.5, 1,200/1-25, 1,000/1-12, 600/44.5. Former started three lengths behind and finished two lengths ahead. Pissaro (P. Trevor) 1-40, 1,200/1-24.5, 1,000/1-11, 600/44. Moved attractively. Big Sur (David Allan) 1-41.5, 1,200/1-26, 1,000/1-12, 600/43.5. Pleased. Mauritania (David Allan) 1-44, 1,200/1-26, 1,000/1-11.5, 600/43.5. Moved impressively. Snowdon (David Allan) 1-42, 1,200/1-25.5, 1,000/1-10, 600/41. Moved fluently.

1600m: Desert God (David Allan) 1-56, 1,400/1-40.5, 1,200/1-25.5, 1,000/1-11.5, 600/43. Shaped well. Crack Of Dawn (P. Trevor), High Priestess (David Allan) 1-56, 1,400/1-40.5, 1,200/1-25.5, 1,000/1-11.5, 600/43. Former started three lengths behind and finished level. Brown Bess (Gnaneshwar) 2-1, 1,400/1-44.5, 1,200/1-29.5, 1,000/1-14, 600/45. Moved freely.",races,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/races/pissaro-crack-of-dawn-air-command-mauritania-snowdon-and-desert-god-please/article30881602.ece
2,2020/02/21,Walk The Talk shines,"Walk The Talk shone when the horses were exercised here on Friday (Feb. 21) morning.

Inner sand:

600m: Violin (rb) 41. Easy. Forever Free (rb) 39.5. Moved freely.

800m: Arabian Dream (rb) 55, 600/41. Easy. Its A Deal (Merchant) 53.5, 600/40. Slightly urged. Monarch (Peter), Galloping Star (Kamble) 54, 600/39. Former finished a distance ahead. Xponential (Merchant), Rio Ronaldo (Bhawani) 54, 600/41. Former ended three lengths in front. Multistarrer (Dashrath), Ciplad (Pereria) 53, 600/39. Former was superior. Wind City (Dashrath), Lightningonymyfeet (David Egan) 56, 600/42. Former was two lengths superior.

1000m: Golden Oaks (Akshay) 1-8, 800/53, 600/40. Moved well. Treasure Hunt (Parmar), Pense’e (Neeraj) 1-10, 800/56, 600/42. Pair level. Moon River (Parmar), Tiberius (Kharadi) 1-10, 600/42.5. Pair moved level freely.

1200m: Alluring Silver (David Egan), Immortality (Parmar) 1-25, 1000/1-9.5, 800/54.5, 600/40.5. They moved neck and neck freely. Memorable Memories (Pereira), Romanesque (Dashrath) 1-23, 1000/1-7, 800/53, 600//41. Former moved well and finished a length in front. Latter was pushed.

1600m: Walk The Talk (Pereira) 1-51.5, 1400/1-36, 1200/1-22.5, 1000/1-8.5, 800/55.5, 600/42. Responded well.

Outer sand:

600m: Rising Sun (rb) 39.5. Easy. Sir Ramon (rb) 40. Easy.",races,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/races/walk-the-talk-shines/article30881582.ece
3,2020/02/21,Into The Groove for feature event,"Into The Groove, who has been well prepared, is expected to score in the Madras Race Club Trophy (1,400m), the feature event of the races to be held here on Friday (Feb. 21). False rails (width about 8.5m from 1,600m to the winning post) will be in position.

1. CHARMADI PLATE (Div. II), (1,400m), rated 00 to 20, 5-y-o & over, 1-45 p.m.: 1. Fierce Fighter (4) A. Imran 60, 2. Zala Princess (6) Chetan G 59.5, 3. Prime Star (5) Md. Aliyar 58.5, 4. Desert Gilt (7) Antony 58, 5. Phoenix Reached (8) Jagadeesh 58, 6. Rancho (3) Arshad 58, 7. Good Word (9) Shreyas 57.5, 8. Noble Splendor (1) Sai Vamshi 56.5 and 9. El Matador (2) A. Vishwanath 54.

1. PRIME STAR, 2. PHOENIX REACHED, 3. FIERCE FIGHTER

2. KATEEL PLATE (1,200m), maiden 3-y-o only, (Terms), 2-15: 1. Dream Chaser (7) Kiran Rai 55, 2. Katana (8) Suraj 55, 3. Little Joe (1) T.S. Jodha 55, 4. Redoubtable (2) Jagadeesh 55, 5. Rocky Retreat (4) David Allan 55, 6. Amalfi Sunrise (5) Trevor 53.5, 7. Baroness (9) Ajeet Kumar 53.5, 8. Glenary (3) S. Hussain 53.5 and 9. Paparazzi (6) Antony 53.5.

1. AMALFI SUNRISE, 2. KATANA, 3. PAPPARAZI

3. BYERLY TURK TROPHY (2,000m), rated 45 to 65, 2-45: 1. Lycurgus (3) Trevor 60, 2. Treasure Striker (1) I. Chisty 59, 3. Roman Senator (2) David Allan 58 and 4. Show Girl (4) Vaibhav 57.

1. ROMAN SENATOR, 2. LYCURGUS

4. BHAGAMANDALA PLATE (Div. I), (1,400m), rated 30 to 50, 5-y-o & over, 3-15: 1. Masada (6) R. Manish 60, 2. Gypsy (8) R. Manjunath 59, 3. Morrane Gabriella (2) R. Pradeep 59, 4. Tio Rico (9) R. Marshall 57.5, 5. Bold Move (3) Vaibhav 56.5, 6. Brooklyn Supreme (4) Vinod Shinde 56.5, 7. Aleef (1) A. Vishwanath 56, 8. Duxton (7) Darshan 54.5 and 9. Ultimate Power (5) Jagadeesh 54.5.

1. DUXTON, 2. TIO RICO, 3. BOLD MOVE

5. SAPTARISHI PLATE (1,200m), rated 15 to 35, 5-y-o & over, 3-45: 1. Raw Gold (7) Chetan G 60, 2. Zhu Zhu Zest (5) Darshan 59.5, 3. Gold Mist (1) A. Ramu 59, 4. Agnar (11) S. John 58.5, 5. Revan Star (2) R. Pradeep 58.5, 6. Florencia (10) R. Manjunath 56.5, 7. Diamantissimo (4) Tauseef 55.5, 8. Hidden Soldier (12) Antony 55, 9. Blarney Stone (8) T.S. Jodha 54.5, 10. Barog (6) Arshad 53.5, 11. Bella Mamma (9) A. Vishwanath 53.5 and 12. Master Of War (3) Rayan 53.5.

1. AGNAR, 2. BLARNEY STONE, 3. HIDDEN SOLDIER

6. MADRAS RACE CLUB TROPHY (1,400m), rated 75 & over, 4-15: 1. Areca Legend (7) M. Naveen 66.5, 2. Dream Catcher (2) Chetan G 63.5, 3. Naazaan (6) Naveen K 52.5, 4. Automatic (9) S. John 62, 5. Diamond Rays (10) Md. Aliyar 60, 6. Mr Handsome (8) A. Velu 60, 7. Merlot (3) Ankit Yadav 54, 8. Rafa (5) T.S. Jodha 53, 9. Into The Groove (4) Trevor 52.5, 10. Attorney General (1) Darshan 51.5 and 11. Manchester (11) Arshad 51.

1. INTO THE GROOVE, 2. AUTOMATIC, 3. ARECA LEGEND

7. CHARMADI PLATE (Div. I), (1,400m), rated 00 to 20, 5-y-o & over, 4-45: 1. Azeemki Princess (5) Arvind K 60, 2. South Bell (1) M. Naveen 60, 3. Bazinga (4) Antony 59.5, 4. Glorious Days (10) Jagadeesh 59.5, 5. Above The Rest (8) Chetan G 59, 6. Freestyle (7) S. Qureshi 59, 7. Apollo Bay (3) Trevor 58.5, 8. Brightside Of Life (6) S. John 57, 9. Only Prince (9) Sai Vamshi 56 and 10. Duty Call (2) Arshad 52.5.

1. APOLLO BAY, 2. BRIGHTSIDE OF LIFE, 3. BAZINGA

8. BHAGAMANDALA PLATE (Div. II), (1,400m), rated 30 to 50, 5-y-o & over, 5-15: 1. Yerwazan (3) Kiran Rai 60, 2. Sharp Response (1) M. Naveen 59.5, 3. Mohican (6) A. Imran 58.5, 4. Fantastic App (4) R. Pradeep 58, 5. Memoriter (2) Vijay Kumar 58, 6. Princess Holly (5) Ajeet Kumar 58, 7. Lightning Attack (8) Darshan 57.5, 8. She's Innocent (9) Vinod Shinde 57.5 and 9. Radiant Treasure (7) S. Hussain 56.5.

1. MOHICAN, 2. YERWAZAN, 3. MEMORITER

Day's best: INTO THE GROOVE

Double: AMALFI SUNRISE — ROMAN SENATOR

JKt: 4, 5, 6, 7 and 8; Tr (i): 3, 4 and 5; (ii): 6, 7 and 8.",races,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/races/into-the-groove-for-feature-event/article30871204.ece
4,2020/02/21,Facebook to pay users for recording to improve speech recognition,"Although one user will be able to make only $5, this is an interesting approach by Facebook to improve its artificial intelligence-driven transcription skills.

Facebook has announced it will pay select users who agree to record their voice to improve its speech recognition technology.

The social networking giant will pay select users to record snippets of audio through a new programme called “Pronunciations” in its Viewpoints market research app, according to The Verge.

If you qualify to be part of the programme, you’ll be able to record the phrase “Hey Portal,” followed by the first name of a friend from your friends list.

“You’ll be able to do this with the names of up to 10 friends, and you have to record each statement twice,” the report said on Thursday.

The Facebook announcement comes at a time when several tech companies like Apple, Microsoft, Amazon and Google have paused their audio transcription programmes after reports emerged that third-party contractors were listening to audio recordings.

Amazon now lets users opt-out of audio recording “review.”

Although one user will be able to make only $5, this is an interesting approach by Facebook to improve its artificial intelligence-driven transcription skills.",technology,https://www.thehindu.com/sci-tech/technology/j70yvr/article30823445.ece/ALTERNATES/LANDSCAPE_615/FACEBOOK-PAID-POLITICAL-MEMES,https://www.thehindu.com/sci-tech/technology/fb-to-pay-users-for-recording-to-improve-speech-recognition/article30878453.ece
5,2020/02/21,MIT scientists use AI model to identify powerful new antibiotic,"Scientists with Massachusetts Institute of Technology (MIT) created a machine learning computer model looking for chemical features that make molecules effective at killing E. coli.

US researchers used an artificial intelligence algorithm to identify a powerful new antibiotic compound, which could kill many of the world’s most problematic disease-causing bacteria in lab tests.

The study published on Thursday in the journal Cell showed that it could kill some strains that are resistant to all known antibiotics and also clear infections in two different mouse models, the Xinhua news agency reported.

Scientists with Massachusetts Institute of Technology (MIT) created a machine learning computer model looking for chemical features that make molecules effective at killing E. coli.

Also Read The tech edge to healthcare

They trained the model on about 2,500 molecules, including about 1,700 FDA-approved drugs and a set of 800 natural products with diverse structures and a wide range of bioactivities.

After training, the algorithm was tested on a library of about 6,000 compounds, finally helping identify a molecule that was predicted to have strong anti-bacterial activity and had a chemical structure different from any existing antibiotics.

The molecule called halicin, previously investigated as possible diabetes drug, was tested against dozens of bacterial strains isolated from patients and grown in lab dishes. It was able to kill many that are resistant to treatment like Mycobacterium tuberculosis, according to the study.

In a mice test, halicin-containing ointment completely cleared the infections of A. baumannii, which is resistant to all known antibiotics, within 24 hours.

In another study, the researchers found that E. coli did not develop any resistance to halicin during a 30-day treatment period.

The researchers are planning to work with a pharmaceutical company or nonprofit organization, in hopes of developing the new antibiotic for use in humans.",technology,https://www.thehindu.com/sci-tech/technology/q7god1/article30878209.ece/ALTERNATES/LANDSCAPE_615/21THANTI-BACTERIA,https://www.thehindu.com/sci-tech/technology/mit-scientists-use-ai-model-to-identify-powerful-new-antibiotic/article30878210.ece
6,2020/02/21,"Top news of the day: Pakistan stays in terror financing grey list, probe ordered after Surat civic body’s female trainees made to stand naked for test, and more","The major news headlines of the day, and more.

“All deadlines in the action plan have expired. While noting recent and notable improvements, the FATF again expresses concern given Pakistan’s failure to complete its action plan in line with the agreed timelines and in light of the terror financing risks emanating from the jurisdiction,” a statement issued by the FATF’s plenary session said.

The shocking incident comes days after students of a girls’ college in Gujarat’s Bhuj town were allegedly forced by hostel authorities to remove their undergarments to prove they were not menstruating.

The rally was taken out on February 19 despite the Madras High Court disallowed it.

The Delhi Police admitted that the protesters had not blocked the parallel road, but they (the police) had barricaded it to provide security to the protest site.

The Karnataka Chief Minister, however, did not elaborate on his claims. | Supreme Court moved against sedition case on Karnataka school management for ‘anti-CAA play’

The ineligible persons were specified as DV (doubtful voters), DF (declared foreigners), PFT (cases pending in Foreigners’ Tribunal), DVD (descendants of DV), DFD (descendants of DF) and PFTD (descendants of PFT).

This was Mr. Thackeray’s first meeting with Mr. Modi after taking over as the Chief Minister of Maharashtra.

U.S. First Lady Melania Trump is also part of the delegation, which includes Treasury Secretary Steven Mnuchin and Commerce Secretary Wilbur Ross. | White House to take call on Trump’s Sabarmati Ashram visit: Gujarat CM | ‘Namaste Trump’ won’t mark inauguration of Motera stadium

The signing is expected to take place in the Qatari capital Doha.

Dr. Peng Yinhua, a respiratory acute care medical professional, was infected while working at the First People’s Hospital of Jiangxia District of Wuhan. He was hospitalised on January 25 and transferred to the Wuhan Jinyintan Hospital on January 30. | Death toll in China touches 2,200

The proposals are featured in a special report presented in Parliament to resolve 14 controversial issues following the April 21, 2019 Easter attack.

Gold gains as virus spreads, Muthoot Finance raises $550 million, Telcos face ‘unprecedented crisis,’ and more.

Shafali Verma took India to 41 for no loss in four overs.",news,https://www.thehindu.com/news/2rwli5/article30882191.ece/ALTERNATES/LANDSCAPE_615/CHENNAISHAHEENBAGH,https://www.thehindu.com/news/top-news-of-february-21-2020-pakistan-stays-in-terror-financing-grey-list-probe-ordered-after-surat-civic-bodys-female-trainees-made-to-stand-naked-for-test-and-more/article30882192.ece
7,2020/02/21,"Morning digest: Unknown group to host ‘Namaste Trump’ event in Ahmedabad; Babri demolition accused hold key posts in Ram temple trust, and more","A select list of stories to read before you start your day

In a new twist to the mega event Namaste Trump to be held at the newly built cricket stadium in Ahmedabad, a newly formed Donald Trump Nagarik Abhivadan Samiti (Citizen Felicitation Committee for Donald Trump) is the organiser of the event.

Nritya Gopal Das and Champat Rai Bansal, chairman and general secretary of the trust set up to oversee construction of the Ram temple in Ayodhya, are both accused in the Babri Masjid demolition case.

A few more videos of the Jamia violence, which erupted on December 15, 2019 during the anti-Citizenship (Amendment) Act protest, emerged on Thursday. The videos show protesters throwing stones from inside the campus.

The Union government has granted Foreign Contribution Regulation Act (FCRA) licence to more than 20 NGOs this year and it includes the A.R. Rahman Foundation, run by the Academy award-winning composer and his family.

A federal judge on Thursday sentenced President Donald Trump's long-time adviser Roger Stone to three years and four months in prison and said his lies to lawmakers investigating Russian interference in the 2016 U.S. presidential election amounted to a threat to American democracy.

With U.S. President Donald Trump’s arrival in India only days away, a new survey from the Pew Research Center suggests that while Mr. Trump is positively perceived by Indians in India, his specific policies, including trade, are not as positively regarded. The survey also found that Indians who associate with the BJP are more likely to think favourably of Mr. Trump than those associated with the Congress.

U.N. Secretary-General Antonio Guterres should spend more time addressing the threat of terrorism that emanates from Pakistan, MEA official spokesperson Raveesh Kumar said on Thursday. Referring to Mr. Guterres’ comments in Pakistan, Mr. Kumar said terrorism was a more pressing issue as it violated human rights. “He made a few comments on Kashmir and on some other aspects of India and on NRC as well. Our position has not changed,” he said.

The driver-cum-conductor pair, who lost their lives when their KSRTC Volvo bus met with an accident near Tiruppur, had a commendable track record, with their humanitarian ways winning them accolades from within the organisation and from passengers.

The Congress on Thursday accused the Centre of surreptitiously trying to shut down the crop insurance scheme by reducing the government’s share of premium and putting the burden on farmers.

Inter Milan midfielder Christian Eriksen scored his first goal for the club since last month's move from Tottenham Hotspur to set up a 2-0 win at Ludogorets Razgrad in their Europa League last 32, first leg on Thursday.",news,https://www.thehindu.com/news/national/6pc89r/article30874714.ece/ALTERNATES/LANDSCAPE_615/Moterajpg,https://www.thehindu.com/news/morning-digest-february-21-2020/article30877435.ece
8,2020/02/21,Virus cases jump beyond epicentre,"Spike in South Korean infections linked to church; vaccine trial set for April

The new coronavirus, SARS-CoV-2, has infected hundreds of people in Chinese prisons, authorities said on Friday, contributing to a jump in reported cases beyond the epidemic’s epicentre in Hubei province, including 100 more in South Korea.

The 234 infections among prisoners outside Hubei ended 16 straight days of declines in new mainland cases excluding that province, where the virus emerged in December in its locked-down capital, Wuhan.

Also read| Wuhan doctor who postponed wedding to treat patients dies | Death toll in China touches 2,200

State television quoted Communist Party rulers as saying the turning point in combating the outbreak had not yet been reached, and more than 30 cases in a hospital in Beijing highlighted a sharp jump in the tally there.

Total cases in the capital of the disease — known as COVID-19 — were at 396 with four deaths, out of an official mainland toll of 75,400 cases and 2,236 deaths.

Also Read All about the China coronavirus COVID-19

Vice Science and Technology Minister Xu Nanping said China’s earliest vaccine would be submitted for clinical trials around late April. That timetable is in line with a World Health Organization estimate of a vaccine reaching the market in 18 months.

As international authorities seek to stop the virus from becoming a global pandemic, public health officials are hoping for signs that the arrival of warmer weather in the northern hemisphere might slow its spread.

The spike in cases in two jails outside Hubei — in the northern province of Shandong and Zhejiang in the east — made up most of the 258 newly confirmed Chinese infections outside the epicentre province.

The virus has emerged in 26 countries and territories outside mainland China, killing 11 people.

South Korea reported 100 new cases, taking its total to 204, most in Daegu, where scores were infected in what authorities called a ”super-spreading event” at a church, traced to an infected 61-year-old woman who attended services.",international,https://www.thehindu.com/news/international/s77ojm/article30884971.ece/ALTERNATES/LANDSCAPE_615/Korea-virusjpg,https://www.thehindu.com/news/international/virus-cases-jump-beyond-epicentre/article30883419.ece
9,2020/02/21,FATF places Iran on black list,"It failed to comply with global anti-terrorism financing norms

An international agency placed Iran on its black list on Friday after it failed to comply with international anti-terrorism financing norms, a move that will deepen the country’s isolation from financial markets.

The decision came after three years of warnings from the Paris-based Financial Action Task Force (FATF), urging the Islamic Republic to either enact terrorist financing conventions or see its reprieve from the black list lifted and some counter-measures imposed.

“Given Iran’s failure to enact the Palermo and Terrorist Financing Conventions in line with the FATF Standards, the FATF fully lifts the suspension of counter-measures and calls on its members and urges all jurisdictions to apply effective counter-measures,” the group’s 39 members said.

These would entail more scrutiny of transactions with Iran, tougher external auditing of financing firms operating in the country and extra pressure on the few foreign banks and businesses still dealing with Iran. “The consequence of (Iran’s) inaction is higher costs of borrowing and isolation from the financial system,” a Western diplomat told Reuters.

However, the FATF appeared to leave the door open for some engagement with Iran saying in its statement: “Countries should also be able to apply countermeasures independently of any call by the FATF to do so.”

“It’s a middle solution. A sort of a fudge to leave the door open for the Iranians,” said one of the diplomats.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/fatf-places-iran-on-black-list/article30883377.ece
