,Date,Title,Content,Category,Image_link,Article_link
0,2020/02/13,India loses to Malaysia,"A letter from the Editor

Dear subscriber,

Thank you!

Your support for our journalism is invaluable. It’s a support for truth and fairness in journalism. It has helped us keep apace with events and happenings.

The Hindu has always stood for journalism that is in the public interest. At this difficult time, it becomes even more important that we have access to information that has a bearing on our health and well-being, our lives, and livelihoods. As a subscriber, you are not only a beneficiary of our work but also its enabler.

We also reiterate here the promise that our team of reporters, copy editors, fact-checkers, designers, and photographers will deliver quality journalism that stays away from vested interest and political propaganda.

Suresh Nambath",other sports,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/other-sports/india-loses-to-malaysia/article30813649.ece
1,2020/02/13,Ahlawat takes two-shot lead,"Aman slips to second; two eagles push Mari Muthu to third

Veer Ahlawat opened up a two-shot lead after the third round of the Tata Steel PGTI Players’ Championship here on Thursday.

The Gurgaon professional returned a card of seven-under 65 for the second straight day — a total of 19-under 197 — at the Eagleton Golf Resort.

Aman Raj (199), who had shared the lead overnight, shot a five-under 67 to slip two strokes behind the leader. Mari Muthu (201), who sank two eagles in his round of 66, was third while Udayan Mane (202) climbed to fourth. Bengaluru’s S. Chikkarangappa (203) moved up four places to fifth.

Aditya’s distinction

Aditya Raj Kumar Chauhan, meanwhile, became the first player on the PGTI to achieve the feat of making consecutive eagles. He closed the day tied-16 at six-under 210.

Ahlawat made three birdies and an eagle on the first 10 holes. Bogeys on the 11th and 14th slowed him down, but the 23-year-old signed off with a hat-trick of birdies on the final three holes.

“I was hitting pretty solid and whatever birdies I made were within 10 feet. My short-iron and wedge shots were quite accurate today. It’s now about driving home the advantage. I will play it hole by hole and not think too far ahead,” he said.

Shubhankar tied 32nd

Shubhankar Sharma produced a round of 72 to occupy the tied 32nd spot.

Top scores (after round three): 197: Veer Ahlawat (67, 65, 65); 199: Aman Raj (65, 67, 67); 201: Mari Muthu (68, 67, 66); 202: Udayan Mane (68, 67, 67); 203: S. Chikkarangappa (67, 69, 67); 204: Gaurav Pratap Singh (70, 64, 70); 205: Khalin Joshi (69, 64, 72).",other sports,https://www.thehindu.com/sport/other-sports/lwvdd3/article30813404.ece/ALTERNATES/LANDSCAPE_615/TH14AHLAWAT,https://www.thehindu.com/sport/other-sports/ahlawat-takes-two-shot-lead/article30813405.ece
2,2020/02/13,Abhay defeats Abhishek,"Tanvi eases past Aparajitha

Tamil Nadu’s Abhay Singh has been a talent waiting to explode for a while. This year, the 21-year-old has shown glimpses of his potential and his eagerness to make it to the Indian men’s team.

He won the British Open under-23 title last month and in February, he upset World No. 79 Shawn Delierre in the first round of the Banker’s Hall tournament in Canada before hurting his knee and retiring midway against Christopher Gordon in the next round.

Not sure of taking part in the SRFI-77th senior National squash championships, Abhay, however, recovered in quick time thanks to good work from Indian Squash Academy’s physio Dimple.

Playing an aggressive game from the start, Abhay got the better of Abhishek Agarwal of Maharashtra 11-7, 11-5, 13-11 in the men’s quarterfinals here on Thursday. He will take on top seed Saurav Ghosal in the last-four.

Harinder Pal Singh Sandhu tamed Yash Fadte of Goa 11-7, 11-2, 11-7 in the last- eight and set up a clash with Abhishek Pradhan, the second seed. Abhishek put it across Gaurav Nandrajog of Delhi 11-6, 11-6, 11-6.

A minor upset came when 18-year-old Sanya Vats from Delhi downed the seasoned and higher seeded Urwashi Joshi of Maharashtra 11-5, 9-11, 8-11, 11-8, 11-3 in the women’s quarterfinals.

Sanya will take on the top-seed Joshna Chinappa, who dispatched Sachika Balvani of Maharashtra 11-4, 11-2, 11-4.

Touted as next big hopefuls after Joshna Chinappa and Dipika Pallikal Karthik in the women’s category, Tanvi Khanna and Sunayna Kurvilla made it to the semifinals with relative ease.

The most engrossing semifinal on Friday will be the one between Tanvi and Sunayna.

The results (quarterfinals):

Men: Saurav Ghosal (TN) bt Rutvik Rau (Mah) 11-3, 11-3, 11-1; Abhay Singh (TN) bt Abhishek Agarwal (Mah) 11-7, 11-5, 13-11; Harinder Pal Singh Sandhu (TN) bt Yash Fadte (Goa) 11-7, 11-2, 11-7; Abhishek Pradhan (Mah) bt Gaurav Nandrajog (Del) 11-6, 11-6, 11-6.

Women: Joshana Chinappa (TN) bt Sachika Balvani (Mah) 11-4, 11-2, 11-4; Sanya Vats (Del) bt Urwashi Joshi (Mah) 11-5, 9-11, 8-11, 11-8, 11-3; Tanvi Khanna (Del) bt Aparajitha Balamurukan (TN) 11-5, 11-3, 11-8; Sunayna Kuruvilla (TN) bt Sanika Choudhari (Mah) 11-5, 11-2, 12-10.",other sports,https://www.thehindu.com/sport/other-sports/v1q13c/article30812542.ece/ALTERNATES/LANDSCAPE_615/TH14SQUASH-2,https://www.thehindu.com/sport/other-sports/abhay-defeats-abhishek/article30811822.ece
3,2020/02/13,Demand for Bharat Ratna for Dhyan Chand,"The demand for a Bharat Ratna for Major Dhyan Chand has been an ongoing one for several years now. Apart from concerted efforts by various groups including his own family, there have been several instances of individuals seeking the same.

On Thursday, Tarak Kumar Parkar reached the city to pay homage to the hockey legend, demanding the same after a 1,250 km long padyatra from Khargone in Madhya Pradesh.

Parkar, who belongs to Burhanpur, insists that the man who was synonymous with Indian sports from pre-independence era deserves the highest civilian honour in the country.

“I had been planning this since 2010 but Ashok Kumar (Dhyan Chand’s son and World Cup winner) kept asking me to postpone it saying it was not good for my health. But I finally started on December 15th and managed around 50-60km per day to reach here,” Parkar told The Hindu.

The journey took him through Indore, Guna, Shivpuri, Dhyan Chand’s hometown Jhansi, Gwalior, Agra and Mathura before concluding at the National Stadium here.

“I also run an NGO called Yuva Shakti that works to wean youngsters away from drugs and encourages them to get involved in sports. I keep travelling for that. During one such tour in 1978, en route to Nepal, I met Dhyan Chand in Jhansi and stayed with him. The simplicity of such a great man continues to amaze me,” said the former fingerprint expert in the forensic sciences department of MP Police.

Ashok Kumar said a delegation had managed to meet sports minister Kiren Rijiju on January 8 to repeat the request for a Bharat Ratna for Dhyan Chand.

“He was cordial but admitted that the PMO had the final say. Counting him, three other sports ministers (Ajay Maken, Jitendra Singh, Vjay Goel) over years, through both the Congress and BJP governments, have recommended the honour to PMO but there has been no response. It’s disappointing but we know he will always be an inspiration to every Indian. Still, something on record would be good,” he said.",other sports,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/other-sports/demand-for-bharat-ratna-for-dhyan-chand/article30811289.ece
4,2020/02/13,Amit Panghal is world No.1 in IOC’s Boxing Task Force rankings for Olympic Qualifiers,"“I hope to secure an Olympic spot in the first qualifier itself.”

World silver-medallist Amit Panghal (52kg) has been ranked number one by the IOC’s Boxing Task Force ahead of next month’s Olympic Qualifiers, making him the first Indian pugilist in over a decade to achieve the global top position in his category.

In 2009, Olympic bronze-medallist Vijender Singh did it for the first time after he opened India’s account at the world championships with a bronze in the 75kg division.

The 24-year-old Panghal holds the numero uno position with 420 points, according to the list released by the International Olympic Committee’s (IOC) Boxing Task Force, which is in charge of administering the sport right now.

“It is a great feeling and obviously means a lot to me because it will help me in being seeded at the qualifiers. Being world no.1 also gives you a renewed sense of confidence,” Panghal told PTI.

“I hope to secure an Olympic spot in the first qualifier itself,” added the diminutive boxer from Rohtak.

The IOC task force will be conducting the Olympic qualifiers and the main event later this year in Tokyo as the International Boxing Association (AIBA) is currently suspended for alleged financial and administrative mismanagement.

The rankings took into account the last two world championships for both men and women and the continental championships and Games in 2019. The Asian Olympic Qualifiers will be held in Amman, Jordan next month.

Panghal has enjoyed a phenomenal run since 2017, clinching gold medals at the 2018 Commonwealth and Asian Games.

Last year, he became the first Indian to claim a silver medal at the world championships after notching up a gold at the Asian meet.

In the women’s rankings, celebrated six-time world champion M C Mary Kom occupies the fifth spot in the 51kg category. Mary Kom, who won an unprecedented eighth world medal – a bronze – last year, has 225 points. Her rival Nikhat Zareen is ranked 22nd with 75 points.

However, the best-placed Indian among women boxers is Lovlina Borgohain, who holds the third position in the 69kg division. The 22-year-old Borgohain is a two-time world bronze-medallist.

Among other Indians, Asian silver-medallist Kavinder Singh Bisht (57kg) is placed seventh with 190 points, followed by former world bronze-winner Gaurav Bidhuri at 32nd spot.

In the men’s 63kg division, world bronze-winner Manish Kaushik is the best-placed Indian at 12th, followed by four-time Asian-medallist Shiva Thapa at the 36th position.

Veteran Manoj Kumar, a three-time Commonwealth Games podium-finisher, is 71st in the 69kg category, in which Ashish is the highest-positioned Indian at 22nd.

Two-time world and Asian silver-winner Sonia Chahal holds the 10th spot in the women’s 57kg category.

The continental Olympic Qualifiers in Dakar (Africa), Amman (Asia), London, (Europe), Buenos Aires (Americana) and the final world qualifiers in Paris will grant more points to ensure that the winners of these events are guaranteed a seeding the Olympic Games.",other sports,https://www.thehindu.com/sport/other-sports/pouf01/article30808164.ece/ALTERNATES/LANDSCAPE_615/AMITPANGHAL,https://www.thehindu.com/sport/other-sports/amit-panghal-is-world-no1-in-iocs-boxing-task-force-rankings-for-olympic-qualifiers/article30808166.ece
5,2020/02/13,"Sports Minister announces Khelo India Winter Games in Ladakh, J&K","The Khelo India Ladakh Winter Games will feature an open ice hockey championship, figure skating and speed skating.

The Union Territory of Ladakh will host the inaugural Khelo India Winter Games later this month followed by a similar event in the UT of Jammu and Kashmir in March, Sports Minister Kiren Rijiju announced on Thursday.

The sports ministry will fund both the Khelo India Winter Games — in Ladakh in the third week of February and in Jammu and Kashmir in the first week of March.

The Khelo India Ladakh Winter Games will feature an open ice hockey championship, figure skating and speed skating and the competition will be conducted at block, district and UT levels with an expected participation of about 1700 athletes.

The competitions of the Khelo India J&K Winter Games will be held at Kongdori, Gulmarg in four age categories for both boys and girls.

Athletes in the age categories of 19-21 years, 17-18 years, 15-16 years and 13-14 years can compete in alpine skiing, cross country skiing, snow boarding and snowshoeing.

Around 841 athletes and officials are expected to participate in the Games being organised by J&K Sports Council and Winter Games Association of J&K, with 15 teams from different states and organisations.

Speaking about the decision to organise the Khelo India Winter Games, Mr. Rijiju said, “There is no better means than sport to channelise energy of youth in right direction.”

“We have included disciplines like Ice Hockey, Figure Skating, Speed Skating, that are part of Olympics, and with time we may also be able to produce champions in these disciplines in India.”

“I am happy to announce the initiation of yet another Khelo India Games. This will be the third Khelo India Games in one year, and we plan to organise one for indigenous games as well,” he added.",other sports,https://www.thehindu.com/sport/other-sports/s80mi8/article30808041.ece/ALTERNATES/LANDSCAPE_615/KIRENRIJIJU,https://www.thehindu.com/sport/other-sports/sports-minister-announces-khelo-india-winter-games-in-ladakh-jk/article30808042.ece
6,2020/02/13,Leander Paes walks into the sunset,"Paes, in his farewell year, talks about his plans after hanging up his boots

The pressure of retirement is less in individual sports than ones involving teams. Failures in the farewell years, even if the athlete in question is among the pantheon of all-time greats, can evoke the uncomfortable question of dragging out a career for the greed of personal milestones. With an ageing body, it is difficult to find an answer. Those from individual sport, on the other hand, have the allowance to say goodbye whenever. They usually bid adieu when the body tires or the mind struggles to inspire. For Leander Paes, despite being 46 (well past the usual age of retirement in tennis), the reason is neither.

“I know that with my physicality and mental attitude, I could play for another two or three years if I wanted,” he said on Tuesday, 24 hours before his first match at the Bengaluru Open. He knew it might be his last professional tennis match in India. Last Christmas, he announced on Twitter that 2020 is going to be his farewell year. And, the Bengaluru Open is likely to be his last tournament at home.

“The years that I've played tennis, at the end of every year, I've asked my team to look for new goals. I've asked my team, ‘what are we playing for in the new season?’. The last three or four years, there is really nothing else to play for.”

Fair enough for the winner of an Olympic medal, 18 Grand Slams, and 54 ATP titles to say this. Despite a prolonged dry spell – his last ATP title came in 2015 – Paes has been trying to be in all levels of tournaments, from Challengers to Slams, because he says he enjoys “the lifestyle of tennis.”

He has travelled, trained, and triumphed all over the world. But after three decades, he says, “Being on the professional circuit 35 weeks a year is very hard. I find that there are other things in my life now.”

THE BEST OF PAES Paes is the only Indian tennis player to win an individual medal at the Olympics. He won bronze at the 1996 Games in Atlanta.

He is the first Indian and the only tennis player to have participated in seven Olympic Games. He hopes to extend the record at Tokyo this year.

In 2010, Paes became the second man in history to triumph at Wimbledon in three different decades (matching Rod Laver) when he clinched the mixed doubles title with Cara Black.

With Mahesh Bhupathi, he has won 303 matches, which includes 26 titles (three of which are Grand Slams)

Autobiography. Biopic. Business. Sports education. Paes is already planning his second innings. “This transition takes a lot of time... So, I have spaced it out over the next five years.”

Paes’ partners

Paes recalled the contributions of his father Vece Paes (who was part of the Indian hockey team that won the bronze medal in the 1972 Olympics), his coaches, and managers in making him the player that he is today.

He also thanked his 130-plus doubles and 20-plus mixed doubles partners. “I've been so blessed to have some of the greatest partners anyone can ask for. I don't need to rattle off the names of Navratilova, Hingis, Stepanek and Mahesh.”

“Choosing partners is something that I instinctively know. It comes from the fact that I know my strengths and weaknesses. It is more important to know your weaknesses. And then to find a partner whose strengths make up for your weaknesses, and my strengths make up for his or her weaknesses. I think the compatibility of two partners is very important.”

“Communication is really important. Because when you are playing at Wimbledon, and you are 4-4 in the fifth set, you have to make a split-second decision on where you are serving and how you are planning to cover a certain part of the court.”

One last roar

Paes’ father and his team motivate him to go on. “My team is trying to convince me to continue. My dad is always after the team asking ‘Has he done his gym? Has he done his stretching? Has he done his practice?’ My team is actually motivated for me to play the 2021 season.”

But the 46-year-old is just focused on his ‘one last roar’, as his T-shirt says. “Every time I step on court, I feel like this may be my last match. Whether it was at [the Australian Open in Melbourne], [at Tata Open Maharashtra] in Pune last week or in Bangalore now. It is going to go throughout the year. I feel like playing in the Grand Slams, hopefully in the Olympics [in Tokyo], in the ATP Tour. It is really about going out there and doing the best I can.”

For a boy, who started his career in the early 90s, wanting to emulate his parents in participating at the Olympics (Paes’ mother Jennifer was part of the Indian basketball team in the ‘72 Games), Paes has come a long way. “When I look back at my body of work, it sometimes puts a smile on my face. But… I know it will come to an end one day.”",tennis,https://www.thehindu.com/sport/tennis/aauypi/article30812982.ece/ALTERNATES/LANDSCAPE_615/12BGM-LEANDER1,https://www.thehindu.com/sport/tennis/bengaluru-open-tennis-leander-paes-walks-into-the-sunset/article30812983.ece
7,2020/02/13,Ankita in doubles semifinals,"A letter from the Editor

Dear subscriber,

Thank you!

Your support for our journalism is invaluable. It’s a support for truth and fairness in journalism. It has helped us keep apace with events and happenings.

The Hindu has always stood for journalism that is in the public interest. At this difficult time, it becomes even more important that we have access to information that has a bearing on our health and well-being, our lives, and livelihoods. As a subscriber, you are not only a beneficiary of our work but also its enabler.

We also reiterate here the promise that our team of reporters, copy editors, fact-checkers, designers, and photographers will deliver quality journalism that stays away from vested interest and political propaganda.

Suresh Nambath",tennis,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/tennis/ankita-in-doubles-semifinals/article30812691.ece
8,2020/02/13,Leander lights up an otherwise dark day for Indians,"In singles, the Indian hopefuls — watched by Davis Cup coach Zeeshan Ali — drew a blank

Leander Paes’ fireworks lit up an otherwise dark day for Indians at the $1,62,000 Bengaluru Open ATP Tennis Challenger here on Thursday.

The Indian singles players — Prajnesh Gunneswaran, Sumit Nagal, Saketh Myneni, Sidharth Rawat, Ramkumar Ramanathan and Niki Poonacha — all faltered in their third round matches. It was left to Paes to lend some cheer to the goodly KSLTA crowd, and he did not disappoint.

It would not be an easy quarterfinal outing for Paes and his Australian partner Matthew Ebden, however, as they took on Tata Open Maharashtra champions Christopher Rungkat and Andre Goransson.

With Paes off-colour early in the encounter, Ebden carried the burden to help the pair claim the first set 7-5. Rungkat-Goransson fought back to take the second set without losing a game.

The stage was set for a dramatic super tiebreaker finish. Paes-Ebden did not start well, with Ebden making two unforced errors. A timely volley winner from Paes evoked a rallying cry from the veteran, who was keen to get the crowd involved. The move worked, as a pumped-up Paes then took control, putting away two crisp volleys and one overhead smash.

His serves — right down the ‘T’ — proved to be too hot to handle as well. Rungkat and Goransson, now reeling under pressure, threw in the towel a short while later.

Paes, who entered his first semifinal since the 2019 Hall of Fame Open in Newport (USA), said, “we just beat a pair which won a ATP Tour 250 series event (Maharashtra Open) a few days ago. That’s pretty cool. You have to create your own momentum. There will be doubters through life, but you have to shut the noise out and keep going.”

In singles, the Indian hopefuls — watched by Davis Cup coach Zeeshan Ali — drew a blank. The tournament is now set for a foreign winner for the first time in three editions.

Defending champion Prajnesh went down 6-7 (5), 0-6 to unseeded Benjamin Bonzi. Nagal, Myneni and Ramkumar were similarly outclassed, going down without much of a fight.

Impressive wildcard Poonacha — equipped with a strong serve and powerful groundstrokes — did well to record his best performance in a Challenger event. Poonacha’s fine run came to an end at the hands of third seed and World No. 82 Yuichi Sugita.

The results (Indians unless mentioned):

Singles (third round): Thomas Fabbiano (Ita) bt Saketh Myneni 6-4, 5-7, 6-2; Ilya Ivashka (Blr) bt Ramkumar Ramanathan 7-6(2), 6-1; Blaz Rola (Slo) bt Sumit Nagal 6-3, 6-3; Benjamin Bonzi (Fra) bt Prajnesh Gunneswaran 7-6(5), 6-0; Yuichi Sugita (Jon) bt Niki Poonacha 7-5, 6-3; Julian Ocleppo (Ita) bt Sidharth Rawat 7-5, 6-4.

Doubles (Quarterfinals):

Saketh Myneni & Matt Reid (Aus) bt Cheng-Peng Hsieh (Tpe) & Denys Molchanov (Ukr) 3-6, 6-4, 10-8; Matthew Ebden (Aus) & Leander Paes bt Andre Goransson (Swe) & Christopher Rungkat (Ina) 7-5, 0-6, 10-7; Purav Raja & Ramkumar Ramanathan bt Frederico Ferreira Silva (Por) & Nikola Milojevic (Srb) 6-4, 6-4.",tennis,https://www.thehindu.com/sport/tennis/m082ef/article30812728.ece/ALTERNATES/LANDSCAPE_615/TH14TENNIS,https://www.thehindu.com/sport/tennis/leander-lights-up-an-otherwise-dark-day-for-indians/article30812297.ece
9,2020/02/13,Hope Hicks set to return to White House,"She is one of Trump’s most trusted aides

Hope Hicks, one of President Donald Trump’s most trusted and longest-serving aides, is returning to the White House as his reelection campaign moves into high gear.

“I have worked with Hope for almost six years and can say without hesitation she is one of the most talented and savvy individuals I have come across,” White House press secretary Stephanie Grisham said in a statement.

“She has always impressed me with her quiet confidence, loyalty and expertise, and I am beyond thrilled to welcome Hope back to the White House.”

“There is no one more devoted to implementing President Trump’s agenda than Hope Hicks,” President’s son-in-law and senior adviser Jared Kushner.

Known for her loyalty and low public profile, Hicks was part of the small inner circle that traversed the country with Trump aboard his private jet as he waged his unlikely campaign for the Republican nomination and then the presidency in 2015 and 2016. She was often described as someone who was especially deft at reading the president’s moods and helping others navigate his instincts.

The news comes after another longtime former aide, body man John McEntee, rejoined the White House after being dismissed in 2018.",international,https://www.thehindu.com/news/international/v0h5fc/article30812851.ece/ALTERNATES/LANDSCAPE_615/thjc-Hope-Hicks,https://www.thehindu.com/news/international/hope-hicks-set-to-return-to-white-house/article30812852.ece
