,Date,Title,Content,Category,Image_link,Article_link
0,['25/02/2020'],Arulnithi loses 7kg to play a student,"Arulnithi, who is known for his knack of picking interesting scripts, has now finalised a college-based drama as his next. The film will be directed by YouTuber Vijay Kumar Rajendran (of Eruma Saani fame).Says Vijay, “It is a college-based script, inspired by a real story, and the entire film will take place within the premises of a college. Since Arulnithi plays the role of a college student, he has knocked off nearly seven kilos for the role. In fact, we were all quite surprised when he came for the shoot. He looks very young.”Apart from directing the film, Vijay will also essay a role in the film. “I play his friend,” he says, adding, “We have just begun the shoot of this film.”Arvinnd Singh, who’s the cinematographer and the producer of the film, tells us, “I have been working with Arul since Demonte Colony. We go back a long way. I met Vijay during the shoot of Natpe Thunai. It was then that he spoke to me about this script. I suggested Arulnithi for the lead, and as I expected, he liked the script. The rest of the cast and crew is being finalised.”",entertainment,"https://static.toiimg.com/thumb/msid-74284742,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-637399/74284742.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/arulnithi-loses-7kg-to-play-a-student/articleshow/74284742.cms
1,['25/02/2020'],"Shoot at Site: Kabadadaari, a murder case is re-investigated","We were welcomed by a riot of colours at ARS Garden in Porur, where the team of Kabadadaari was busy filming a crucial scene from the climax. The set was decorated using flowers, maavilai toranam and plantain leaves. There were over 200 people on the spot, including junior artistes and the production team. The first sequence that was being planned was about honouring a powerful politician. The team had also planned to shoot a scene that showed the crowd raising slogans in support of the politician after he completes a ceremony at a temple that was erected there. A short dance number with folk artistes was also on the cards. No wonder director Pradeep Krishnamoorthy, cameraman Rasamathi, protagonist Sibiraj and producer Dhananjayan Govind were extremely busy that day, going through rushes and setting the stage for all the scenes that had to be shot.“This is a very interesting scene. It is coming out well,” smiled Pradeep, visibly excited with the way this remake of the Kannada film, Kavaludaari, was shaping up. It’s also being made simultaneously in Telugu, with Sumanth in the lead.“We will wrap up the entire project in two weeks’ time. What is left is a pivotal flashback scene. An infamous incident occurs in the time period 1975-77. What happens when the case is reinvestigated after 40 years forms the crux of the story,” Pradeep said.So, what kind of changes has he done for the remake? “Ours is a trimmed version, though the essence of the original remains unchanged,” he told us, “It was interesting to shoot both the Tamil and Telugu versions. The major difference between the two is the protagonist. Though it was a unique experience, this posed some challenges, too. Both the versions require different nativity and I believe we have managed to pull that off.”Pradeep is also doing a cameo in the film, and the director is unfazed about handling multiple roles on the set. “We had roped in an artiste to play the antagonist’s aide, but he couldn’t do it for some reason. So, the producer insisted that I play the role in both the versions. That is how I ended up working in front of the camera and behind it at the same time,” he told us.I have worked with Pradeep in Sathya — he knows both my positives and negatives. I play an IPS officer in Walter, and a traffic cop in this one. I thought there wasn’t much difference between both, except for the uniform. But I learnt so much about traffic cops only when I started shooting for the film. Unlike an IPS officer, a traffic cop requires a subtle body language. I completely followed the script and the director’s requirements.— Sibiraj, actorIt's a suspense thriller and we have worked hard to set the right mood with visuals. We’ve tried a different lighting pattern. I think this version will be technically much better. Both the Tamil and Telugu versions will have the same colour tone.— Rasamathi, CameramanWe have planned 40 days’ shoot for both the Tamil and Telugu versions. We have given more detailing to some of the characters and avoided spoon-feeding. Almost 75 per cent of the Tamil version is done; there’s just 10 per cent of work left in the Telugu one.— G Dhananjayan, producerIt's been a while since I did a Tamil film and I’m happy that my role in this one is a meaty one. I play a journalist who runs his own press, and belongs to the lower-middle class strata. He is frustrated with failures in life and has gone through several hardships. The director asked me to tweak my body language for the role.— Jayaprakash, actor",entertainment,"https://static.toiimg.com/thumb/msid-74284839,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1270931/74284839.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/shoot-at-site-kabadadaari-a-murder-case-is-re-investigated/articleshow/74284839.cms
2,['25/02/2020'],Ilaiyaraaja to compose music for Saamy’s film,"After impressing the audience with his stellar performance in 'Tanhaji: The Unsung Warrior' as Udaybhan Singh Rathore, Saif Ali Khan is all set to step into the shoes of another negative character. The talented actor will be going face-to-face with Prabhas in Om Raut's upcoming film 'Adipurush'.Saif, who started his career with 'Parampara' in 1993 has gone on to deliver several blockbusters on the silver screen. The versatile actor, who is known for taking up challenging and entertaining roles, has always managed to do justice to his characters. While the news of Saif stepping in as Lankesh in Adipurush' has got fans excited, we take a look at the dark and negative characters which the skilled actor has essayed on the silver screen.",entertainment,"https://static.toiimg.com/thumb/msid-74284589,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1091880/74284589.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/music/ilaiyaraaja-to-compose-music-for-saamys-film/articleshow/74284589.cms
3,['25/02/2020'],Vetri is a murder accused whose memories go missing in his next,"After the acclaimed 8 Thottakal and Jiivi, actor Vetri is now part of a handful of new projects. Now, he has started shooting for a psycho thriller, titled Memories, in which he plays a murder accused whose memories go missing. “How this innocent guy gets out of his predicament is what the plot is all about,” says Vetri, who adds that the film will have Ramesh Thilak and Haresh Peradi in crucial supporting roles.Malayalam actress Parvathy Arun has been roped in to play the female lead and she will be making her Tamil debut with this film, which will be set against the Tamil Nadu-Kerala backdrop. “We are currently shooting in Kerala,” adds Vetri.The film is being directed by debutants Syam and Praveen, with Armo as the cinematographer and Ratsasan fame San Lokesh as the editor.",entertainment,"https://static.toiimg.com/thumb/msid-74284541,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-899742/74284541.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/vetri-is-a-murder-accused-whose-memories-go-missing-in-his-next/articleshow/74284541.cms
4,['25/02/2020'],Disgraced Hollywood mogul Harvey Weinstein found guilty of rape in New York County trial,"A jury which included seven men and five women came to a verdict against the disgraced Hollywood mogul Harvey Weinstein who was facing charges in his New York County trial.According to the reports, Weinstein has been convicted of criminal sexual assault in the first degree, based on the testimony of Miriam Haley and rape in the third degree, based on the testimony of one-time aspiring actress Jessica Mann . The report further stated that the producer was remanded into custody on Monday after the trial. His lawyers protested against the same citing his health.Now, Weinstein will be sentenced on March 11. Reportedly, he faces no less than five years and up to 25 years in prison for a criminal sexual act in the first degree.More than 80 women have accused Weinstein of sexual misconduct since claims against him ignited the #MeToo movement in October 2017.",entertainment,"https://static.toiimg.com/thumb/msid-74291302,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-88230/74291302.jpg",http://timesofindia.indiatimes.com//entertainment/english/hollywood/news/disgraced-hollywood-mogul-harvey-weinstein-found-guilty-of-rape-in-new-york-county-trial/articleshow/74291180.cms
5,['25/02/2020'],Big sports events today,"This story is from February 25, 2020

Liverpool players during training session. (Reuters Photo)",sports,"https://static.toiimg.com/thumb/msid-74289918,width-1070,height-580,imgsize-650121,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//sports/more-sports/others/big-sports-events-today/articleshow/74289897.cms
6,['25/02/2020'],Govt panel to consider granting green clearance for new Parliament today,"This story is from February 25, 2020

NEW DELHI: The expert appraisal committee of environment and forest ministry will take up the application for granting environmental clearance for the new Parliament project on Tuesday. Sources said, meanwhile, the housing and urban affairs ministry will soon undertake renovation of Janpath Hotel, which is now lying unused, for temporary relocation of the Indira Gandhi National Centre for Art (IGNCA).

Relocating IGNCA is crucial as government plans to build the first office block on the plot occupied by this government-funded arts organisation. This will pave the way for shifting of offices from the existing buildings and expediting the redevelopment works. Sources said the construction of new office buildings will be taken up in a phased manner so that there is less displacement of people.

As per the Central Vista redevelopment plan, IGNCA will be finally shifted to the area where Jamnagar House hutments are currently located. Sources said the offices operating from these hutments and other such complexes in the area will be shifted to a new building, which will come up on a vacant plot on the Kasturba Gandhi Marg and some of these offices will also be shifted to an office building in Africa Avenue area in south Delhi. Officials said a proper work plan has been prepared to ensure that the entire redevelopment work is carried out smoothly.

Meanwhile, sources said that the Central Public Works Department (CPWD), has bid out the work for shifting of the present reception area and other facilities at Parliament complex. They added the makeshift reception will move close to the existing Parliament. “We need to free up more space for construction of new Parliament. The relocation of reception area will start soon,” said a source.

According to the application filed by the CPWD with environment ministry, the new Parliament will be constructed in 260 days and this will involve nearly 200 permanent and 3,000 temporary workers.

",india,"https://static.toiimg.com/thumb/msid-47529300,width-1070,height-580,imgsize-110164,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//india/govt-panel-to-consider-granting-green-clearance-for-new-parliament-today/articleshow/74291574.cms
7,['25/02/2020'],Govt in a fix over uniform interest rate for land compensation across sectors,"This story is from February 25, 2020

NEW DELHI: The government seems to be in a fix over giving compensation to property owners whose land is acquired for public purposes. Sources said different infrastructure development agencies want the government to allow them to pay 12% annual interest on the total compensation amount as is done by the National Highways Authority of India ( NHAI ).

Sources said the issue was being discussed at the highest level involving all major agencies which acquire land for building infrastructure. NHAI has the giant share of land acquired by such agencies.

TOI has learnt that other agencies, including railways, have told the government that farmers want them to give interest on the compensation amount as the affected parties feel government entities are not following a uniform norm. The notified circle rate is taken as the base for calculating compensation.

As per the land acquisition law of 2013 (known as RFCTLARR), minimum compensation is to be a multiple of the circle rate, plus value of the assets attached to the property and a solatium equal to 100% of the total value of the property being acquired. The law also says that the circle rate notified on the date of the first notification by the government under Section 11, which corresponds to Section 3A of NH Act, will be taken for calculating the compensation amount. With such notifications, the government announces the intent to acquire land.

The land acquisition law specifies that in addition to the market value of the land, the collector (land acquiring authority) shall award an amount calculated at the rate of 12% per annum on such market value for the period commencing from the date of notification of social impact assessment study.

“Since the need to get land quickly is crucial for infrastructure projects for public good, cumbersome procedures (social impact assessment study) under the RFCTLARR don’t apply to 13 laws. The road transport and highways ministry had taken the opinion of Attorney General before coming out with a comprehensive guideline on how to arrive at the compensation,” said a government official.

Officials said the high expenditure on account of land acquisition has become a cause of concern for the government. They added in several cases, the share of land cost is 40-50% of the total cost of projects. In some highway projects, the compensation is higher than the total construction cost.

The PMO has asked the NHAI to come up with solutions of how to reduce the upfront burden on government for acquiring land for highway development.

",india,"https://static.toiimg.com/thumb/msid-47529300,width-1070,height-580,imgsize-110164,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//india/govt-in-a-fix-over-uniform-interest-rate-for-land-compensation-across-sectors/articleshow/74291595.cms
8,['25/02/2020'],Setback for FC Goa as Edu returns home,"This story is from February 25, 2020

Panaji: FC Goa are waiting anxiously to hear whether Edu Bedia will have any more role to play in this season’s Indian Super League ( ISL ).

The Spanish midfielder missed training on Sunday and the team dinner later in the day at a restaurant in north Goa after he was granted special permission by the club to return home due to a personal emergency.

“Hello guys, unfortunately for personal reasons I have to go back to Spain. Best of luck for the next game and see you soon. Come on!!!,” Edu posted in the team’s WhatsApp group.

Edu has failed to make it to the starting eleven this season as former coach Sergio Lobera opted for Hugo Boumous who has been in irresistible form. The former Barcelona player, however, provides for an interesting option on the bench and possibly remains the strongest substitute.

Whether it’s Ahmed Jahouh or Boumous, Edu is a straight-forward replacement and even when interim coach Clifford Miranda wanted to see out the game after taking a 2-0 lead against Jamshedpur FC in the concluding league clash, he chose the Spanish midfielder while pulling out star striker Ferran Corominas.

Club sources said they are hopeful that Edu will return and help the team in the return leg of the semifinal at home on March 7.

Goa will have to wait till the end of the league phase on Tuesday to know their semifinal opponents. It could be Bengaluru FC, who they haven’t defeated since 2017, or if Chennaiyin FC can’t manage a win in their concluding league clash, it will be time for Goa to confront the team who robbed them of the title in 2015.

Meanwhile, club sources said reports and social media chatter that Edu has signed a pre-contract with Jamshedpur FC are incorrect. “He will never sign without talking to the club first, and even if he chooses to leave, Jamshedpur will be his last option,” said one official.",goa,"https://static.toiimg.com/thumb/msid-47529300,width-1070,height-580,imgsize-110164,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/goa/setback-for-fc-goa-as-edu-returns-home/articleshow/74291765.cms
9,['25/02/2020'],I-League stars to face national team,"This story is from February 25, 2020

Panaji: I-League may have lost its top-league status to the Indian Super League (ISL) but players from the lower division will be handed a chance to impress national coach Igor Stimac .

Stimac watched Churchill Brothers FC face Mohun Bagan in Goa last week and was impressed with a few players. He has watched Indian Arrows take on the might of East Bengal too, while assistant coach S Venkatesh has been keeping track of players and reporting to Stimac on a regular basis.

While it may be too soon to expect Stimac to handpick a player from the I-League – someone who he hasn’t seen at the camp so far – for the next World Cup qualifier against Qatar in Bhubaneswar on March 26, they will be handed a chance to impress during a friendly against the national team on April 18, most likely in Imphal.

The friendly will be preceded by a three-day camp.

“We are working very hard on one very important point which was never done in the past. We will choose the best performing players from the I-League at the end of the season and play a friendly game against the national team. We are trying to fit that game in our schedule on April 18. I already have a list of players. It’s a big one and needs to be pruned down,” Stimac told TOI at the Nehru Stadium in Fatorda last week.

It is unlikely that any of the I-League players will be summoned for national duty against Qatar. “It’s too soon because they haven’t adjusted their games calendar to Fifa schedule. They are playing games throughout and I will not disturb that. Once the league is over, some of the players will be part of the national camp,” said Stimac.

Since taking over the team in May last year, Stimac has not had a player from the I-League in the national team. While it’s also true that most of India’s best players are playing in the top-tier, Stimac said he will handpick a player without looking at the division.

“One of the reason we sent Venky to Arrows was because he could scout all the players from other teams (in I-League). He provides me with quality information. We are also trying to educate Indian coaches about the high standard of professional football so that we can work in different directions and improve.

“I have sent a very clear message to all I-League teams, players and people when I presented myself at the launch. The message is clear. They are part of my work and very much involved in what I am planning to do. If they work hard, play well and catch our attention with their quality and behaviour, they will find themselves in the list for the national team,” said Stimac.

",goa,"https://static.toiimg.com/thumb/msid-47529300,width-1070,height-580,imgsize-110164,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/goa/i-league-stars-to-face-national-team/articleshow/74291773.cms
10,['25/02/2020'],Ishaan Khatter wishes his 'Bademiyaan' Shahid Kapoor on his 39th birthday!,"After impressing the audience with his stellar performance in 'Tanhaji: The Unsung Warrior' as Udaybhan Singh Rathore, Saif Ali Khan is all set to step into the shoes of another negative character. The talented actor will be going face-to-face with Prabhas in Om Raut's upcoming film 'Adipurush'.Saif, who started his career with 'Parampara' in 1993 has gone on to deliver several blockbusters on the silver screen. The versatile actor, who is known for taking up challenging and entertaining roles, has always managed to do justice to his characters. While the news of Saif stepping in as Lankesh in Adipurush' has got fans excited, we take a look at the dark and negative characters which the skilled actor has essayed on the silver screen.",entertainment,"https://static.toiimg.com/thumb/msid-74291818,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-95697/74291818.jpg",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/ishaan-khatter-wishes-his-bademiyaan-shahid-kapoor-on-his-39th-birthday/articleshow/74291801.cms
