,Date,Title,Content,Category,Image_link,Article_link
0,['11/01/2020'],State Award is a validation to my talent: Dayal Padmanabhan,"Dayal Padmanabhan, after winning the Best Film and Best Director awards for Aa Karaala Ratri , says, “I consider this one of my best films. It has missed out on a few awards and selections in festivals, which did disappoint me. But I hoped for it to be recognised at the State Awards. The awards that the film has bagged is a validation for my talent. This is my second state award after Haggada Kone and I thank the Kannada film audience and the jury for their support and appreciation",entertainment,"https://static.toiimg.com/thumb/msid-73190990,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-101241/73190990.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/state-award-is-a-validation-to-my-talent-dayal-padmanabhan/articleshow/73191004.cms
1,['11/01/2020'],"Offbeat, parallel cinema reigns at Karnataka State Awards 2018-19","Recently, Kareena Kapoor Khan announced the big breaking news of her second pregnancy with hubby Saif Ali Khan. While fans, friends, and family of the gorgeous diva seem to be growing impatient for the upcoming little bundle of joy who’s expected to arrive by late February to March 2021, one must also recall Bebo’s first pregnancy days when she was carrying her munchkin, Taimur Ali Khan. No doubt, she was a complete stunner in her first pregnancy glow, meanwhile, if the actress is looking for some inspiration for her second round, here’s a list of five celebrities from whom Bebo can take fashion inspirations to ace her maternity look once again. From the supermodel, Gigi Hadid to ace singers like Katy Perry and Beyonce, this list covers some of the most fashionable mommies and mummy-to-be.Photo credit: Instagram",entertainment,"https://static.toiimg.com/thumb/msid-73190827,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-109513/73190827.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/offbeat-parallel-cinema-reigns-at-karnataka-state-awards-2018-19/articleshow/73190865.cms
2,['11/01/2020'],This award completes it for my family: Raghavendra Rajkumar,"Raghavendra Rajkumar, who won the State Award for Best Actor award for Ammana Mane , says, “I am so thrilled to be receiving this award. Leave alone winning an award, I was doubtful about acting in a film ever again, given my health began deteriorating a couple of years back. This second innings of mine is a miracle. The award also reminds me that I have more responsibilities towards my fans. I’m really grateful to my director for giving me this second chance. Everyone in my family, including my sister, has a State Award. This award that I have won now completes it for my family.”",entertainment,"https://static.toiimg.com/thumb/msid-73191032,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-158413/73191032.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/this-award-completes-it-for-my-family-raghavendra-rajkumar/articleshow/73191061.cms
3,['11/01/2020'],Rakshit-Rishab set to unite for underworld subject,"If you loved Kirik Party and have been looking forward to another full-fledged Rakshit Shetty- Rishab Shetty collaboration, your wait might just be over! We have news that Rishab has a film for Rakshit, and the latter is more than ready to take him up on the offer. The movie, we hear, has a narrative that spans generations and the storyline is rumoured to be an underworld subject set across two time periods. Given that they both have their respective filmi commitments at the moment, one wonders when this collaboration will come to fruition. However, as the two buddies have always made it a point to be a part of each other’s projects in one way or the other — so much so that Rishab has already secured a special role for himself, in Rakshit’s next pet project, Punyakoti — there is hope!",entertainment,"https://static.toiimg.com/thumb/msid-73186266,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-140360/73186266.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/rakshit-rishab-set-to-unite-for-underworld-subject/articleshow/73186266.cms
4,['11/01/2020'],This single is about speaking up,"The New Year has started with a bang for Shashaa Tirupati and Chinmayi , who have released their Tamil-Hindi single Yezhundhu Vaa Roothi Hui in Hindi) recently. Talking about the number, the Vaan Varuvaan singer says, “Yezhundhu Vaa is about repair and growth, about weakness and strength, and about wilting and emergence. It’s not limited to one theme or issue or gender. It’s about speaking up and confronting.”Shashaa has composed the song and written the lyrics of the Hindi version. “It’s a duet, sung by me and Chinmayi. We feature in the video as well, which will be released next week. The point was to cater to our audiences, who speak both Tamil and Hindi, and to spread the message, considering it’s a crucial one,” she adds.Ask Chinmayi how she came to associate with the song and she says, “Shashaa sent me the work about two-three months ago and asked me what I thought of it. She then asked me if I could sing it for her. She’s pretty serious about writing, arranging and composing, and has done a good job. We recorded the song in the second week of December.”Shashaa chips in, “Chinmayi was a dream to work with. I’ve idolised her for over a decade and to be able to collaborate on a song with her was absolutely surreal. She was patient, supportive and cooperative and unbelievably easy to work with, no tantrums or air, all for which my respect for her has grown multifold.”",entertainment,"https://static.toiimg.com/thumb/msid-73188998,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-334511/73188998.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/music/this-single-is-about-speaking-up/articleshow/73188998.cms
5,['11/01/2020'],Sri Bharatha Baahubali gives Kannada cinema four new leading ladies,"Director-turned-actor Manju Maandavya ’s film with Chikanna, Sri Bharatha Baahubali , is counting down for its date with audiences next week. Apart from the two leading men, the movie will feature four debutante actresses as well. But who are these ladies who are bound for destination Sandalwood?Model Sarah Harish is a Kodagu hudugi settled in Mysuru and has featured in many prominent commercials before making the switch to the big screen. She plays Siri, an NRI who returns to India to discover her past. Sarah, says Manju, has even dubbed for herself.Techie-turned-actor Shreya Shetty plays the second female lead in the film. Shreya is a village belle in the movie, and features in flashback sequences. Her short and sweet role also provides a pivotal twist to the narrative, shares the film team.Amrutha Yadav acts alongside Shreya in the film, and plays her friend. While her role is brief, it appears in a crucial point of the film.Supriya plays Manju’s sister in the film and the character is far from the run-of-the-mill, conventional hero’s sibling role,promise the makers.",entertainment,"https://static.toiimg.com/thumb/msid-73188906,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-169930/73188906.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/sri-bharatha-baahubali-gives-kannada-cinema-four-new-leading-ladies/articleshow/73188906.cms
6,['11/01/2020'],What’s the AR Rahman connect in Vishnu Vishal’s FIR?,"While Vishnu Vishal is currently shooting for his upcoming film titled FIR - Faizal Ibrahim Rais directed by Manu Anand , a former associate of Gautham Menon , young music composer Ashwath has recorded a song on AR Rahman’s birthday (January 6). Interestingly, the song has been penned by poet Mashook Rahman, who has earlier written Khwaja Endhan Khwaja from Jodhaa Akbar for AR Rahman . The song has been sung by Deepak of Aalaporaan Thamizhan fame and Sugandh from AR Rahman’s Sufi ensemble.Talking about the song, music director Ashwath says, “It feels really good to work with these musicians, who have earlier worked with Rahman sir. Being a huge fan of ARR myself, this feels even more special as we recorded the song on his birthday.”Director Manu Anand reveals that the the song comes in a pivotal point in the film and it also exemplifies the current mood of the country.The film has Manjima Mohan, Raiza Wilson and Reba Monica John as the female leads. The first-look poster had a mask-clad Vishnu Vishal surrounded by newspaper clippings about international terrorist organisations like ISIS and Al Qaeda.What’s the AR Rahman connect in Vishnu Vishal’s FIR?What’s the AR Rahman connect in Vishnu Vishal’s FIR?",entertainment,"https://static.toiimg.com/thumb/msid-73189900,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-123727/73189900.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/music/whats-the-ar-rahman-connect-in-vishnu-vishals-fir/articleshow/73189900.cms
7,['11/01/2020'],Comedian Aakash Gupta’s show at college fest cancelled after minor fire on campus,"Stand-up comedian Aakash Gupta was in Bengaluru on Thursday to perform on the first day of Jain (deemed-to-be) University — Center for Management Studies’ cultural fest Lasya 2020 . However, the performance was cancelled after a minor fire broke out at the venue — MLR Convention Centre — due to an electric short circuit. Students of the college immediately sprung into action and doused the fire with the help of college authorities and officials who were present. No casualties were reported and all students were escorted outside the venue. The second and final day of events went on without a hitch on Friday at the same venue.",entertainment,"https://static.toiimg.com/thumb/msid-73189769,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-133313/73189769.jpg",http://timesofindia.indiatimes.com//entertainment/events/bangalore/comedian-aakash-guptas-show-at-college-fest-cancelled-after-minor-fire-on-campus/articleshow/73189769.cms
8,['11/01/2020'],Comedian Aakash Gupta’s show at college fest cancelled after minor fire on campus,"This story is from January 11, 2020

Stand-up comedian Aakash Gupta was in Bengaluru on Thursday to perform on the first day of Jain (deemed-to-be) University — Center for Management Studies’ cultural fest , Lasya 2020 . However, the performance was cancelled after a minor fire broke out at the venue — MLR Convention Centre — due to an electric short circuit. Students of the college immediately sprung into action and doused the fire with the help of college authorities and officials who were present. No casualties were reported and all students were escorted outside the venue. The second and final day of events went on without a hitch on Friday at the same venue.",bengaluru,"https://static.toiimg.com/thumb/msid-,width-1070,height-580,imgsize-,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/comedian-aakash-guptas-show-at-college-fest-cancelled-after-minor-fire-on-campus/articleshow/73189770.cms
9,['11/01/2020'],State Award is a dream come true for me: Meghana Raj,"Recently, Kareena Kapoor Khan announced the big breaking news of her second pregnancy with hubby Saif Ali Khan. While fans, friends, and family of the gorgeous diva seem to be growing impatient for the upcoming little bundle of joy who’s expected to arrive by late February to March 2021, one must also recall Bebo’s first pregnancy days when she was carrying her munchkin, Taimur Ali Khan. No doubt, she was a complete stunner in her first pregnancy glow, meanwhile, if the actress is looking for some inspiration for her second round, here’s a list of five celebrities from whom Bebo can take fashion inspirations to ace her maternity look once again. From the supermodel, Gigi Hadid to ace singers like Katy Perry and Beyonce, this list covers some of the most fashionable mommies and mummy-to-be.Photo credit: Instagram",entertainment,"https://static.toiimg.com/thumb/msid-73190903,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-265204/73190903.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/state-award-is-a-dream-come-true-for-me-meghana-raj/articleshow/73190919.cms
