,Date,Title,Content,Category,Image_link,Article_link
0,['15/03/2020'],"Personally, I hate it when someone calls me ‘sir’","The all-rounder from Jamnagar, fondly called Sir Ravindra Jadeja, talks about his wins and losses on and off the field, and that famous Rajasthani sword dance at Lord’s…Ever since I have played international cricket, I’ve had the chance to meet different people and have learnt a lot from them. Coming from a small town (Jamnagar, Gujarat), it’s a big thing for me to get this exposure, and I could do all of this thanks to cricket. I am very grateful.It was a great thing for me when I found out that they had bid so much for me. My financial stability really improved after that bid. The day this news reached me, I had exactly `10 in my pocket! I was mainly bought at the base price before that season. After that season, I could take on family responsibilities and take care of all medical expenses.No. Generally, I don’t like materialistic things. I think if I’m a good human being, do good work and help people when required, I’ll be more than happy with myself. Being materialistic is not everlasting. Your greed will get the better of you. Being a good human, however, goes a long way in shaping your life.I generally buy leather shoes. I love leather products like bags, shoes etc. I try to look for a good shop where I can get these whenever I travel.Mom’s dream was for me to play for India, which really motivated me to work harder, and with passion. Unfortunately, she wasn’t with us when I played. But because of her, my passion for cricket increased. Cricket always comes first for me. My passion is still the same as it was when I was a kid. And I practise the same way as I used to earlier. But I wish my mother was around to see how well I have done – as a player and financially.Earlier, social media would affect me a lot. I didn’t know how to react when I was new in the team. I would get very disturbed. As I kept playing, I understood my abilities. Slowly, the self-doubts in my skill disappeared and I became more confident. Trolling stopped affecting me completely. My Twitter game has also improved a lot, don’t you think?I love horses. Earlier, I’d go to my friends’ farms to ride horses with them. Now, I have my own farm, and in my free time, I usually ride in my farm. I am very emotionally attached to my horses. I love spending time with them, and I feel our bonding has also improved. Wherever I am, I keep checking on my farm – whether everything is okay, are the horses looked after well, etc.The Lord’s Test was an important match to win because everyone knows the value of winning there. It was the first time I did the sword celebration. That move came to me naturally, it wasn’t pre-planned. But since I’m good at it, I think swordplay has become MY thing. Often, players in the dressing room want me to entertain them with this dance.There are many players who are witty. Virat (Kohli) is one of those, because he mimics others very well and his jokes are good. So, I think Virat.(PICS: INSTAGRAM@ROYALNAVGHAN)The biggest achievement for me is that I played for India. The most special day for me was my debut match. Coming from a small city to represent India was a big thing for me. You will lose and win many matches, but I just try to enjoy my cricket irrespective of results. I don’t play for records or think that deep. My motive is to keep enjoying the game.North Indian food is tasty but obviously not healthy. We try to avoid unhealthy food, but given a chance I love daal makhni with paratha.I’m not really sure if these guys in our team can cook! I’ve not seen any player cook. I know how to make just masala chai on my own. I try to make it at home whenever I have time.After a match, we de-stress by listening to music in the dressing room. Irrespective of the result, we do that.I like to listen to Nineties’ music. I really like Kumar Sanu ji’s songs because they had deep meaning. I like Bollywood movies with a good story. Nowadays, biopic is the new trend. Given time, I’d like to watch those as well.I don’t really have a special bucket list. I just like to explore different places and meet different kinds of people, learn their culture wherever I go. As cricketers, we get to explore different countries, and thanks to cricket, I have been able to meet different kinds of people and learn from them.Actually, Mahi bhai (MS Dhoni) had tweeted around 3-4 years ago, and since then, the ‘sir’ thing has stuck with me. Personally, I hate this title. I really dislike it when someone calls me ‘sir’. I always tell people to call me by my name, be it Jaddu or Jadeja.A professional horse riderYoung team, young cricketers so everyone is pretty fashionableSeen many crazy fans, but the one who I remember had a permanent tattoo portrait of me! That was a big thing for meI’ve travelled to a lot of places, but my favourite destination is London. I really love the culture and the city. You can go shopping or to a restaurant and have a good time. Daytime, when the sun is out, it’s more beautiful.I met my wife for the first time through my family. We’ve had an arranged marriage.She’s very honest, whatever be the situation she will tell you the truth. I like her ability to be straight forward. That’s what I like most about her.",life-style,"https://static.toiimg.com/thumb/msid-74592045,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-79742/74592045.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/personally-i-hate-it-when-someone-calls-me-sir/articleshow/74591943.cms
1,['15/03/2020'],Times of India,"You don’t really need rocket science to know that turmeric is good for you. It’s a universal truth, at least since the dawn of gold lattes and moonmilk. The challenge is now to crack the use of this potent spice. Nutritionists say look for one with more curcumin in it. Curcumin is the active ingredient of turmeric and scientific research shows it to have natural anti-inflammatory and anti-cancerous properties. The higher the curcumin content the more effective it will be. This is what makes Lakadong turmeric so sought-after. Indigenous to the north eastern state of Meghalaya in India, Lakadong turmeric is the real deal.Of the 11 districts of Meghalaya, Lakadong grows in a small region called Jaintia Hills and is renowned for its high curcumin content of up to 8 per cent, compared to usual varieties of turmeric with an active ingredient content of 1–3 per cent. This makes the variety of particular interest to medicine and supplement manufacturers who use higher content curcumin in their products for better efficacy. The Jaintia hills (split into east and west) produce at least three turmeric varieties – Lachein, Lakadong and Ladaw, each with its distinct identity.It must be remembered that turmeric is a warm food and therefore might not suit everyone. If you have pitta dosha as per Ayurveda, use it in minute amounts in the beginning to see if it suits you or not.",life-style,"https://static.toiimg.com/thumb/msid-74610712,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1584658/74610712.jpg",http://timesofindia.indiatimes.com//life-style/health-fitness/wellness/strike-gold/articleshow/74608040.cms
2,['15/03/2020'],Puneeth Rajkumar cancels birthday celebrations with fans,"Actor Arjun Kapoor, who is quite active on social media, has taken to his Instagram handle to share a happy video post recovering from COVID-19. He was tested positive for the deadly virus earlier and he was quarantined at his home.",entertainment,"https://static.toiimg.com/thumb/msid-74626272,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-87489/74626272.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/puneeth-rajkumar-cancels-birthday-celebrations-with-fans/articleshow/74626281.cms
3,['15/03/2020'],Thinking teatox?,"When did brewing tea leaves become so à la mode? Be it posing with a herby tea concoction on Instagram or signing up for a customised tea kit that gives you a morning tea to energise the body and nighttime tea to cleanse the system — tea is the new detox people are hung over. From slimming teas to herbal concoctions, is a teatox really worth the fuss? Yes, only as long as you keep the process natural and organic.Weakened immunity. “Artificial food products, flavouring, and colouring induce stress on the body, weaken body’s defence mechanism and slow down metabolism. These chemicals are also known to increase inflammation, which is commonly associated with various gastronomical illnesses. This is why detox teas have gained popularity. With naturals ingredients such as flowers, roots, herbs, and stems, these teas claim to detoxify the byproducts of various artificial products in the body and flush out the free radicals. The key lies in choosing wisely,” says Kausshal Dugarr, CEO of a well-known tea company.Another trigger for wellness teas has been the obsession with weight loss . Detox teas contain a variety of ingredients including some that claim to help with weight loss: stimulants like guarana which can contain up to four times the amount of caffeine in coffee. What people don’t realise that too much caffeine will cause issues like jitteriness and nervousness. The reason you might see a short-term dip on the weighing scale is because these teas are also dehydrating.Tea’s healing abilities have been known to mankind forever now, so why adulterate it with so called ‘detox’ ingredients? Most teatoxing kits combine tea leaves with all-natural ingredients like senna leaf, ginseng root, liquorice root, chrysanthemum, nettle leaves, psyllium seeds, cinnamon bark, cloves, rhubarb, ginger, and lemongrass. While most of these ingredients are natural, their overuse may disrupt the body’s natural rhythm.While the world goes berserk over green tea, black tea (the Chinese variety, not the English), oolong, and a tea called pu’er are also potent medicines. In fact, all herbs are medicine, whether they’re in the form of ‘tea’, infusion, tincture, or capsule. One just needs to be careful since some herbs and flowers in teas can trigger allergies. Always read the ingredients on the package before you consume a new herbal tea. Also, tea can only be medicinal and detoxifying if your diet isn’t taxing your system, which most modern meals are guilty of. “A detox tea prepared with certain herbs and spices like ginger, lime, mint leaves does help in clearing out toxins but only when combined with clean eating. Following (see box) are a few teas to sip on,” says holistic nutritionist Hetal Chheda.ingredient in most teatoxes is senna leaf which acts as a laxative that can actually hurt the stomach lining and cause cramps, bloating, gas and nausea.A high quality green tea powder that’s high in catechins – naturally occurring antioxidants that may boost your metabolism and increase fat burning.Helps speed the liver’s ability to turn fat into energy. It blocks the formation of new fat cells in the body. The body’s process of breaking down stored fat also speeds up.Ashwagandha gives you a better outlook on life and reduces stress hormones that wreak havoc on your waistline. These hormones can lead to inflammation that is directly related to diabetes and heart diseases.Flavonoids and other compounds found in the hibiscus plant help to counteract bloating. A cup will actually make you feel lighter.Improves blood pressure and circulation, boosts good cholesterol while lowering bad cholesterol, keeps hair strong and skin healthy, and provides relief from allergies.This fragrant spice-shelf herb can ward off certain kinds of stress-induced headaches since it helps keep blood vessels dilated.",life-style,"https://static.toiimg.com/thumb/msid-74593397,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1012666/74593397.jpg",http://timesofindia.indiatimes.com//life-style/health-fitness/diet/thinking-teatox/articleshow/74593397.cms
4,['15/03/2020'],You won’t get the India vibe anywhere else in the world: Alexis Kings,"British rock band Alexis Kings recently performed in the city as part of its maiden India tour. Led by vocalist Brendan Aherne, Sam Privett on guitar and Fabio Bocca on drums, the band whose first single Squire made it to the UK charts, was on a four-city tour in the country, starting with Bengaluru. One of the very few bands to not cancel its tour despite the Coronavirus scare, Alexis Kings made sure to try all things desi before heading back home. In a quick chat over chai and vada pav, Brendan spoke to us about their trip.When we think of India, we think of colourful surroundings, cultural diversity, spicy food and friendly people. You’re not going to get a similar kind of setting anywhere else. Our next song, Strawberry Blonde, will have parts of the video shot in India. We have already shot a few sequences in Mumbai and are loving the way its turning out to be. We love the vibe of Bengaluru and enjoyed a few dosas on our morning outing. I’m an Irish man, so if you give me anything made of potatoes, I’m happy. I even had a few vada pavs while shooting in Mumbai; they were absolutely amazing.I wish we had a very elaborate story behind the name (laughs). Sam and I went to school together and just came up the name, which we thought sounded cool. We started performing at pubs and then, when we joined the university together, it got a lot more serious for the two of us. We met Fabio at one such gig; he was a mutual friend’s sister’s boyfriend at the time. We needed a drummer and he chipped in for the gig, but I guess, he was here to stay.I’d say gigs, any day. We love recording and putting out our songs as well, but I think we developed ourselves as a collective only after a lot of performances, so the credit does go to a lot of gigs. Recording singles is fantastic too, but that is a tad more boring in comparison. Gigs also help you to see how the audience reacts to your new set of songs.We’ve already met up and jammed with Bollywood singer Aditya Narayan. We loved him. Rapper Badshah had some really peppy numbers. Arijit Singh has a beautiful melodious voice! With so many different kinds of music here, the audience here is more receptive than others. I think it was also great to begin our tour with the rock capital of India.",entertainment,"https://static.toiimg.com/thumb/msid-74626182,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-248415/74626182.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/music/you-wont-get-the-india-vibe-anywhere-else-in-the-world-alexis-kings/articleshow/74626182.cms
5,['15/03/2020'],Is it just snoring or something more?,"Many people treat snoring as a joke or something to feel embarrassed about. But loud snoring — especially when accompanied by daytime fatigue — may be a sign of sleep apnea, a common but serious disorder in which breathing repeatedly stops and starts as you sleep.Obstructive sleep apnea is a sleep disorder in which breathing is briefly and repeatedly interrupted during sleep. Obstructive sleep apnea occurs when the muscles in the back of the throat fail to keep the airway open, despite efforts to breathe. Another form of sleep apnea is central sleep apnea, in which the brain fails to properly control breathing during sleep. In adults, the most common cause of obstructive sleep apnea is excess weight and obesity, which is associated with soft tissue of the mouth and throat. During sleep, when throat and tongue muscles are more relaxed, this soft tissue can cause the airway to become blockedChronic snoring is a strong indicator of sleep apnea and should be evaluated by a health professional. Since people with sleep apnea tend to be sleep deprived, they may suffer from sleeplessness and a wide range of other symptoms such as difficulty concentrating, depression, irritability, sexual dysfunction, learning and memory difficulties, and falling asleep while at work, on the phone, or driving.Positive airway pressure machines, used with a variety of breathing masks, are the most widely used treatment for moderate and severe sleep apnea. The American Academy of Sleep Medicine has alsoapproved oral appliance therapy as a first line treatment for patients diagnosed with mild to moderate sleep apnea.Oral appliance therapy is an effective, non-invasive treatment that fits easily into your lifestyle.- Lose weight- Quit smoking- Avoid alcohol, sleeping pills, and sedatives- Exercise regularly-Avoid caffeine and heavy meals- Maintain regular sleep hours- Sleep on your side- Prop your head up while sleeping",life-style,"https://static.toiimg.com/thumb/msid-74593521,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-550273/74593521.jpg",http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/is-it-just-snoring-or-something-more/articleshow/74593521.cms
6,['15/03/2020'],Friday: 14 films hit screens in Bengaluru Saturday: Theatres shut! What next?,"In response to the coronavirus threat and as a precautionary measure to stop its spread, the Karnataka government issued a directive on Friday asking all cinema halls to shut down for a week. This comes close on the heels of the Delhi government’s decision to keep all cinema halls closed till March 31, which affected films like Angrezi Medium that just hit theatres and Sandeep Aur Pinky Faraar, Sir and Sooryavanshi that were targeting release dates this month. With movie halls in Kerala also shut, regional cinema in the south is looking at an uncertain future — at least for the time being. With Bengaluru accounting for a major share in terms of collections, not just for its local Kannada film industry and Bollywood, but Tamil, Telugu, Marathi, Malayalam and many other regional industries also, there will be a severe dip in collections, say industry insiders.This week, for instance, Bengaluru had 14 new film releases, which included movies in Kannada, Hindi, English, Tamil, Telugu and even French. Although the government order now is only for a week’s closure, it is likely to be extended, putting the release plans of many films in disarray. The most affected, so far, were those who chose to stick with their release plans this week.Producer-distributor Karthik Gowda says, “All the films that released this week, including a few keenly-awaited Kannada titles, will have massive setbacks, given the investments they made on the release and distribution. Ideally, when movie halls reopen for business, they should be given priority to release, but that is for the Karnataka film chamber to decide.”A theatre owner from Magadi Road adds, “Since the COVID-19 scare, movie halls across the city have been operating with minimal occupancy, The government directive comes at a good time and hopefully, once we reopen, things will be back to normal and people will come to watch movies. Hopefully, the new films from this week, will be the first to release again, as they are the worst affected.” Raksh, who debuted with this week’s Naragunda Bandaya, says, “We respect the Chief Minister’s decision to prioritise the health and well-being of people above all else. Although the film had a good response in other centres, we are pulling it from movie halls across the state, until the situation gets better. We have been assured by the film chamber that our film will get priority to re-release.”After days of speculation whether the Akshay Kumar-starrer Sooryavanshi would brave the situation and stick to its original release date, March 24, its makers have now decided to push it. A statement from the team read, “Due to the recent coronavirus outbreak, we, the makers, have decided to postpone the release of Sooryavanshi, keeping in mind the health and safety of the audience. Sooryavanshi will be back when the time is right.”Tillotama Shome-starrer Sir, which was to be released on March 20, has also been postponed. Shiladitya Bora, who is spearheading the India release of the film, tweeted, “Bearing in mind public health concerns and the advisory from the health ministry, we have decided to postpone the release of Sir. We look forward to sharing the film with our home audience in India and will announce an updated release date ASAP. Meanwhile, we urge everyone to stay safe and take all necessary health precautions.”Kushka, directed by Vikram Yoganand, was supposed to hit screens on March 20. “We are deferring the release of our film to April. We had taken a hit and seen how people were scared to step out with our previous release, Ondu Shikariya Kathe. We realised that releasing a film in times of panic is a bad business decision,” says actor Nihal Rajput, who is bringing Kushka to theatres. The makers of Turtu Nirgamana have also pushed their release ahead.Director Tharun Sudhir , whose Roberrt is slated to release on April 9, says, “We are not making any announcements as of now, as we think the situation should be under control by then. There’s still close to a month’s time and things could clear up by then. However, if we do have to defer the release, we will, as it will be inevitable.”An industry insider, on the basis of anonymity, maintained, “Rumours in industry circles is that given the situation in Kerala and Karnataka, Vijay’s much-anticipated film Master may have to look at a new release date. If the theatres remain shut beyond April first week, the team will have to reconsider, since Karnataka and Kerala are major market players for them. This is purely speculative,though, as of now.”Sanjay Suri, who’s involved with the India release of the French film Les Miserables, which also hit theatres this weekend, had earlier stated, “We shall wait for the situation to improve and see if a phase-wise release is possible when the shutdown is lifted. Safety is most important.”The spread of coronavirus and the resulting shutdown in places like Delhi, Karnataka and Kerala will also affect the business of films that were released in the previous weeks. Yogesh Raizada of Wave Cinemas says, “Had the occupancy in cinema halls not dipped last week because of the coronavirus scare, Baaghi 3 would have done even better.” Ahmed Khan, director of Baaghi 3, says, “The safety of the audience is extremely important. We would never want their lives to be at risk. It’s unfortunate that the theatres in Delhi will be shut for a while now and that will affect the overall collections of my film, but some things are beyond our control. We must follow what the government bodies decide.”Anubhav Sinha, whose directorial Thappad is also still in cinemas, says, “Thappad has completed 80% of its run at the box office. Delhi contributes about 15% to the collections. That will be impacted but we have to live with it because logon ki jaan se badhkar kuch nahi hota. But we should not panic because that can just make the situation more difficult to handle. Apart from pulling down shutters of theatres in Delhi, governments across states and UTs need to educate people about this disease.”— With inputs from Niharika Lal and Rachana Dubey",entertainment,"https://static.toiimg.com/thumb/msid-74626184,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-210354/74626184.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/friday-14-films-hit-screens-in-bengaluru-saturday-theatres-shut-what-next/articleshow/74626220.cms
7,['15/03/2020'],Column: Tongue in Check,"Want the latest buzz on the gossip front? A peep into the lives of the rich and famous? A wind of Chennai’s best-kept secrets? Writer, activist, anchor, and queen bee Apsara Reddy fills you in ...Has Harish Kalyan gotten bored of his looks? He is said to have told his close pals that he needs a makeover and has been in talks with an international stylist to redefine his image.Shweta Mohan is one lucky babe. Her husband recently gifted her a beautiful luxury gift that she’s over the moon about. Reason? The hubby, who usually gifts her jewellery, has gifted her a swanky gadget this time.Ramya Nambeesan has been gifting friends and family hand sanitisers and checking on friends near and far. She has also told her close pals to find out if she can help the affected in one way or the other.There’s been a war brewing forever in the Nadigar Sangam, between Ishari Ganesh and Vishal. This time, Ganesh seems to have lobbied strong enough to woo over Vishal’s supporters. It seems his style of communication and generosity are holding him in good stead.While hotels and event management companies are rushing to cancel events due to the genuine fears over COVID-19, there are some sneaky hoteliers who are asking promoters to conduct events in their bars. At a plush hotel in the city, organisers have been told to conduct their event inside the bar and not advertise it widely!( Views expressed above are the author’s own)",entertainment,"https://static.toiimg.com/thumb/msid-74626904,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-333004/74626904.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/column-tongue-in-check/articleshow/74626904.cms
8,['15/03/2020'],Time for lip service?,"You just have to scroll through Instagram to see how everyone – from celebs to beauty influencers are proudly owning and displaying full lips. From beauty czarina Kylie Jenner to your local beauty blogger, everyone is pouting away to glory. The scope of getting the perfect pout is huge – from subtle pillowy lips to exaggerated volume. If you are smitten by the plump pout trend but want to steer clear of invasive methods, check these ideas.Exfoliation is not for your face and body alone, your delicate lips need it as much. “Exfoliating your lips increases circulation, helping blood to rush to your lips to make them look fuller. Use a soft toothbrush to scrub away dry, flaky skin, leaving the fresh skin underneath,” advises aromatherapist Blossom Kochhar. Or scrub it with a blend of powdered sugar and honey to remove traces of dryness or flaky skin. Keep it moisturised with a hydrating lip oil or balm – it helps in defining the pout and gives an illusion of fullness. Beauty blogger Manavi Siddhanti has a tip: “If you have naturally thin lips, using lip balms with hyaluronic acid (the key ingredient used in fillers by dermatologists) will help in achieving some fullness.” Kochhar emphasises on picking lip balms with ultra-hydrating products like beeswax, coconut oil, shea butter and essential oils.Apparently, kitchen ingredients can work as lip volume enhancers. Most of the plumpers available with beauty brands contain spices like cayenne pepper, cinnamon and liquids like olive oil, glycerin, peppermint oil as active ingredients. These balms/gloss give a temporary pout that’s not as in-your-face as a lip-enhancing surgery.Take an ice cube from the freezer and hold it onto your lips; the coldness from the ice activates the sensory neurons in your lips and makes them slightly bigger than its real shape. Follow up with a nice lipstick or gloss. This temporary pout lasts for 4-6 hours.The safest non-surgical method used in aesthetic clinics for accentuated lips are hyaluronic acid-based fillers that are FDA approved for lip enhancement, definition as well as hydration. “Generally the result of hyaluronic acid fillers last up to a year. It is a safe technique that gives long-lasting results. Nowadays, these advanced fillers procedures are painless and it takes only 10-15 minutes,” says dermatologist Dr Navin Taneja.Hydrate the skin around your lips too with coconut or almond oil.Lines or dryness in thatarea makes lips seemless plumpLip enhancers, aka plastic plumpers, are available online for temporary fullness. Check videos online to know how to use itTake 1 tsp white butter or cream and add 1 drop of cinnamon essential oil to it. Apply it regularly to your lips. You might feel a tingling sensation that will go away within few minutes. Cinnamon creates a temporary swollen look and butter offers deep hydration. Do this 2-3 times a week and you will notice your lips getting plumper.NOTE: Do a patch test under your ears to check for allergies to cinnamon— Blossom Kochhar, AromatherapistDisclaimer: Before trying out any lip-enhancement treatement or even OTC product, it’s best to consult an expert- Pallavi Shankar",life-style,"https://static.toiimg.com/thumb/msid-74593116,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-86511/74593116.jpg",http://timesofindia.indiatimes.com//life-style/beauty/time-for-lip-service/articleshow/74593054.cms
9,['15/03/2020'],Eating on the fly,"by Pooja MakhijaConsulting Nutritionist & Clinical DieticianIn part one last week, we addressed the disruption that work travel brings with it, and what I find to be the most common health mistakes people make. Topping the list was missing breakfast, drinking too little water, drinking too much alcohol, and skipping exercise altogether. In a perfect world, while the obvious solution would be to do all of these things well, travel is not a conducive environment to do any of these things. This is where small, incremental changes work wonders.Like most things, staying healthy starts in the mind: if you start a work trip with the intention of being healthy, chances are you’ll be far more successful ending it that way. And like most things, the devil is in the detail. Even minor changes in your approach can have far reaching results. Small change, big lose. Here’s how you can think small for big results:Eat Protein with Every MealWhether it’s pulses, eggs (whites preferable), lean meats like chicken, fish or seafood, or even alternative options like quinoa, protein not only helps your brain to think more clearly, but also keeps you fuller for longer.Take a Water BottleOne of the easiest things to access, water is your best friend on work trips. Sip your way to better concentration, better body function and a smaller appetite.Eat in smaller burstsLong meetings are unavoidable, but not even the meanest boss can deny you a loo break. It’s the best time to pop those quick, healthy foods hidden away in your pocket like almonds, raisins and roasted chana. While the ideal is to eat every two hours, healthy snacks between meals can boost your concentration, your metabolism and also prevent overeating at dinner. To that end, you could also......Pack small snacksIf nuts aren’t your thing, you could also carry healthy crackers, puffed rice, fresh fruit and other small, compact healthy snacks. These will also help you to......Say no to sugarTheir empty calories notwithstanding, eating sugary foods is the worst thing you can do to your body on a work trip. This is because sugar spikes your body’s blood sugar levels only sending them crashing down, leaving you exhausted and unable to focus.Choose a hotel with a gymEven 15 minutes on a treadmill can work wonders for brain clarity and stress management. And if you absolutely cannot make time, eschew the company car for a walk. As with most exercises, the point is to move as much as you can, as often as you can.Drink lessApart from the unnecessary calories that alcohol brings, it has rarely worked to a professional’s advantage to be tired and dehydrated the next day.",life-style,"https://static.toiimg.com/thumb/msid-74593188,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-193955/74593188.jpg",http://timesofindia.indiatimes.com//life-style/health-fitness/diet/eating-on-the-fly/articleshow/74593188.cms
