,Date,Title,Content,Category,Image_link,Article_link
0,2020/03/31,Crisis deepens in All India Chess Federation as president removes secretary,"AICF is awaiting a directive from the Madras High Court regarding fresh date of elections of its office-bearers

The crisis-ridden All India Chess Federation (AICF) plunged into further turmoil when its president P.R. Venketrama Raja removed Bharat Singh Chauhan from the post of secretary of the federation on Monday.

In a three-page letter, dated March 30, addressed to Chauhan, Raja detailed the reasons for his action, and said he had no option but to exercise his “extraordinary powers as the president of AICF under Article 15 (a) of the AICF Constitution and Bye-Laws.”

It may be recalled that the AICF is awaiting a directive from the Madras High Court regarding fresh date of elections of its office-bearers.

In February, Chauhan (secretary), Ajay Patel (president) as well as three others were declared elected unopposed to the principal posts of AICF.

Later, the Madras High Court ordered fresh elections and the Supreme Court dismissed a Special Leave Petition challenging the verdict.

When contacted, Chauhan questioned Raja’s authority and dismissed his action of removing him as a “malicious attempt to cover his tracks.”

He argued, “Raja ceased to be the AICF president from February 11, the date on which the court-appointed Returning Officer declared Mr. Patel as the newly elected AICF president.

“Despite the Hon’ble Madras High Court ordering fresh elections of AICF, Mr. Patel, being the last person to hold the AICF president’s office, remains the interim president till fresh elections are conducted.”

He alleged Raja announced his removal to save All Marathi Chess Association, which was delaying the submission of the accounts for the World Youth Championship held last October.

“AMCA received a State Government grant of ₹2 crore for the championship and did not bother to account for it. Last of my letters seeking AMCA’s response was sent on March 29, and within a day, Raja, without authority, announced my removal.”

Strange development

In another strange development, 12 affiliates have jointly called for AICF’s Special/Extraordinary General Body Meeting on April 24 in the Capital.

The letter, written on Chandigarh Chess Association’s letterhead claiming representations from 12 States and Union Territories and listing a nine-point agenda, read, “We had sent to Hon. secretary, AICF, a requisition in writing to call a Special/Extraordinary General Body Meeting of AICF as per the rights and powers vested in them under Article 11 of the Constitution of the AICF and Section 28 of the Tamil Nadu Societies Registration Act 1975. As the Hon. secretary of AICF has expressed in a letter dated 29.03.2020 his inability to call such a meeting we have decided to call for the meeting.”",other sports,https://www.thehindu.com/sport/other-sports/aek1ni/article31222376.ece/ALTERNATES/LANDSCAPE_615/Chess-boardjpg,https://www.thehindu.com/sport/other-sports/crisis-deepens-in-all-india-chess-federation-as-president-removes-secretary/article31222201.ece
1,2020/03/31,"Country’s collective willpower will beat COVID-19, says Yogeshwar","The wrestler shares how his determination helped him stay isolated in South Africa

Olympic bronze medal winning wrestler Yogeshwar Dutt has a simple solution to the problem of staying confined at home in the time of a nationwide lockdown.

Sharing how his determination helped him stay isolated for six months in South Africa while recovering from a knee surgery, Yogeshwar said the country’s collective willpower would beat the deadly COVID-19 virus.

Failure at the 2008 Beijing Olympics had made Yogeshwar hungrier for success. He travelled to South Africa in 2009 for a surgery to fix his injured knee. The time required for recovery and rehabilitation tested Yogeshwar, who has bagged several medals in top level competitions, including the 2012 London Olympics.

“I spent six months in recovery and rehab. I was almost alone. In those days it was not easy to speak to one’s family over phone. I used to watch whatever Indian films came on television and listened to music to pass my time. My only aim was to recover from the injury and become fully fit. I focused on that to overcome my loneliness.

“Right now, we should aim at beating coronavirus. This will make our stay at home easier. These days we have got so many facilities, including social media, to stay engaged. Spending time with family is another good option,” Yogeshwar told The Hindu.

For Yogeshwar, who joined politics during the Haryana elections last year, social commitments have increased. But he is monitoring all this from home. “In our Gohana village, we are feeding about 2000 to 3000 people every day. We are also trying to extend help to all the needy people in our locality. We have a 12-member team, which is looking into all this.

“Amid all this, we are following the rules of social distancing. The biggest challenge at this moment is helping poor families with food and other basic needs,” said Yogeshwar, who has shut down his wrestling academy to protect the trainees from the virus.

Welcoming the postponement of the Olympics, Yogeshwar expressed confidence that the Indian wrestlers would be unaffected by the one-year delay.

“All of them have been performing well for the last two-three years. They need to protect themselves from the virus, maintain focus and use the additional time to get back to top form again. They know how to do it, they just need to stay fit,” said Yogeshwar.",other sports,https://www.thehindu.com/sport/other-sports/q5fq7c/article31230211.ece/ALTERNATES/LANDSCAPE_615/TH01YOG,https://www.thehindu.com/sport/other-sports/countrys-collective-willpower-will-beat-covid-19-says-yogeshwar/article31219650.ece
2,2020/03/31,"Today’s cache | Zoombombing, VPNs and more","Today's cache is your daily download of the top 5 updates from the world of technology.

Advances in technology is making online meeting easy and free in our times. We are videoconferencing with people frequently these days. And one of the top trending platforms is the Zoom videoconferencing app. Today, we look at the app’s security vulnerability, and how you can protect your own virtual conversations with the help of secure VPNs.

And on the other side, engineers are trying to fully charge an electric vehicle in less than 10 minutes for Formula E race in 2022.

Finally, moving to engage kids at home, Spotify launches its Kids service in three countries, and parents are allowing their children to use Facebook’s Messenger Kids app.

Zoom’s privacy policies questioned

As millions of people have been advised to stay at home due to COVID-19, videoconferencing app Zoom has become the mainstay for people to connect with each other.

According to market research firm Sensor Tower, Zoom’s cloud-meetings app is currently the most popular free app for iPhones.

As its popularity grew, so did questions surrounding its privacy and data projection policies.

In the last few weeks, Zoom’s screen-sharing feature has been exploited by internet trolls. They hijack meetings and interrupt educational sessions leading to what is now called “Zoombombing.”

New York’s attorney general Letitia James on Monday sent a letter to the company asking if it has taken any new security measure to handle the surge in traffic on its network and to detect hackers, according to a report by New York Times.

The letter outlined several concerns on the company’s slow response to security vulnerabilities on its platform. These gaps could allow malicious third-parties to gain access to users’ cameras.

Zoom had updated its privacy policy on Sunday after users reported concerns, and Monday, its chief executive and founder Eric Yuan said in a statement that the company has taken its users’ privacy, security and trust extremely seriously.

“We appreciate the New York attorney general’s engagement on these issues and are happy to provide her with the requested information,” the statement added.

Protecting yourself online with VPNs

As most of us communicate online, it is important to send and receive messages and data over secured networks.

Most public networks are not secure. They easy targets for people trying to snoop on your data that is sent unencrypted. Accessing a website that doesn’t use HTTPS will make your communication vulnerable to malicious attacks.

A secure website is marked by a green lock icon. If this lock is missing, anyone can view the data you send. So, using a private network helps keep your data safe.

A Virtual Private Network (VPN) is like a tunnel that you can use to pass through a public network. It helps protect your data in transit from hackers or scamsters. It keeps both encrypted and unencrypted data safe. By changing your IP address, it also protects your privacy to an extent.

So, here are some VPN providers that have been tested by WIRED. They have all been independently audited and have published their results.

ExpressVPN: is known for not keeping customer logs. At one point of time, it failed to produce records on customers in courts even after the Turkish government seized its servers. It costs $6.67 a month for a one year upfront purchase.

TunnelBear: It has a bear animation explaining what a VPN does and what it doesn’t. It also offers the same security features as other VPN providers with a no-logging policy. It costs $4.99 per month for a one year up front purchase.

Mullvad VPN: The Sweden-based company offers total anonymity so you can generate a random account number, write it down and mail it along with cash to Sweden. And no one can connect the sender to the random account. It costs $5.60 per month.

Charging an electric car in about the same time as filing gas

Tesla and Porsche have recently deployed 250-kilowatt public charging stations. These charging units can power some vehicles to full charge in about 40 minutes. That’s a big leap considering how long it used to take for battery vehicle to get charged fully.

Now, as if a 40-minute full charge isn’t short enough, Formula E officials want new cars in the all-electric racing series to pack a full charge in about 10 minutes.

The team had announced the specs for their third-generation all-electric race cars that will debut on the motorway in two years.

Increasing the battery charging rate is a function of how fast lithium ions flow from the cathode to the anode, and how much ion the anode can hold.

Making thicker anodes solved the part of the equation on the storage, but the flow of ions sometimes gets slower as they can’t penetrate the anode fast enough while charging. This delay causes a molecular traffic jam, making lithium to stay on the surface, leading to a phenomenon called lithium-plating.

To solve the flow part, engineers are planning to add silicon to the anode, instead of graphite. According to a review paper on eTransportation, silicon can change the anode’s crystal structure in a way that makes lithium plating less likely.

Enevate, an energy storage company, has been working on this for the last 15 years with pure silicon anode. The company’s researchers announced that their latest generation of batteries could be charged to 75% in just five minutes, according to a report by WIRED.

Spotify Kids app launched in US, Canada and France

Spotify’s standalone app Kids, aimed at kid-friendly music and stories, is being broadly made available in the U.S., Canada and France, the company announced on Tuesday.

The app debuted in Ireland last fall, and was made available to Spotify’s Premium Family subscribers.

Spotify’s Premium Family plan costs $14.99 per month, and it can be accessed by six people in the same household. It offers ad-free music streaming, each with their own personalised accounts.

The Kids app can be customized by age range. Also, the content is hand-curated by Spotify editors, unlike YouTube kids app, which uses an algorithm to suggest content.

More children are using Facebook’s Messenger Kids app

The COVID-19 outbreak that pushed schools to shut has made Facebook’s Messenger Kids popular, according to a report by MIT Technology Review.

The app showed a noticeable increase in downloads as the coronavirus pandemic erupted, according to SensorTower.

Parents are allowing their kids to use the Messenger as it helps them to stay in touch with their friends. Also, it offers them a chance to get on with their own work while their kids engage with their friends.

The app was originally launched in 2017 to allow kids too young to join Facebook to use their parents’ account to chat with other kids.

Parents had full access to their accounts, and had to approve who their children can contact.",technology,https://www.thehindu.com/sci-tech/technology/bbeyxy/article31219941.ece/ALTERNATES/LANDSCAPE_615/31THCACHE-2,https://www.thehindu.com/sci-tech/technology/todays-cache-zoombombing-vpns-and-more/article31219942.ece
3,2020/03/31,"Top news of the day: 1,000 evacuated from Nizamuddin mosque with 24 testing coronavirus positive, Maharashtra govt staff to get salary in two instalments, and more","The major news headlines of the day, and more.

All symptomatic people were being tested for COVID-19 after shifting them to different hospitals in the city, officials said. While some 330 have been sent to hospitals, over 700 have been sent to different government-run quarantine facilities. A total of 24 people from the centre have tested positive for COVID-19, though not all of them are from Delhi. | Nizamuddin centre COVID-19 cases spark a controversy

Punya Salila Srivastava, a Joint Secretary in the Union Home Ministry, told reporters during a daily briefing that over 23 lakh people are also being provided food at these camps. | Ensure food, medicines for migrant workers in shelters, says Supreme Court | Full coverage: Lockdown displaces lakhs of migrants

Blames ‘fake’ online messages for the panic. | Watch — Trains and stadiums turn COVID-19 quarantine facilities

The pilots have also raised questions about the lack of medical facilities. | Provide security to doctors, other healthcare providers, J&K HC directs police

Hours after announcing cut in salaries of all elected representatives, including the Chief Minister and Deputy Chief Minister and all Ministers, the Maharashtra government has withdrawn it. | Helpline numbers

Gita Sen, director and distinguished professor, Ramalingaswami Centre on Equity & Social Determinants of Health (RCESDH), Public Health Foundation of India, spoke to The Hindu about how the stigma attached to COVID-19 is much like what was seen with HIV/AIDS and how it is a result of poor knowledge. | Putting Coronavirus myths to rest — The Hindu In focus Podcast

On March 30, the number of COVID-19 cases crossed the 1,200 mark in India. Kerala recorded the most cases, followed closely by Maharashtra, which recorded the most COVID-19 deaths. Apart from these two States, the case progression in Tamil Nadu and Gujarat were notably rapid. Kerala’s rate of testing was the highest and Jharkhand’s the lowest. | To reduce coronavirus spread, India needs to test more

Urging governments at all levels in the region to stay engaged in efforts to combat the virus, WHO Regional Director for the Western Pacific, Dr. Takeshi Kasai says, “This is going to be a long-term battle and we cannot let down our guard. We need every country to keep responding according to their local situation.” | In a first, UN adopts 4 resolutions through email voting

The death toll has risen to 8,189, while the number of cases rose to 94,417 on March 31 from 85,195 the day before. | Iran death toll climbs to 2,898

The videos showed the far-right leader flouting social distancing guidelines by mixing with supporters in Brasilia and urging them to keep the economy going. | Fake news pandemic surges on Facebook, Twitter

“If the economic situation were to deteriorate further, and the lower-case scenario prevails, then poverty is estimated to increase by about 11 million people,” it said in its April 2020 Economic Update for East Asia and the Pacific ahead of the annual spring meeting of the International Monetary Fund and the World Bank. | Pakistan approves ₹1,200-billion relief package as coronavirus cases surge

This scheme, called Sahyog, is available for all drivers of all categories, and eligible drivers will be able to access loan amounts of up to ₹1200 per week. | Updates from the world of economy, markets, and finance

Rohit, who is the vice-captain of the Indian ODI team, has donated ₹45 lakh and ₹25 lakh to the PM and CM’s Relief Fund (Maharashtra) respectively. | Umpire Anil Chaudhary rediscovers farming skills during the lockdown",news,https://www.thehindu.com/news/qqmf7h/article31220166.ece/ALTERNATES/LANDSCAPE_615/APTOPIXVIRUSOUTBREAKINDIA,https://www.thehindu.com/news/top-news-of-march-31-2020-1000-evacuated-from-nizamuddin-mosque-with-24-testing-coronavirus-positive-maharashtra-govt-staff-to-get-salary-in-two-instalments-and-more/article31220167.ece
4,2020/03/31,"Morning digest: Global lockdown tightens as death toll soars past 35,000; PM Modi holds video conference with 130 Indian envoys; and more","A select list of stories to read before you start your day

Prime Minister Narendra Modi on Monday held a video conference with the heads of India’s diplomatic missions and urged them to assist Indian nationals who are stranded in various countries that are severely affected by the novel coronavirus outbreak. Addressing 130 Indian envoys, Mr. Modi urged them to help in containing the economic fallout of the viral pandemic by ensuring continuity of trade and commercial channels between India and the rest of the world.

Telangana government on Monday night confirmed that six persons who had attended a religious congregation, Markaz prayers, in Nizamuddin area of New Delhi had died of COVID-19 in the last few days. The late night statement issued in Telugu from the Chief Minister’s office said that several persons from Telangana had attended the three-day religious congregation and many of them had contracted coronavirus.

Reiterating that India continues to be in the local transmission phase despite the country registering a spike from 100 to 1,000 cases in 12 days, the Union Health Ministry on Monday said India’s precautionary and early lockdown is proving to be a step in the right direction. India registered more than 60 new cases and four deaths in the past 24 hours, with a total of 1,071 cases and 29 deaths so far, the Ministry said, clarifying that no orders had been passed to “conduct large scale disinfection of people but protocol has been put in place for sanitising large public spaces, etc.”

Coronaviruses are sensitive to humidity and are less likely to thrive at moderate levels of humidity, a series of experimental studies over the years have shown. Earlier this month, a study by researchers at the Massachusetts Institute of Technology (MIT) in the United States said that regions experiencing a monsoon might see a slowing — but not a stop — to the transmission of the virus and, therefore, could help mitigation strategies in tropical countries such as India.

On Monday, the number of COVID-19 cases crossed the 1,200 mark in India. Kerala recorded the most cases, followed closely by Maharashtra, which recorded the most COVID-19 deaths. Apart from these two States, the case progression in Tamil Nadu and Gujarat were notably rapid. Kerala’s rate of testing was the highest and Jharkhand’s the lowest.

The steep fall in domestic energy demand driven by the COVID-19 pandemic has impacted India’s oil refining sector amid an oil price war and a severely stressed global petro-order. Reuters had earlier reported that Indian Oil Corporation (IOC), the refining heavyweight, and Mangalore Refineries and Petrochemicals Ltd. (MRPL), have served force majeure notices to their Middle Eastern crude suppliers, citing the Coronavirus epidemic — a Black Swan event. Force majeure notices are built into contracts, which relieve companies from making payments due to unforeseen calamities such as wars and natural disasters.

After screening as many as 24 lakh people for coronavirus (COVID-19) symptoms by deploying 650 teams of health workers over a nine-day period, the administration in Rajasthan’s Bhilwara district has readied facilities to quarantine 15,000 persons to meet an emergency situation. Bhilwara has been the State’s worst-hit area during the ongoing crisis after the infection spread in a private hospital.

When we are supposed to protect ourselves from the virus from outside, we need to protect ourselves beginning right from within our body by strengthening the immune system. The immune system is indeed complex and is to a great extent impacted by the environment around us. There are many factors that affect the functioning of the immune system. A healthy lifestyle involves eating nutritious food, practising hygienic habits, walking and exercising regularly, maintaining good emotional and mental health and having adequate sleep.

At 11 on Monday morning, fifteen-year-old Balmiki Kumar is sitting on a wooden bench under a tree inside the campus of the Patna High School in Gardanibagh locality. His tattered black backpack is bloated with stuff. He is unwilling to go inside the vacant rooms of the school to rest. “I want to go to my home in Sitamarhi district as soon as possible and be with my family”, he says. He wants to say more, but is exhausted after his long tiring journey of over 1,000 km from Delhi’s Noida.

The number of people suffering from severe alcohol withdrawal effects who visit Institute of Mental Health (IMH), Erragadda, increased from maximum of 5 patients a day to 90. Along with other commercial establishments, liquor shops too were shut for over a week as part of lockdown for containment of the spread of coronavirus. Deprived of their regular dose of alcohol, addicts have slipped from atonic symptoms such as restlessness, trembling, to severe effects such as seizures, delirium.

Harsh lockdowns aimed at halting the march of the coronavirus extended worldwide Monday as the death toll soared past 35,000 and new waves of U.S. outbreaks pushed the nation’s containment efforts to the brink. Despite slivers of hope in stricken Italy and Spain, the tough measures that have confined some two-fifths of the globe’s population to their homes were broadened. Moscow and Lagos joined the roll call of cities around the globe with eerily empty streets, while Virginia, Maryland and Kansas became the latest U.S. States to announce emergency stay-at-home orders. The capital city Washington followed suit.

Six members of the U.S. Congress have announced that they have contracted the novel coronavirus, and more than 30 others are or were self-quarantining in hopes of limiting the spread of the pandemic. Now that Congress has passed a $2.2 trillion Economic Relief Bill, and President Donald Trump has signed it into law, neither the House of Representatives nor Senate is now due back in Washington before April 20 at the earliest.

Wuhan, the epicentre of the COVID-19 outbreak, is slowly rebounding after two months in lockdown. On Sunday, Wuhan and surrounding Hubei province reported no infections for the sixth straight day, unthinkable a month ago when the city was reporting daily infections in the thousands Dr. Gong Zuojiong, Director of the Department of Infectious Diseases at Renmin Hospital of Wuhan University, has been on the frontlines of the COVID-19 fight in the city. In an interview with The Hindu, he says a key lesson from Wuhan’s battle was breaking the chain of transmission through widespread testing and isolating all patients, even those with mild symptoms, away from their homes in central quarantine.

Egypt’s famed Great Pyramid was emblazoned Monday evening with messages of unity and solidarity with those battling the novel coronavirus the world over. “Stay safe”, “Stay at home” and “Thank you to those keeping us safe,” flashed in blue and green lights across the towering structure at the Giza Plateau, southwest of the capital Cairo. Egypt has so far registered 656 COVID-19 cases, including 41 deaths. Of the total infected, 150 reportedly recovered.

The Saudi-led military coalition on Monday carried out multiple air strikes on Yemen’s rebel-held capital Sanaa in retaliation for missile strikes on Riyadh. Residents in Sanaa reported multiple explosions after the bombing raids began, in a new escalation despite UN calls for a ceasefire to protect Yemeni civilians from the coronavirus pandemic. The military operation targeted the “storage, assembly and installation sites” of ballistic missiles and drones across territory held by the Huthi rebels, the coalition said in a statement released by the official Saudi Press Agency.

Amazon warehouse employees and Instacart delivery shoppers joined protests Monday to press safety demands, highlighting the risks for workers on the front lines of supplying Americans largely sheltering at home due to the COVID-19 pandemic. An estimated 50 to 60 employees joined a walkout at an Amazon worker warehouse in the New York borough of Staten Island, demanding that the facility be shut down and cleaned after a worker tested positive for the coronavirus.

The strict enforcement of 21-day lockdown due to the COVID-19 pandemic has turned out to be a boon for the Cauvery and other rivers in the old Mysuru region as the prohibition of industrial and religious activities has helped in reducing pollution level in the rivers. According to the Karnataka State Pollution Control Board (KSPCB), the Cauvery and tributaries like Kabini, Hemavati, Shimsha, and Lakshmanathirtha are regaining their decades-old status in terms of water quality.

Cricket took him away from Dangarol, a village in District Shamli. The lockdown has now transported him back to his childhood days when he would spend time in the sugarcane fields owned by his family. “The India-South Africa series ended abruptly (on March 13) and I came to the village on the 16th to fetch grains and jaggery. I brought my sons (Aryan and Akshat) along, leaving my wife (Meeta) and mother (Kamla) back in Delhi. Then the lockdown happened. We decided to stay put in the village,” ICC panel umpire Anil Chaudhary told The Hindu.

Spin great Shane Warne on Monday picked his fierce rival Sachin Tendulkar as the batsman to bat in any conditions and called his former skipper Steve Waugh a match saver rather than a match-winner. One of the greatest spinners to have played the game, Warne was engaged in an Instagram live session with his fans.

Last year, at the Delhi International Open GMs chess tournament, D. Gukesh became the world’s second youngest Grandmaster at 12 years, seven months and 17 days. The youngster reached the summit, but the rest of 2019 wasn’t great for him. He had to wait until February 2020 to get his first tournament win — the Hillerod Chess Club open in Denmark — and followed it up with another win at the Cannes Open. Just when he was hitting good form, the coronavirus pandemic scuppered his plans.",news,https://www.thehindu.com/news/national/3b4sda/article31210572.ece/ALTERNATES/LANDSCAPE_615/VBK-MODI-VIDEOCONFERENCING-PTI-1,https://www.thehindu.com/news/morning-digest-march-31-2020/article31211678.ece
5,2020/03/31,China focuses on patients with no symptoms as infections rise,"Asymptomatic people under observation numbered 1,541

China will start releasing information from Wednesday on coronavirus (COVID-19) patients who show no disease symptoms, ordering them into quarantine for 14 days, a health official said, after the mainland witnessed its first rise in infections in five days.

As local infections peter out and new cases surface among travellers returning home, the existence of virus carriers with no symptoms is fuelling public concern that people could be spreading it without knowing they are ill.

Coronavirus - Live updates

From April 1, the daily report of the National Health Commission will include details of such cases for the first time, Chang Jile, a commission official, told a briefing. People in close contact with them face 14 days of medical observation.

Asymptomatic patients under observation numbered 1,541 by Monday, with 205 of the cases having come from overseas, the Commission said separately.

State Helpline numbers

Monday's 48 new infections, and one death, in mainland China were up from 31 the previous day, the commission said, reversing four days of declines. All were imported, taking China’s tally of such cases to 771, with no new local infection reported. Many were students returning from overseas. About 35 infected Chinese citizens are still studying abroad, Education Ministry official Liu Jin said.

Interactive map of confirmed coronavirus cases in India

Fearing a second wave of infections sparked by such inbound travellers, China will delay its college entrance exam by a month, until July 7 and 8, China Central Television said, although Hubei province, where the virus emerged late last year, and Beijing, the capital, will get more leeway in scheduling it.

The annual two-day “gaokao” test drew more than 10 million candidates last year, state media have said.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/china-focuses-on-patients-with-no-symptoms-as-infections-rise/article31221888.ece
6,2020/03/31,Study shows middle-age COVID-19 mortality risk,"Researchers from Britain analysed more than 3,600 confirmed COVID-19 cases as well as data from hundreds of passengers repatriated from Wuhan.

Middle-aged people, and not just the elderly, have a dramatically higher risk of dying or developing serious illness from coronavirus (COVID-19), says a study published in The Lancet Infectious Diseases journal. Researchers from Britain analysed more than 3,600 confirmed COVID-19 cases as well as data from hundreds of passengers repatriated from Wuhan.

They found that age was a key determining factor in serious infections, with nearly one in five over-80s requiring hospitalisation, compared to around 1% among people under 30.

State Helpline numbers | Interactive map of confirmed coronavirus cases in India | Coronavirus - Live updates

Taking into account estimates of the number of cases that may not have been clinically confirmed — that is, mild or asymptomatic infections — the data showed the hospitalisation rate of patients in their fifties was 8.2%.

It estimated that the mortality rate from confirmed cases in China was 1.38%.

Also Read Coronavirus | Mauritania records first coronavirus death Also Read Coronavirus | Spain registers overnight death toll of 849, highest so far

The Lancet study showed that 18.4% of patients in their 80s were hospitalised in China. This compared to 4.3% for 40 to 49-year-olds and roughly 1% for people in their 20s.

“There might be outlying cases that get a lot of media attention, but our analysis very clearly shows that at aged 50 and over, hospitalisation is much more likely than in those under 50, and a greater proportion of cases are likely to be fatal,” said Azra Ghani, a co-author of the study.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/study-shows-middle-age-covid-19-mortality-risk/article31221870.ece
7,2020/03/31,Indonesia declares state of emergency as cornavirus toll jumps,"President Joko Widodo has resisted calls for a nationwide lockdown.

Indonesian leader Joko Widodo declared a state of emergency on March 31 as coronavirus (COVID-19) deaths in the world's fourth most populous country jumped again. However, he has resisted calls for a nationwide lockdown.

President Widodo has been heavily criticised for not imposing lockdowns in major cities, including the capital Jakarta, home to about 30 million people where most of the country's virus deaths have been reported. He announced $1.5 billion in beefed-up social assistance and subsidies for low-income workers.

State Helpline numbers | Interactive map of confirmed coronavirus cases in India | Coronavirus - Live updates

Indonesia’s leader offered few details of the state of emergency beyond calling for stricter social distancing, but He also announced $1.5 billion in beefed-up social assistance and subsidies for low-income workers.

Tens of millions eke out a living on poorly-paid jobs in Southeast Asia's biggest economy.

“To overcome the impact of COVID-19, we've chosen the option of large-scale social distancing,” Mr. Widodo told reporters.

Also Read Coronavirus | Mauritania records first coronavirus death

“We must learn from the experience in other countries, but we cannot copy them because every country has its own characteristics,” he added.

On Tuesday, 136 people died after contracting the virus, with 1,528 confirmed cases of infection.

But the latter figure is widely thought to be well below the real number in the archipelago of more than 260 million.

The Indonesian Doctors' Association has warned that the coronavirus crisis is far worse than has been officially reported and that the government's response is “in tatters”.

Jakarta's governor has said nearly 300 suspected or confirmed victims of the virus have been wrapped in plastic and quickly buried in the city since the start of March.

Also Read Coronavirus | Spain registers overnight death toll of 849, highest so far

The capital's top politician has been pushing for a total lockdown of the city.

Also Tuesday, Indonesia's corrections agency said it is set to offer early release to about 30,000 inmates to help stem the spread of the virus in over-crowded prisons. The number amounts to more than 10 percent of Indonesia's 272,000 inmate population.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/indonesia-declares-state-of-emergency-as-cornavirus-toll-jumps/article31221849.ece
8,2020/03/31,Coronavirus | 12-year-old dies in Belgium,"Belgium's toll on March 31 represented a jump of nearly 200 fatalities from that given the previous day, which stood at 513.

A 12-year-old girl infected with COVID-19 has died in Belgium, health officials said on Tuesday. Fatality at such a young age “is a very rare occurrence,” said government spokesman Dr Emmanuel Andre,

Last week, France reported the death of a 16-year-old girl from coronavirus in the greater Paris region.

Although serious COVID-19 infections are uncommon among the young, some exceptional cases have been taken to hospital intensive-care wards, as U.S. health authorities have pointed out.

Belgium's toll on Tuesday represented a jump of nearly 200 fatalities from that given the previous day, which stood at 513.

It comprised 98 deaths recorded in the preceding 24-hour period, plus another 94 deaths over previous days but which had not been counted in the national tally, Mr. Andre said.

The small EU country, with a population of 11.4 million, now has 12,775 cases of persons tested positive for COVID-19, of whom 4,920 have been hospitalised, including 1,021 in intensive care.

Hospitals in Brussels and in two provinces, in the north and the west, are now confronted with “a more complicated situation” as beds fill up, Mr. Andre said.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/coronavirus-12-year-old-dies-in-belgium/article31221768.ece
9,2020/03/31,"U.S. outlines plan for transition in Venezuela, sanctions relief","Power-sharing govt. to include allies of Maduro and Guaido

The U.S. is prepared to lift sanctions on Venezuela in support of a new proposal to form a transitional government representing allies of both Nicolas Maduro and opposition leader Juan Guaido, officials said.

The plan, which will be presented on Tuesday by Secretary of State Mike Pompeo, echoes a proposal made over the weekend by Mr. Guaidū that shows how growing concerns about the coronavirus, which threatens to overwhelm the South American country’s already collapsed health system and crippled economy, are reviving U.S. attempts to pull the military apart from Mr. Maduro.

What’s being dubbed the “Democratic Framework for Venezuela” would require Mr. Maduro and Mr. Guaidū to step aside and hand power to a five-member Council of State to govern the country until presidential and parliamentary elections can be held in late 2020, according to a written summary of the proposal.

Four of the members would be appointed by the opposition-controlled National Assembly that Mr. Guaidū heads. To draw buy-in from the ruling socialist party, a two-third majority would be required. The fifth member, who would serve as interim President until elections are held, would be named by the other council members. Neither Mr. Maduro nor Mr. Guaidū would be on the council.

Opposition leader Juan Guaidó. | Photo Credit: Fernando Llano

“The hope is that this setup promotes the selection of people who are very broadly respected and known as people who can work with the other side,” U.S. Special Representative for Venezuela Elliott Abrams told the AP in a preview of the plan. “Even people in the regime look at this and realize Maduro has to go, but the rest of us are being treated well and fairly.”

The plan also outlines for the first time U.S. requirements for lifting sanctions against Mr. Maduro, officials and the oil industry.

Those accused of grave human rights abuses and drug trafficking are not eligible for sanctions relief, individuals who are blacklisted because of the position they hold inside the Maduro government - such as members of the supreme court, electoral council and the rubber-stamp constitutional assembly - would benefit.

But for sanctions to vanish, U.S. Special Representative for Venezuela Elliott Abrams said the council would need to be functioning and all foreign military forces — from Cuba or Russia —would need to leave the country.

Still, any deal is unlikely to win Mr. Maduro’s support unless the issue of his future is addressed and he’s protected from the U.S. justice system, said David Smilde, a senior fellow at the Washington Office on Latin America.",international,https://www.thehindu.com/news/international/7w3hyq/article30466250.ece/ALTERNATES/LANDSCAPE_615/VENEZUELA-GOVERNMENT-MADURO,https://www.thehindu.com/news/international/us-outlines-plan-for-transition-in-venezuela-sanctions-relief/article31221666.ece
