,Date,Title,Content,Category,Image_link,Article_link
0,['9/06/2020'],Sumalatha: A tearful adieu to Chiranjeevi Sarja,"On Sunday afternoon, as news of the untimely passing of actor Chiranjeevi Sarja (Chiru) spread like wildfire, it quite literally shook his friends from the industry. Chiru was, after all, only 39, when he succumbed to a massive heart attack. Over the next few hours, the who’s who of Sandalwood, headed to the hospital that he had been rushed to, to pay their respects. Darshan, Sudeep Shivarajkumar , Ganesh, Abishek Ambareesh Sumalatha , were among the many who rushed to support and console the bereaved family, especially Chiru’s wife, Meghana . On Monday, Chiru was buried according to tradition at the family farm house, before which his mortal remains was kept on display for friends and fans to pay their last respects. Throughout, the late actor’s brother Dhruva and uncle Arjun Sarja were seen consoling a very distraught Meghana.",entertainment,"https://static.toiimg.com/thumb/msid-76269169,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-205601/76269169.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/a-tearful-adieu-to-chiranjeevi-sarja/articleshow/76269169.cms
1,['9/06/2020'],Adapting to the post-Covid new normal is difficult for the visually-challenged,"As a visually-impaired person, you will use your hands more than other people, so it is imperative that you wash them with soap as often as possible.

To maintain social distancing, since you can’t see how far away you are from the person you are talking to, use your cane to judge the distance.

Make sure to wipe the cane with a disinfectant once back home.

If you need to push a door open or work a switch, use your knuckles, arm or elbow. When out and about, wear gloves to avoid touching anything with your bare hands.

Since the coronavirus pandemic broke out across the world, many things have come to the fore – primarily, the need to wear a mask in public, increased hand hygiene, social distancing and avoidance of surface transmission through touch, etc. It’s a no brainer that all of this has pretty much become routine for us, if not more. But what about those who cannot do without touch in their day-to-day life, like, for instance, visually-impaired people?“This is a very difficult time for the differently-abled people. For visually-challenged people, communication and everything else in life relies on touch; it’s an integral part of how we function, and now, we are told not to touch anything and maintain social distancing; which is near impossible for us. If we do follow it, life will truly come to a standstill for us,” says Mahantesh GK, the founder of the Samarthanam Trust for the Disabled, adding, “As a visually-challenged person, who also travels a fair bit and does a lot of work for the trust, I have to depend on people to help me and I need to touch/hold the person who helps guide me. This puts me and the other person at risk,” he says.SK Rungta, General Secretary of the National Federation of the Blind, adds, “This has affected far more than just our lifestyle. The new normal is social distancing, which I would call physical distancing. Post-covid, what is likely to happen is, say, when a visually-impaired person tries to cross the road, even the most well-meaning bystander may not be forthcoming with help, due to the fear psychosis. What is the alternative? You explore ways to cross the road, which will increase the chance of accidents. So, what is the way forward? We will have to somehow convey a message among the public that if you, with all protection, help anyone, you are not risking your life or jeopardising the concept of social distancing.”Though independence and autonomy in every walk of life is the goal for the visually-challenged, we are still far from achieving it, says Rungta, adding, “The government should contribute to making assisted devices that will enhance independence of visually-challenged people accessible. These will, to a large extent, make travel safe as they are driven by artificial intelligence and tell you of obstructions in your path, beeping continuously until you are in a safe zone.”Mahantesh chips in, “Independent travel is difficult for the visually-challenged. Technology can help, but unfortunately, we are far behind as far as that is concerned. Last year, I was in the US, and I found that a lot of visually-impaired people were wearing goggles that have in-built cameras and earphones attached to their phones, over which someone was guiding them, We need to motivate the government to make these gadgets available to disabled people here too.”Since gloves can prevent surface transmission of the virus, could wearing them be an option for the visually-challenged? “To some extend they can manage with gloves. You can still feel surfaces, but not braille. The bigger issue is getting to those surfaces that we can touch and navigate. They will need assistance to get to such a spot, say, a railing or other tactile surface, but in the current environment, people may refrain from offering help,” says Mahantesh, adding, “Even if there are tactile surfaces, you may not be allowed to touch it.”The fact that most modes of transport are becoming about no-contact is also worrisome, says Rungta. “Even if I manage to take a cab and reach, say, the railway station, at the gate there is no help available. They say that only the passenger can go in. So, how do we reach the train? The SOP of air travel is also completely about no-contact. How will a visually-impaired person manage from the entry point of scanning the ticket, printing the boarding pass, dropping off luggage, etc., all by his/her self? There is no human intervention and we have already tried to address this with authorities. The staff is anyway kitted in PPEs and passengers wear masks and gloves, so there is no risk of infection. So far, there are no exhaustive guidelines targeted at individuals with disabilities on how to take public transport, conduct themselves outside their homes, etc. We are looking at putting some together and circulating them soon,” he signs off.",life-style,"https://static.toiimg.com/thumb/msid-76268181,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-274449/76268181.jpg",http://timesofindia.indiatimes.com//life-style/coronavirus/adapting-to-the-post-covid-new-normal-is-difficult-for-the-visually-challenged/articleshow/76268181.cms
2,['9/06/2020'],"#Unlockingdiaries: With safety protocols set, city malls will reopen today","Social distancing alerts

Contactless payment and disposable crockery

Dedicated sanitisation teams

Aarogya Setu App

Suspended services during Unlock 1.0:

00:3100:3100:31City malls are busy getting sanitised

After about two-and-a-half months, the malls in Kochi are all set to re-open today. With thermal screening, hand sanitisers at every shop, frequent disinfection routines and policing to ensure customers wear their masks at all times, the shopping experience is guaranteed to get an overhaul, as we take a look at the various precautions that will be followed from today.Shibu Philip, business head of Lulu Mall , says, “Following the norms, we can accommodate about 15,000 people an hour and this number would be constantly tracked. All stores have undergone deep cleaning prior to re-opening.”Meanwhile, Joji John, an Oberon Mall official, says, “Malls are a lot safer with all government regulations being followed to the dot, as compared to regular shops where even maintaining social distancing is a challenge. We are expecting around 15,000 people a day.”Posters about the need to follow social distancing are placed from escalators and lifts to all corners with crowd potential. In Lulu Mall, stickers marking 1.5m gaps will be up, making it easy for customers to adhere to social distancing.Those with flu-like symptoms would be denied entry. The malls will also have their temperatures maintained between 24 to 30 degree Celsius. Staff will also wear face shields at Lulu and there will also be a restriction on customer numbers on escalators and the 1.5 m distance would be followed even at the two-wheeler parking.Restaurants will operate at 50% seating capacity. Lulu will try to use e-menu and is also developing an app for its food court, says Shibu. “It will let customers scan a QR code that will let them get a menu card, also let them pay without physically going to the counter,” he says. Meanwhile, Joji says, “In Oberon, we will have disposable menu cards and crockery, and will try our best to avoid cash payment.”Regular cleaning of AC units, exhaust fans, other filters and drain lines are being undertaken to ensure dust levels are kept at a minimum in all malls. Sanitisers are also kept on all floors.Shibu says, “All common areas in the Lulu mall and all customer touch points are being frequently disinfected by a dedicated sanitisation team. A disinfectant team can be contacted by all retail partners in case they need assistance. We also have a Pandemic Response Team that will ensure all the guidelines are implemented and they will be available 24/7 to handle any crisis. We have also installed sensor-based vehicle tyre disinfection facilities and disinfection mats at entrance.”At Oberon, sanitising has been going on for the past three to four weeks, following the standard operating procedures.All customers, retailers, staff and vendors need to download the Aarogya Setu app to ensure zero presence from the identified red zones in the malls.The following facilities are unavailable till further notice:• Entertainment zones and cinema halls• Valet Service• Pram service• Prayer hall• Baby care Room• Baggage and helmet counters• Smoking area",kochi,"https://static.toiimg.com/thumb/msid-76262871,width-1070,height-580,imgsize-546359,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/kochi/unlockingdiaries-with-safety-protocols-set-city-malls-will-reopen-today/articleshow/76262644.cms
3,['9/06/2020'],"​If I direct a film, I want it to be politically correct in every way: Ramya Nambeesan","While, like most of us Ramya Nambeesan has been home since the lockdown began, she has managed to stay creative. The actress recently released a music video of a song that KS Chithra and Sriram Parthasarathy had rendered for the Tamil film Sethupathi in 2016.Ramya, who also starred in the movie with Vijay Sethupathi, says, “Many have heard me singing a raw version of the track Konji Pesida and have been requesting me to make a video. I am happy that I could finally do it through my YouTube channel.”However, she isn’t actively putting out content through the online channel. Ask her why and she says, “I know that frequent and timely uploads, and interactions are expected on these platforms but that’s tough for me. I make a video only when I am personally influenced by a song. I can’t pressure myself to do it just because it should be done.”This was also her motivation to recently direct a short film titled Unhide, which discussed various kinds of assaults women face. “Our tendency to blame women for the assaults they face has been disturbing me for long. I felt that I could pass a few thoughts on the truth behind it to people, through my medium of art. After watching Unhide, many got in touch with me saying they could connect with the ideas it presented,” says the Anjaam Pathira actress.Can we expect her to direct a movie in the future? “I definitely want to direct a film one day, and want it to be politically correct in every way. But yet again, there should be a project that inspires me,” she says.Ramya was busy shooting in Chennai in March, and got home just before the lockdown was announced. Since then she has been spending time with her family in Tripunithura. “I have been watching movies on OTT platforms, listening to music, cooking and keeping myself updated on all news about Covid-19. I have also been into yoga, meditation and doing occasional workouts,” she says.The release of her upcoming Tamil movie Plan Panni Pannanum, which has Badri Venkatesh, is delayed. She also has a day’s shoot pending on her film with Prabhudeva and has three more projects lined up, one of which is a Malayalam film.Ask her if artistes are discussing the new normal for film sets and Ramya says, “Yes, but we can’t jump into anything. Avoiding the crowd of technicians and more on a film set can be tough and it’s something we have to carefully figure out.”",entertainment,"https://static.toiimg.com/thumb/msid-76265463,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-746745/76265463.jpg",http://timesofindia.indiatimes.com//entertainment/malayalam/movies/news/if-i-direct-a-film-it-to-be-politically-correct-in-every-way-ramya-nambeesan/articleshow/76264705.cms
4,['9/06/2020'],Kannada serial storylines tweaked to create awareness about COVID-19,"It is not uncommon for a TV serial to incorporate a major news element in its narrative to bring in a twist or just create awareness. It is, therefore, not surprising that the return of Kannada television shows with fresh content, after nearly two months of lockdown work suspension , comes with mentions of the ongoing pandemic.Since Monday, audiences have been treated to episodes that aim to create awareness about COVID-19, with characters speaking about precautions like wearing masks, applying hand sanitisers regularly, and maintaining social distancing to keep the virus at bay.For instance, in Jothe Jotheyali , Aryavardhan's ( Anirudha Jatkar ) family, was not only seen discussing how the lockdown helped them bond, but also showed him conducting official meetings online, or wearing a mask while at the office. Anirrudha says, “It is our social responsibility to create awareness as television shows are watched and followed by many people. As the story runs in the current timeline, we could easily convey these messages. Since the lockdown is relaxed now, we need to do our bit now to create awareness among people about being vigilant when they step out.”Even in Gattimela and Muddulakshmi, scenes revolving around the lockdown and coronavirus have been portrayed on screen. Director Prashanth Kumar of Muddulakshmi says, “The idea behind including such scenes is that it creates awareness about the pandemic, thereby making people more vigilant. With the country now in unlock mode, we need to learn to live with Coronavirus by exercising caution. This doesn’t mean that our storylines are all preachy now. In fact, we are using such content only when deemed necessary.”Kannadathi, though, took it even further, and had lead character Harsha (Kiran Raj) develop symptoms of Covid-19, which he follows up with home quarantine.Krishna Ajai Rao: The actor will be seen in Kasthuri Nivasa, to solve a conflict between two characters who play mother-in-law and daughter-in-law on the show.Priyanka Upendra: In Sevanthi, Priyanka will be seen helping the title character get out of trouble, after she is deserted by her family.Ramesh Aravind: Ramesh’s cameo in Nandini is expected to bring in a refreshing new twist to the tale.Rishi: The actor will be seen in a cameo in Manasaare, giving a pep talk to lead charater Prarathana, who faces many ordeals in life.",tv,"https://static.toiimg.com/thumb/msid-76268081,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-69937/76268081.jpg",http://timesofindia.indiatimes.com//tv/news/kannada/kannada-serial-storylines-tweaked-to-create-awareness-about-covid-19/articleshow/76268081.cms
5,['9/06/2020'],"City restaurants embrace face shields &amp; gloves, diners make a beeline for their favourites","Day 1 of Unlock 1.0 saw patrons of restaurants and malls out and about, but not in the numbers that used to

On Monday, the first day of Unlock 1.0, Bengaluru was finally bustling with activity. After months of inoperation, malls opened their gates to customers and restaurants across the city — most of which were restricted to offering only take away during the lockdown — now welcomed diners. Needless to say, safety measures including face shields, sanitizers, thermal scanners and masks were a common sight.

Darshinis and eateries saw customers queuing up to get a taste of their favourite food. Sneha Gowda, a student who was meeting her friends for the first time since the lockdown, said, “I didn’t meet my friends for two months. This is the first time I’m meeting them in public since the lockdown. We meet up at Airlines Hotel regularly and wanted to grab a cup of filter coffee that we have been missing.”

Talking about the safety measures in place, another customer at a hotel said, “The restaurants are taking adequate measures. We are stepping out with masks and are sanitizing our hands regularly. In fact, when I met my friends, we didn’t hug or even shake hands. It felt strange, but we were maintaining social distance.”

Despite the low footfalls at the malls on day one of Unlock 1.0, restaurant owners are confident that things will pick up in a month or two. “We have implemented all the safety measures, including limiting the number of tables at our restaurant. Our staff are wearing face shields, gloves and masks,” said Diwakar Rao, the proprietor of Airlines Hotel, adding that though they saw a rather dull morning, the number of diners started increasing towards the evening.

Another popular city eatery, Koshy’s, was operating at less than its usual crowd. Spotted enjoying a meal there, were director SD Aravinda and his actor-art director brother Avinash S Divakar . “Koshy’s is not allowing more than two people to dine at one table. Our temperatures were checked and we had to sanitize our hands. The servers too are wearing masks and gloves. This is what things are going to be like,” said Aravinda.

",bengaluru,"https://static.toiimg.com/thumb/msid-76268478,width-1070,height-580,imgsize-213089,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/city-restaurants-embrace-face-shields-gloves-diners-make-a-beeline-for-their-favourites/articleshow/76268478.cms
6,['9/06/2020'],"Mohali: Chlorine gas cylinder was lying for 10 years, probe marked","

MOHALI: A day after chlorine gas leak at Balongi waterworks left 50 residents hospitalized, Punjab principal secretary (water supply and sanitation ) Jaspreet Kaur has marked an inquiry into the episode on Monday.

The probe has been marked to the superintending engineer (SE), Mohali, who has been asked to submit the report within seven days.

Interestingly, during the preliminary enquiry, the officials had discovered that the chlorine gas cylinder was lying unnoticed on the water works premises from the past about 10 years.

The principal secretary said, ""We have discovered that the chlorine gas cylinder was lying unnoticed on the water works premises from the past 10 years. We have marked an inquiry to the SE and asked him to submit a report within a week. Two major points are to be enquired as to how come no one noticed the cylinder lying there from the past 10 years and why it was not deposited in the godown and disposed of properly. Secondly, officers have been asked to check other water works.""

""Since the past several years, the department has not used gaseous chlorine and we use liquid sodium hypochlorite for the purpose of chlorination at all water works."" On Sunday evening, panic spread in Balongi after around 50 people, including women and children, complained of nausea and had to be rushed to the civil hospital, Phase VI. They were later discharged. .

",chandigarh,"https://static.toiimg.com/thumb/msid-47529300,width-1070,height-580,imgsize-110164,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/chandigarh/chlorine-gas-cylinder-was-lying-for-10-yrs-probe-marked/articleshow/76270596.cms
7,['9/06/2020'],Panjab University comes out with exam guidelines,"Panjab University

CHANDIGARH: The UT administration will have to make alternative arrangements for quarantine centres instead of using Panjab University hostels if the government allows opening of educational institutions in July, said PU registrar Dr Karamjeet Singh in a communication sent to the administration.

The administration has taken over four hostels, including girls' hostel numbers 8, 9, 10 and international hostel, and converted them into quarantine centres. ""If the campus will be open for students, hostellers will start coming back and the administration should plan accordingly,"" said the registrar in the letter.

The authorities decided the semester examinations for final semester of undergraduate and postgraduate will be conducted in the first phase after the reassessment of situation by the authorities. Accordingly, students of final semesters are advised to prepare for their examination. Revised general guidelines for July semester examinations have been uploaded on PU website as reference sample paper said, R K Singla, DUI.

Professor Parvinder Singh, controller of examination, PU, said pattern of paper has been changed and students will be given wider choice keeping in mind that full syllabus was not covered. Sukhbir Kaur, DSW (women), said the university is in process of drafting a standard operating procedure for hostels which will be executed when the government allows the opening of education institutes. She said data is sought by the wardens about number of inmates in each hostel so that a minimum number of students will be called on campus.

",chandigarh,"https://static.toiimg.com/thumb/msid-76279650,width-1070,height-580,imgsize-528534,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/chandigarh/pu-comes-out-with-exam-guidelines/articleshow/76270595.cms
8,['9/06/2020'],"Chandigarh: Sector 44 school charging consolidated fee, says parents","Parents protest outside St Joseph’s School, Sector 44, on Monday

CHANDIGARH: The tussle between parents and the school authorities in Chandigarh doesn't seem to end. On Monday nearly 250 parents of St Joseph School , Sector 44, submitted a complaint to the fee regulatory body stating that despite orders to charge only tuition fee, the school was taking consolidated fee from them. Parents of students of other schools also protested for the same reasons.

The parents of St Joseph School signed and submitted the complaint to director school education Rubinderjit Singh Brar, who also is member secretary of the fee regulatory body constituted under the Punjab Regulation of Fee of Unaided Educational Institutions Act, 2016, and extended to the Union Territory of Chandigarh.

In the complaint, which the parents personally handed over to Brar, it has been stated, ""As per the UT administration's order dated June 3, 2020, the schools are only allowed to charge tuition fee (without any hike). However, the school is not complying with the same and demanding the consolidated hiked fees along with admission fee/annual charges/tuition fee/maintenance charges merged into one under the head of tuition fee, thus defying the order. The school has already made a norm of charging a consolidated fee without disclosing the several heads for which the same is being charged. The school has sent a message on June 5 for pressurizing all parents to deposit the full hiked fee by June 15 otherwise it has threatened to impose fine.""

They further stated, ""The total fee is equal to tuition fee, which means that the school merged all heads like admission fee/annual charges/tuition fee/maintenance charges etc. and has named it tuition fee during the session 2019-20 unnecessarily and illegally. Now, the school is charging this hiked fee under one head (tuition fee) on monthly basis in the current session 2020-21.""

The parents have requested the director school education that till the pendency of this complaint, the school be asked to not charge any ""unjustified tuition fee from the parents or impose any penalty.""

The protesters have also sought that only those parents should be required to pay fee that had opted for the online classes provided by the school and this fee be reduced to cover only the school's cost of providing online classes.

Nitin Goyal, president of the Chandigarh parents' association, said over 100 complaints had been submitted by the parents individually and some feel victimization of their children by the school authorities. ""So we are now going to file joint complaints. Today was the first joint complaint against St Joseph's. More such complaints will be submitted in the coming days.""

Brar said, ""We will take up the matter during meeting of the fee regulator body.""

",chandigarh,"https://static.toiimg.com/thumb/msid-76279541,width-1070,height-580,imgsize-176414,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/chandigarh/sector-44-school-charging-consolidated-fee-parents/articleshow/76270608.cms
9,['9/06/2020'],Twinkle Khanna wishes mother Dimple Kapadia on her birthday with a sweet post!,"Akshay Kumar's wife and actress Twinkle Khanna is known for outspoken nature and witty social media posts. She keeps her fans entertained through her daily posts on various platforms.Today, she took to Instagram to share a picture of mother Dimple Kapadia on her birthday. In the photo, Dimple was all smiles for the camera. She captioned the post, ""The beautiful birthday girl💙""Soon, B'Town celebs poured in wishes for the veteran beauty on the post. Sonali Bendre wrote, ""Happy birthday Dimple aunty❤️💐🎂"" while Namrata Shirodkar commented, ""Happy happy birthday dimple ji !! Have a fantastic day n year ♥️♥️stay blessed always 🤗🤗"" and Bobby Deol said, ""🤗Happy happy birthday 🤗"".Check it out here:Meanwhile, on the work front, she produced Akshay Kumar starrer ‘PadMan’ which also starred Sonam Kapoor Ahuja and Radhika Apte in lead roles. The movie also won National Film Award for Best Film on Other Social Issues category.",entertainment,"https://static.toiimg.com/thumb/msid-76270849,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-82789/76270849.jpg",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/twinkle-khanna-wishes-mother-dimple-kapadia-on-her-birthday-with-a-sweet-post/articleshow/76270831.cms
