,Date,Title,Content,Category,Image_link,Article_link
0,['17/02/2020'],"Had it been real, I’d not have spared that guy: Ashika Rangnath","Stars encountering unruly fans is not a new phenomenon . Last week, social media was abuzz with a video that captured an over enthusiastic fan forcibly kissing actress Ashika Rangnath while she walked the red carpet at an event. The man was seen planting a kiss on the actor’s cheek and running away as bouncers chased after him. While onlookers are shocked, the actress is seen taking a while to recover. However, as it turns out, not all is what it seems to be. Ashika clarifies, “This shot was a scene that we were filming for Raymo. It takes place right before a fight sequence , when a man displays unwanted affection towards my character. It looks like someone on the set has taped the filming and shared it online. I have been flooded with calls since. Had it been real, you think I’d have kept quiet and been so casual? Anybody who tries to act fresh with me, will not be spared and that’s a given. I think girls should stand up for themselves if something like this happens.”",entertainment,"https://static.toiimg.com/thumb/msid-74159953,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-258608/74159953.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/had-it-been-real-id-not-have-spared-that-guy-ashika-rangnath/articleshow/74159825.cms
1,['17/02/2020'],There’s no such thing as inborn talent. Your talent is the amount of labour you put in: Naseeruddin Shah,"Naseeruddin Shah made a quiet appearance in Bengaluru recently. The acting legend was in town not with a play or a film, but to inaugurate an abstract art exhibition. “The paintings remind me of the kind of plays that I find the most fascinating – abstract plays. These are pictures of the world as the artist sees it. And to me, that’s the most wonderful idea to follow,” the actor said, as he graced the opening day of Cairo-born artist Abeer Ibrahim Shah’s showcase, titledwhose paintings are characterised by vibrant colours, bold strokes, sweeping ideas and imaginative concepts. Wearing a pastel green coat, the actor took the podium in the presence of a small gathering of art lovers at Alliance Française de Bangalore. “I was about 12 or 13 years old when I decided to become an actor, but I couldn’t confess it to anybody. Although my brother, Zaheeruddin Shah, encouraged me to pursue my dreams, he also warned me of the risks involved in my decision. At least, acting now is a respectable profession to a certain extent. There is no stigma attached to it anymore. But a child who wants to be a sculptor or a painter still has nowhere to go for guidance. So, I suppose the best teacher you can get is yourself. I don’t think there is any such thing as inborn talent. Your talent is the amount of labour you put in,” the veteran actor said.",life-style,"https://static.toiimg.com/thumb/msid-74159639,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-165416/74159639.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/theres-no-such-thing-as-inborn-talent-your-talent-is-the-amount-of-labour-you-put-in-naseeruddin-shah/articleshow/74159913.cms
2,['17/02/2020'],"Our son, Sohan, is the sole focus of our lives: Vijay Suriya",Shilpa Shinde is furious at the producers of Gangs of Filmistan for apparently leaking their 'Whatsapp chats and spreading lies' about her. The actress took to her social media account to first share an email clarifying that she had approached Preeti for the addressal of her complaints and then a screenshot of their Whatsapp conversation.,tv,"https://static.toiimg.com/thumb/msid-74160882,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-194434/74160882.jpg",http://timesofindia.indiatimes.com//tv/news/kannada/our-son-sohan-is-the-sole-focus-of-our-lives-vijay-suriya/articleshow/74160864.cms
3,['17/02/2020'],"Wood, turneries and lacquer: French students explore Channapatna’s toy-making tradition","That Channapatna’s charming bobble-heads have travelled around the world as a favourite Karnataka souvenir is known to many. What caught people’s attention recently, however, was that a bunch of French students made an effort to travel to the state’s culture hub to learn the story behind its globally renowned toy-making tradition. Organised by a Bengaluru-based design school, the group comprised 19 students from France, who were accompanied by two faculty members. The trip formed part of a student-exchange programme, under which they were taken to a manufacturing unit, where they were showed the method of making Channapatna dolls, from start to finish. The students received first-hand experience in the process of wood-turning, while they also learnt the use of lacquer in colouring the toys. Local artisans acquainted the youngsters with the handling of machinery and tools, and taught them other intricacies of the craft. “We had watched several films and documentaries on India’s textile industry earlier. But what we saw in Channapatna is something we had never experienced before,” says an excited Lea.The fact that even during an age of advanced machinery these toys are crafted using simple tools is what makes them unique in their own way, opine the students. “Back home, we too have the culture of hand-made products, but the process that the artisans follow here is intriguing, particularly the manner in which they assemble different parts of a toy and then polish them with bright, contrast colours,” adds the Lea, 21.What also won the students’ heart was that the manufacturing unit they visited was a zero-waste facility. “Being eco-friendly is the need of the hour. And we were fairly impressed by the factory we went to, as it has adopted sustainable methods to make the toys,” says 22-year-old Marie, adding, “The saw dust and discarded wood pieces at the unit are used for making incense sticks and mosquito coils. This definitely encourages us think about how we can use similar techniques in our field.” On the other hand, Alix, 20, was impressed by the use of organic colours.According Shaheda Noori, who hosted the students during the day-long trip, such exchange programmes help acquaint foreign students with our culture and heritage, and at the same time help promote this art form. “In the past, we have had foreign nationals taking up Channapatna toys as a business enterprise in their respective countries,” explains Shaeda.",life-style,"https://static.toiimg.com/thumb/msid-74160517,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-268853/74160517.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/wood-turneries-and-lacquer-french-students-explore-channapatnas-toy-making-tradition/articleshow/74160528.cms
4,['17/02/2020'],"‘I admire the kind of work Vadivelu, Brahmanandam and Yogi Babu do’","It’s not the first time that Rajpal Yadav was in Ooty, and he is certain it won’t be the last as well. The Bollywood actor has shot for many of his films in the hill station, and was there recently for Priyadarshan’s Hungama 2. “I was part of the first film and I’m very happy to be in this one as well. We are shooting the film in various parts of India,” he says. Prod him about his role, and he says, “As an artiste, I never believe in roles. It is always about the performance for me. In two decades of my career, I have played various characters and shot 10-12 movies simultaneously. But all my characters and scripts have been very different from each other every time.”Not many know that Rajpal has friends in Kollywood. He counts Suriya one among them. In fact, he travelled to Chennai to attend the actor’s wedding. “Suriya is a good friend. Today, I feel that all the film industries are well connected. We all know each other, and we are all aware of who is doing what. I have always been a fan of Rajini sir, Mohanlal, Mammooty and Nagarjuna. I also admire the kind of work Vadivelu , Brahmanandam and Yogi Babu do, and I hope the day comes soon when we all can share one stage and showcase our talents,” he says.Interestingly, Rajpal has played a role in the Telugu film, Kick 2. He’ll also be seen in a yet-to-be-titled Kannada film, in which he’s dubbed for his character as well. “Though I can’t reveal details of the project yet, I can say it’s been a great learning experience. I feel that I’ve evolved as an artiste by challenging myself to act in regional films. I have also signed a Bhojpuri film, Lallan Top. In the past, I have acted in two Bengali films, two Gujarati movies and three films each in Punjabi and Marathi,” he tells us.The year 2020 looks chock-a-block for the actor, with films like Coolie No. 1, Bhool Bhulaiyaa 2 and Bole Chudiyan in the pipeline. “I’ve also signed a Hollywood film,” he says with a smile, “I feel proud to say that for the next three years, I’m going to be super busy. It feels like all the hard work that I’d put in all these years is slowly bearing fruit. I’m also happy that I’m getting to do the kind of work I’ve always wanted to do, something that I learnt in acting school... like, Safaibaaz and Love of H2O, which are aimed at creating social change. It’s not that I’m slowly drifting from comedy to more serious topics. It’s just that as an artiste, I feel happy if I’m able to make a small difference in the mindset of society.”The actor credits his directors for shaping his career. “There are so many directors who have played a pivotal role in making me who I am today, but it’s Ram Gopal Varma, David Dhawan and Priyadarshan who built my career — one launched me, the other one made me explore comedy and the third one showed me the depth of comedy. They taught me the essence of creativity,” he says.My connection with Tamil NaduI keep visiting Tamil Nadu for my films. I’ve shot movies like Taarzan: The Wonder Car and Ek Aur Ek Gyarah in Ooty. I’ve come to Chennai for Chup Chup Ke, Karaikudi for Malamaal Weekly and Madurai for Jungle. In fact, I’ve also received offers from Kollywood, but unfortunately, nothing materialised. I wish to work with Rajini sir one day…",entertainment,"https://static.toiimg.com/thumb/msid-74161464,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-204946/74161464.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/i-admire-the-kind-of-work-vadivelu-brahmanandam-and-yogi-babu-do/articleshow/74161464.cms
5,['17/02/2020'],Varma’s action drama takes him into the heart of a forest,"After playing minor but noticeable roles in a few films like KD Engira Karuppu Durai , Theeran Adhigaaram Ondru, Irumbu Thirai and Thadam Varma has now been roped in to play the lead in an untitled film. An action thriller, it’s being directed by Dheenadayalan , a former assistant of Saattai fame Anbazhagan “I was working in a bank, but acting has always been my passion. So, I did a six-month acting course and practiced acting during weekends. When I had to shoot for 40 days for Theeran in Rajasthan, I quit my bank job and became a full-time actor,” Varma starts off, giving a quick recap of his career so far. The actor, who was credited as Guna Babu in the films he has done so far, has gone for a name change now.Talking about this film, he says, “It’s an action drama. I play a businessman who is into social service. We are shooting for this film in the forests near Tada. Why this character comes to the forest is what the suspense is all about. There will be a social message in this story.”Damini, a Mumbai girl, plays the heroine. “I have also committed to another film, which will be set in Kancheepuram,” adds the actor.",entertainment,"https://static.toiimg.com/thumb/msid-74161359,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-2875633/74161359.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/varmas-action-drama-takes-him-into-the-heart-of-a-forest/articleshow/74161359.cms
6,['17/02/2020'],There’s no such thing as inborn talent. Your talent is the amount of labour you put in: Naseeruddin Shah,"Exposition of Egyptian Story,

Naseeruddin Shah made a quiet appearance in Bengaluru recently. The acting legend was in town not with a play or a film, but to inaugurate an abstract art exhibition . “The paintings remind me of the kind of plays that I find the most fascinating – abstract plays. These are pictures of the world as the artist sees it. And to me, that’s the most wonderful idea to follow,” the actor said, as he graced the opening day of Cairo-born artist Abeer Ibrahim Shah ’s showcase, titledwhose paintings are characterised by vibrant colours, bold strokes, sweeping ideas and imaginative concepts.Wearing a pastel green coat, the actor took the podium in the presence of a small gathering of art lovers at Alliance Française de Bangalore . “I was about 12 or 13 years old when I decided to become an actor, but I couldn’t confess it to anybody. Although my brother, Zaheeruddin Shah, encouraged me to pursue my dreams, he also warned me of the risks involved in my decision. At least, acting now is a respectable profession to a certain extent. There is no stigma attached to it anymore. But a child who wants to be a sculptor or a painter still has nowhere to go for guidance. So, I suppose the best teacher you can get is yourself. I don’t think there is any such thing as inborn talent. Your talent is the amount of labour you put in,” the veteran actor said.",bengaluru,"https://static.toiimg.com/thumb/msid-74159639,width-1070,height-580,imgsize-165416,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/theres-no-such-thing-as-inborn-talent-your-talent-is-the-amount-of-labour-you-put-in-naseeruddin-shah/articleshow/74159911.cms
7,['17/02/2020'],Puneeth’s next kicks off with a unique fight sequence,"Sandalwood star Puneeth Rajkumar has begun work on his latest film, James . This stylish action drama is being helmed by Chethan Kumar of Bahaddur, Bharjari and Bharaate fame. Chethan shares with BT a teaser of Puneeth’s intense look that will be showcased in this sequence. “Stunt master Ravi Varma is coordinating the action sequence that is currently being shot in Whitefield. Since Puneeth sir is known for his athletic abilities, this sequence is being put together to be different and new for him as well as audiences. We have around 25 members participating in this action sequence and I am thrilled with how it has shaped up so far,” shares Chethan, who adds that he has Shreesha Kuduvalli on board as the cinematographer, while Ravi Santhehaklu has designed the set and MR Charan Raj is composing the music.",entertainment,"https://static.toiimg.com/thumb/msid-74160881,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-105700/74160881.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/puneeths-next-kicks-off-with-a-unique-fight-sequence/articleshow/74160884.cms
8,['17/02/2020'],Puneeth’s next kicks off with a unique fight sequence,"Sandalwood star Puneeth Rajkumar has begun work on his latest film, James . This stylish action drama is being helmed by Chethan Kumar of Bahaddur, Bharjari and Bharaate fame. Chethan shares with BT a teaser of Puneeth’s intense look that will be showcased in this sequence. “Stunt master Ravi Varma is coordinating the action sequence that is currently being shot in Whitefield. Since Puneeth sir is known for his athletic abilities, this sequence is being put together to be different and new for him as well as audiences. We have around 25 members participating in this action sequence and I am thrilled with how it has shaped up so far,” shares Chethan, who adds that he has Shreesha Kuduvalli on board as the cinematographer, while Ravi Santhehaklu has designed the set and MR Charan Raj is composing the music.",entertainment,"https://static.toiimg.com/thumb/msid-74160881,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-105700/74160881.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/puneeths-next-kicks-off-with-a-unique-fight-sequence/articleshow/74160789.cms
9,['17/02/2020'],Suneel Puranik returns to TV with new serial,"Television actor, director and producer Suneel Puranik is back on small screen with the new serial Manasare , directed by Ravikishore . Suneel, who is currently serving as the chairman of the Karnataka Chalanachitra Academy , will play a loving father in the show that will go on air soon. The serial also has Priyanka Chincholi, Yamuna Srinidhi, Swathi and Prakruthi in significant roles. Speaking to us, Suneel says, “I had taken a break of nearly one-and-a-half years from acting, as I was concentrating on directing a film. When the offer for this serial came to me, I couldn’t reject it, as I felt the role is quite challenging. In Manasare, my character has two distinct shades. Initially, I will be playing an exuberant 25-year-old guy with a don’t care attitude. But over the years, maturity sets in and he becomes a responsible and caring father who firmly believes in family values. The bond between a father and daughter, which is very rarely touched upon on for the small screen will be one of the main highlights of the serial.”Director Ravikishore lets us in on a little more about the show. He says, “This is a story about a father who hates his elder daughter, but loves the younger one more than his own life. Deprived of her father’s affection, the older one finds solace in the unconditional love from her stepmother. This forms the crux of the narrative.”",tv,"https://static.toiimg.com/thumb/msid-74161306,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-175237/74161306.jpg",http://timesofindia.indiatimes.com//tv/news/kannada/suneel-puranik-returns-to-tv-with-new-serial/articleshow/74161303.cms
