,Date,Title,Content,Category,Image_link,Article_link
0,['3/01/2020'],Break-ups in tellyland,"A few days ago, TV actor Karan Sharma and singer Tiaara Kar ended their three-year marriage. They are just one of the many TV couples, who have parted ways in recent months. Here’s a look at the others...TV actor Karan Sharma ended his three-year marriage to singer Tiaara Kar, a few days ago. After living separately for almost a year, the two got divorced. Karan had recently told BT, “Mutual understanding is what keeps two individuals bound together in a marriage, and when things don’t work out, it is better to move on.”There were reports that all was not well in actress Shweta Tiwari’s marriage for a long time. But a few months ago, things took an ugly turn; Shweta filed a police complaint against Abhinav Kohli, accusing him of domestic violence and of passing obscene comments at her daughter, Palak. Shweta and Abhinav tied the knot in 2013, and have a three-year-old son, Reyaansh Kohli. The actress was earlier married to actor Raja Chaudhary.TV couple Megha Gupta and Siddhant Karnick, who tied the knot in August, 2016, started facing trouble in their marriage, last year. The two have been reportedly living separately since April.Television couple Sidharth Sagar and Subuhi Joshi, called off their seven-month engagement in June 2019. Subuhi accused him of physical abuse, while he said that the split was because they were not compatible.Priya Bhatija, who was earlier married to television actor Jatin Shah, tied the knot for the second time with music arranger and DJ Kawaljeet Saluja in 2017. But the marriage reportedly ran into trouble and the couple filed for divorce in April 2019.The actress had met diamond merchant Raahul Sarraf through a matchmaker in May 2019. London-based Raahul moved to Mumbai and in June, the two had a roka ceremony. However, owing to compatibility issues, Garima ended her engagement in August last year.TV’s Nimki Mukhiya and her boyfriend Keith got engaged in 2018, but they called it off a few months later. Thetwo are on cordial terms today. In an interview to BT, Bhumika had said that they prefer being friends to being in a relationship.Porus actor Mohit Abrol got engaged to actress Mansi Srivastava of Ishqbaaz fame in 2016. However, the duo parted ways a few months back, after being in a relationship for more than eight years. Mohit Abrol’s social media accounts suggests the two had an ugly breakup.Ever since they started working together in 'Kasautii Zindagii Kay 2', Erica Fernandes and Parth Samthaan have been linked. While the two maintain that they are just good friends, sources confirm that they are a couple. Apparently, a few months ago, the relationship hit a rough patch, and the two even started avoiding each other except when they were shooting. But the latest we hear is that Erica and Parth have resolved their differences, and are together again.The two have been together for nine years now, but with their share of ups and downs. There have been rumours of them breaking up a couple of times in recent years, the most serious one being in September last year. But separation seems to be really tough for these two, as we hear that they are back together again. So, is it just as ‘good friends’ this time around?These exes fought bitterly on Nach Baliye last year, but it looks like they have kissed and made up, literally, on Bigg Boss. So, will their new-found affection for each other last, or is it just for the show?",tv,"https://static.toiimg.com/thumb/msid-73071044,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-61951/73071044.jpg",http://timesofindia.indiatimes.com//tv/news/hindi/break-ups-in-tellyland/articleshow/73071034.cms
1,['3/01/2020'],"Darshana Rajendran: In the past decade, it has become easier for actors to get opportunities","It’s been six years since Darshana Rajendran debuted as a film actor. In this period, she has played quite a few memorable characters, especially in films like Virus and Mayaanadhi. But the best is yet to come for her as she has been cast as the lead in the upcoming films Hridayam by Vineeth Sreenivasan and the anthology film Pennum Cherukkanum by Aashiq Abu. She is also part of Rajeev Ravi’s Thuramukham. Darshana tells us what it has been like to work in an industry, in which the former finance professional ended up by chance.Yes. There is Pennum Cherukkanum and Thuramukham, which I am done shooting for. And then there is Hridayam that is set to begin soon. All of these are very exciting projects.It does feel like home for me. From the moment I got a call from him about this film, I have been waiting for the shoot to begin. I think there is something amazing with work that comes out of a very comfortable, happy environment. Aashiq Abu is a master at that.You are working again with actor Roshan Mathew, who has now debuted in Bollywood, through Pennum Cherukkanum. Please tell us about the experience.Although A Very Normal Family, a play which he directed was our first work together, we have both been very closely associated with each other in the theatre space. We have also started working on our next play. We worked on Koode, but we didn’t have many scenes together. So Pennum Cherukkanum felt new. I have a huge list of directors, actors and artistes I want to work with in films... I think all actors do. With Pennum Cherukkanum, I got to tick Roshan off that list. He is a very intelligent, giving actor and there is a lot to learn from him. It was great working with him and I hope we get to do more work together.I come from theatre where sometimes I am on stage for only a five-minute scene and otherwise throughout the play. How big my part has hardly mattered. With films as well, it has not been so much about screen time, as it is about what I am doing with that time. Having said that, a lot of writing in films is hero-heroine centred and it is not very often that we come by good character roles. So, in a space like that, it does feel great to be considered for more prominent roles. It is also great to be part of an industry that does not have set rules when it comes to how the lead characters should look.She did. And I was very happy to hear that. But of course, it is not on the cards. She was just answering a hypothetical question (laughs) It will be great if it happens though.I did not see it coming when I was working in finance. But, finding theatre really did change my life. It was very liberating to find something that I enjoyed so much. It started as a hobby that I did alongside my job. But slowly I wanted to spend more and more time with it. Deciding to quit my job was the most difficult decision for sure, but one that I am very glad I took. It has been far from easy. There is no end of the month salary, no routine, no certainty. It was very different from the life I lived before and took some time getting used to. But now it is part of the deal. One stage bow or one good day at shoot seems to make up for the ‘not so nice’ parts of the job.Yes. I went in for a musical audition thinking I could sing and ended up doing a lot more than just singing. That is how theatre happened. I love singing, but to be honest I do not think of myself as a singer. It has always been quite a personal thing for me until Bawra Mann of Mayaanadhi happened. I am still scared to put out more of my work. But I would love to. I did explore the space a little more and there have been some exciting developments. I hope to do a lot more but slowly.It has been difficult for sure but honestly I think actors have it a lot easier than before. There is a lot more access now. Most of the films hold auditions today. I am able to reach the directors I would like to work with. That is a great thing for an actor. Even getting to audition for films like Thuramukham is so fulfilling.Having said that, it has been far from easy to figure out this world on my own. Whether it is going for an audition or picking a particular film or deciding to do a particular character or just agreeing on my payment, I think I am still doing some trial and error and learning along the way.This is another area of interest. I absolutely love working with children. I do storytelling sessions for children. Sometimes I work with childrens’ publications and take their stories to kids. With all this technology and easy access, I feel like we are slowly losing the habit of telling stories to children. But there is some magic that storytelling can create for them and I am very happy that I get to do that. Apart from storytelling, I also conduct theatre workshops for children along with my sister Bhavana. We recently started ‘Theatre with B and D’ to introduce children to theatre and we have done workshops in Bangalore and Kochi.",entertainment,"https://static.toiimg.com/thumb/msid-73069284,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-202788/73069284.jpg",http://timesofindia.indiatimes.com//entertainment/malayalam/movies/news/darshana-rajendran-in-the-past-decade-it-has-become-easier-for-actors-to-get-opportunities/articleshow/73069267.cms
2,['3/01/2020'],"My First Shot: Your first film always sets the tone for your career, says Andrea","I initially did not want to be an actor because I wanted to pursue music. So, I was saying no to all the film offers that were coming my way, including Pachaikili Muthucharam. But one of Gautham Menon’s assistants knew me from my theatre days.She said, ‘Listen, I know you are going to study music. But do this for pocket money and go’. So, I said OK. But I had no idea what I was getting into. I landed up on the set to shoot. This makeup artiste applied makeup on my face and even at that point, I did not know what was going on. Luckily, I had a good DOP (cinematographer), Mr Aravind Krishna. My first shot for Pachaikili Muthucharam was the opening shot of the song, Un Sirippinil, where my character stands at the doorway. So, I gave my first shot and Mr AK was like, ‘Come here, who put this makeup on your face? Go wash your face’ (laughs). He did not want any makeup on me. So I washed my face and gave the shot again. I did not wear any makeup for the entire film! I was, like, 21 at the time. Much later, Gautham told me that a lot of female fans really liked how I was looking real on screen in that film. I guess I have to thank Mr Aravind Krishna for that. Your first film always sets the tone and foundation for your career. I was very lucky that way to have worked with such wonderful people.",entertainment,"https://static.toiimg.com/thumb/msid-73070734,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-470036/73070734.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/my-first-shot-your-first-film-always-sets-the-tone-for-your-career-says-andrea/articleshow/73070734.cms
3,['3/01/2020'],Nothing can stop people from going to movie halls; that’s the magic of cinema,"It’s been more than a month since ace lensman-turned-filmmaker PC Sreeram was honoured with the Legend of Indian Cinema award at the International Film Festival of India, Goa. The veteran cinematographer wrote, “miles to go to capture many dreams”, expressing his gratitude on social media. “I really meant it. Awards mean a lot, but recognitions shouldn’t disturb one’s workflow,” he begins. In a free-wheeling chat with us, Sreeram talks about the unexpected honour, his plans to get into film direction, a dream that he has been nurturing for quite some time, the growth of south film industry in the recent years, and the dismal response to some of his recent films at the Box Office...I was told about the award by the festival director when I was shooting in Hyderabad. It was completely unexpected and initially, I didn’t understand what it was for. Later, they explained it to me and I was happy to receive it. For me, this is one more award — to work hard for more films.I have always felt that there are some directors who know how to get the best out of me. That’s the reason why I tend to team up with some people repeatedly. Moreover, you have that comfort level with a few people. In fact, there is no point in working on a project together without having a complementing vibe. The project with Balki was supposed to start earlier, but he became busy with Mission Mangal’s script and it took him more time than expected to complete it.The shooting of Super Deluxe had started long ago, and it got affected by demonetisation, because of which the production was halted for some time. So, my dates clashed with Padman. I had watched the movie (Super Deluxe) and I liked it, but it deserved more attention from the audiences. I chose not to do Psycho because I had a serious allergic problem and I didn’t know about its intensity initially. I needed a few months’ break, and hence, I asked Mysskin to go ahead with my assistant. I also missed taking up Vikram Kumar’s Telugu movie with Nani.I expected Naa Nuvve to be at least an above-average grosser at the box office, but it was rejected outrightly. I felt it had its basics right. But sometimes, you can’t gauge the audience’s mindset. I personally enjoyed working on Praana, which had only one character. Speaking of that film, I’m reminded of Parthiban’s Oththa Seruppu. He had done an extraordinary job of holding the audience’s attention.When I was working recently in Hyderabad, I was having a discussion with a few people there. They said, of late, the market for big-ticket Hindi films has gone down in the south. Bollywood had a good market in Karnataka and the Telugu-speaking states. They say that there used to be a festival mood earlier when big Bollywood flicks released there. I watched a much-hyped Hindi film some time ago — it had great VFX work, but lacked a screenplay. What is the point of having good VFX work without an engaging narration? But content-oriented Hindi movies have been performing well here, like Badhaai Ho, Andhadhun, Article 15, and so on.It is more or less similar to what happened with satellite television in the 90s. Many movie halls used to have empty evening and night shows when satellite television became popular. But that didn’t stop people from going to movie halls — that’s the magic of cinema. When I was working on Padman in a remote village in Madhya Pradesh, I came across people who did not have money for their basic needs. But I learnt that two out of the four theatres there had houseful shows. I think OTT content will become monotonous sooner or later. I read somewhere that two such platforms have already withdrawn from India. The problem is, here, when someone comes up with something, 20 other people also jump in and eventually, it loses steam. Also, from what I have seen, I don’t think so many series with grey characters and gory scenes can impress people for a long time. Regional content has got its own strength and the audience will flock to theatres if they are given engaging movies.One movie which impressed me with its screenplay and making was Lokesh’s Kaithi. It had a slickness to it and the element of time was intriguingly worked in the narration. I was amazed to see how it was packaged commercially, with nicely choreographed fights. I would say the film is on par with world cinema. It was after a long time that I got totally engrossed in a film.I will surely direct not one, but many films. I have more frames to capture. I haven’t decided what kind of projects I want to be at the helm of, though.I believe everyone should voice their opinion. I can’t hold back my opinions for sure. I express them loud, but I make sure I don’t hurt anybody. But I will stand by what I express on social media. It’s the biggest weapon we have now to raise our voice.",entertainment,"https://static.toiimg.com/thumb/msid-73070689,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1005510/73070689.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/nothing-can-stop-people-from-going-to-movie-halls-thats-the-magic-of-cinema/articleshow/73070689.cms
4,['3/01/2020'],"Pet-Time Stories: Frankie is everything to me, says Athulya Ravi","When Athulya Ravi lost her first dog, Rosy, in an accident, the actress decided that she would never have pets at home. “Her death affected me deeply. I was young and I could never come to terms with it. I remember crying for days together. I told my parents that we shouldn’t have dogs at home. Of course, we had several dogs in our farm in Coimbatore. I was close to them, but I didn’t get too attached. It’s only after moving to Chennai that I finally decided to have one,” says Athulya, petting her Shih Tzu Frankie , while talking to us...Athulya says that Frankie helps her destress. “When I decided to have pets, I wanted to have a Shih Tzu; I have a special liking towards that breed. I happened to see a video of Frankie when he was a baby. The moment I saw him, I decided to bring him home. He was 34 days old when I got him home. It is a delight to watch him grow,” she says, “He is my alarm clock... he waits patiently for me to wake up in the mornings. If I’m not up and about by 10am, he pushes the door open and tries to wake me up. If I had a late-night shoot, I’d sleep for some more time. So, if I don’t wake up, he usually sleeps next to my bed.” The actress goes on to add, “Our job can be stressful at times, but Frankie keeps me stress-free. The joy he brings to my heart when I see him waiting for me at the door is indescribable. He figures out I’m home the minute he hears the lift door opening. He waits near the door and once he sees me, he jumps on me. And at that instant, I forget all my other worries. Frankie means everything to me. He is like family to all of us. My mother never addresses him as naai; she calls him chellam or kuttyma. My brother jokes about how she calls him naaiye instead!”Athulya says Frankie knows when she’s upset. “When somebody at home is angry or is shouting at me, Frankie plays the role of my defender,” says Athulya, “He barks at them until they stop. We have noticed this a couple of times. Sometimes, my mother and I pretend that we are arguing about something. But he is very intelligent and knows that we are putting up an act. Whenever I am really down, he jumps on me and asks me to pet him. Naturally, it brightens my mood. He is a darling that way.”So, does he recognise her when she appears on television? “When I’m home, and if my face appears on TV, he gets confused. He looks at me and then stares at the television. It’s so funny to watch him then! But yes, he does recognise my voice and responds to me when I am talking to him over the phone. He’s first on my priority list. Like, if I am in a supermarket, I first look out for toys and food for him, and only then shop for myself and others,” says Athulya.Athulya recalls how she and Yashika Aannand decided to get their pets together for a play date. “She came home with her pet, Coco, who is also a Shih Tzu. Frankie and Coco were initially acting shy around each other and didn’t play much. But after a while, they began barking and were speaking in a language only they could understand,” she says with a laugh.Athulya regularly travels to Coimbatore with Frankie. “We take him in our car so that the journey is comfortable for him. He loves long drives. He gets all jumpy when he is in the car. He loves to put his head out of the window and get fresh air. If we close the window, he gets upset. He feels at home in Coimbatore. He walks and runs around our home like he’s the boss. I sometimes leave him behind with my family there because he loves the weather and all the attention that he gets. I travel to Coimbatore again after a few weeks to bring him back to Chennai,” she says.“If you want to have a pet, you need to promise yourself that you will spend ample time with them. Treat them like your family member. If you can’t look after them, don’t have them. It is important to spend time, talk and play with your pet. I regularly walk Frankie in the evenings. If I am busy, I make sure someone else takes him for a walk. I also ensure that I take him to the doctor for regular check-ups. This is something I don’t compromise on as I want to be with him whenever he is sick. We also ensure that we play with him every single day,” says Athulya.",entertainment,"https://static.toiimg.com/thumb/msid-73070862,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-938407/73070862.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/pet-time-stories-frankie-is-everything-to-me-says-athulya-ravi/articleshow/73070862.cms
5,['3/01/2020'],Ishan and Ashika play rock stars in Raymo,"Pavan Wadeyarr’s upcoming movie Raymo, which stars Ishan CV and Ashika Ranganath , is a musical love story. Both the lead actors in the film are featured as musicians, who are part of a band. The team recently shot the concert and tour sequences in South Africa , while plans are afoot to shoot in Singapore, Thailand and Malaysia as well. In the film, Ishan portrays a typical rock star, who plays the double-neck guitar. Stressing on how Ishan took extra classes to learn the guitar , Pavans says, “He has undergone special training to understand the nuances of playing the musical instrument. Double-neck guitars are really tough to learn. One needs to be musically inclined to play them with dexterity. We have specialists from the field coming in and training Ishan for two months. He has worked hard to ensure that he plays it onscreen with confidence.”“Ashika, on the other hand, essays the role of a girl from an orthodox Brahmin family. The storyline focuses on the what happens when two such contrasting characters come together as part of a band,” explains the filmmaker.The movie was shot in South Africa in December. Not many people know that there are many Kannadigas in that country, says Pavan, adding, “The nation is home to more than 20 lakh Indians, so it made all the more sense for us to shoot one of our concert sequences there. The gigs take the band across the globe, and so we’ll be travelling to Thailand, Malaysia and Singapore next.” Madhoo joins the cast…Pavan reveals that Roja-fame actress, Madhoo, will be joining the cast of Raymo soon. “She plays a doctor, which is a pivotal role in the film. And we are delighted to have her onboard,” he adds.",entertainment,"https://static.toiimg.com/thumb/msid-73071876,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-204963/73071876.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/ishan-and-ashika-play-rock-stars-in-raymo/articleshow/73071859.cms
6,['3/01/2020'],The lob is here to stay,"The long bob — better known as the lob — is a hair trend that has caught the attention of women around the globe. While Bollywood actresses have often experimented with the clothes they wear, the same isn’t true when it comes to their hairstyles. However, that seems to have changed with the lob finding a fanbase among the leading ladies in B-Town. Deepika Padukone made a splash when she recently did away with her trademark long locks and instead sported a smart lob at a red carpet do. The same holds true for Kareena Kapoor Khan. Priyanka Chopra Jonas, who has always kept her mane on the shorter side, seems to be having a lot of fun styling her lob in different ways. From soft curls and waves to keeping them poker straight, she has done it all. Anushka Sharma, Bhumi Pednekar Yami Gautam and Parineeti Chopra are among the other actresses, who are currently sporting the lob. On foreign shores, where the trend first caught on, celebs like Gal Gadot, Hailey Baldwin Bieber, Hilary Duff and Millie Bobby Brown have been rocking it. Here’s what makes this hairstyle popular...Women across age groups are opting for the lob. Hair expert Dorris Godambe says, “The lob doesn’t have any limitation when it comes to age; anyone can slay this look. It all depends on a person’s face structure and confidence level.” Hair expert Coleen Khan Affonso adds, “It suits women of all age groups. In fact, I think that those who are 25 years and above can have more fun with it.”Stylists say that this hairstyle is not a short-term trend. “Lob will be around for a long time as it has a youthful appeal,” points out Dorris. Talking about its longevity, Coleen says, “It has a very international vibe to it. The good thing about the lob is that it’s not too short or long. It flatters almost every hair texture and face structure. I see it staying around well into this year.”Coleen says, “I think that it looks better with Western outfits, but you can tie a low bun when you are wearing Indian attire. It’s possible to do that as your hair is longer in the front and goes all the way back. You can add a hairpiece and do a lot more, too. Also, today everything is so fluid; women with the shortest haircuts look stunning in saris. So, there are no hard and fast rules.”Dorris lists Deepika and Anushka as her favourites. “They carry it beautifully and with a lot of confidence,” she says. Coleen, whose vote goes to Deepika, shares, “She has got the height, the face… she has what it takes to take this look to the next level.”“You can do a lot with this particular style. You can put it up, or let it loose, or style it in many other ways. I am glad that our actresses are being more adventurous and doing fun stuff with their hair,” says Coleen. Talking about the versatility of the hairdo, she adds, “You can adjust it, obviously. You can texturise it, or change the parting. You can also add layers to it and make it like a messy lob, or have beach waves, or go very sleek.” Another factor that works in favour of this look is that one doesn't have to visit the parlour too often. “Unlike looks like the pixie cut, you don’t have to go for a trim at short intervals. You can let it grow out, as it doesn’t look awkward or out of shape at any stage,” points out Coleen.",entertainment,"https://static.toiimg.com/thumb/msid-73073976,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-76456/73073976.jpg",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/the-lob-is-here-to-stay/articleshow/73073962.cms
7,['3/01/2020'],The engagement took us by surprise: Hardik Pandya’s father Himanshu Pandya,"After all-rounder Hardik Pandya took to social media on Wednesday to announce the news of his engagement to Natasa Stankovic, it took many of his teammates, including Team India skipperVirat Kohli, by surprise. However, it turns out that Hardik’s decision to get engaged was a pretty spontaneous one. Speaking to us, Hardik’s father Himanshu Pandya shares, “Natasa is a very nice girl, and we have met her in Mumbai on a number of occasions. We knew that they were going on a vacation to Dubai, but had no clue that they were going to get engaged. This took us by surprise. We came to know about it after they got engaged.”

So, has the family decided about when the wedding will take place? Pandya shares, “We haven’t decided on that yet, but I am sure that it will be decided soon.” A close friend of Hardik, who did not wish to be named, shared, “I had been invited for the engagement but could not attend it, since it was in Dubai and I was busy with some work. It was a sudden development, and I was informed just about a week back. They have no immediate plans of tying the knot, and it might happen later in the year or even next year.”",life-style,"https://static.toiimg.com/thumb/msid-73074647,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-128580/73074647.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/the-engagement-took-us-by-surprise-hardik-pandyas-father-himanshu-pandya/articleshow/73074607.cms
8,['3/01/2020'],Big sports events today,"This story is from January 3, 2020

Australian captain Tim Paine (L) speaks to coach Justin Langer. (AFP Photo)",sports,"https://static.toiimg.com/thumb/msid-73074892,width-1070,height-580,imgsize-664502,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//sports/more-sports/others/big-sports-events-today/articleshow/73074871.cms
9,['3/01/2020'],"After arriving from his romantic vacay, Varun Dhawan grooves with his 'Street Dancer 3D' co-star Nora Fatehi together at the airport to promote the film","After their romantic vacation in Switzerland Varun Dhawan and Natasha Dalal are back in Mumbai. The duo was snapped at the airport by the paparazzi.Well, as soon as the actor arrived, he didn't waste any time and resumed the promotions of his upcoming film 'Street Dancer 3D' at the airport itself.Varun's co-star from the film Nora Fatehi turned up at the airport to receive him along with the dance crew. Then both the actors grooved to the tunes of their song from the film. Varun opted for a cowboy look as he wore a red shirt with a brown leather jacket over it, blue denim and brown shoes. He completed his look by sporting a brown hat! While Nora looked pretty in a pink hoodie with matching track pants and shoes.Nora even grooved with the paparazzi while promoting the film. After wrapping up the promotional gig, Varun and Natasha zoomed away in a car together. Check out the pictures and videos here:Meanwhile, 'Street Dancer 3D' stars Shraddha Kapoor along with Varun and Nora. The film also features Aparshakti Khurana and Shakti Mohan in pivotal roles. Helmed by Remo D'Souza the film is a third installment of the 'ABCD' franchise. It has been slated to release on January 24, 2020.",entertainment,"https://static.toiimg.com/thumb/msid-73076653,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-117327/73076653.jpg",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/after-arriving-from-his-romantic-vacay-varun-dhawan-grooves-with-his-street-dancer-3d-co-star-nora-fatehi-together-at-the-airport-to-promote-the-film/articleshow/73076594.cms
