,Date,Title,Content,Category,Image_link,Article_link
0,['27/03/2020'],Artists across the globe raise awareness about COVID-19,"Hygiene tips on a comic strip

Ways to stay less distracted while working from home

Visual arts and chat session to spread awareness about COVID-19

Government of India releases comic book to educate children

In the midst of these gloomy times, art has been a voice of reassurance for many. And artists around the world are finding different ways to create more awareness about hygiene as well as spread cheer and positivity among the young and old. We bring you a string of artworks that are both quirky and informative…US-based illustrator Nivya Kuriakose’s comic strip reflects on the current situation. “As an artist, I think, this is the least I could do to spread some awareness. So, I decided to present the basic tips to prevent the spreading of COVID-19 in a fun manner, which will attract people’s attention. So far, a lot of people have responded to it, saying it’s both useful and funny,” says NivyaThe work-from-home scenario amid the pandemic serves as the inspiration for Bengaluru-based illustrator Alicia Souza latest artworks. Interestingly, she has been working from home for almost a decade now. “There are so many people I know who are struggling to work from home amid the lockdown, because they are not used to this regime. Since I have been doing this for a while, over time I have developed habits that help you become less distracted and more productive. My latest illustration focuses on those easy-to-acquire habits,” explains Alicia.Artist-activist Baadal Nanjundaswamy, who is known for his pothole art, recently took to social media to spread awareness about COVID-19. “My art talks concentrates on the fact that the coronavirus recognises no border, and that it can affect anyone. As an artist, I feel, it is easier to spread awareness through visual art, since the message gets across more quickly and convincingly. It is one of the best ways to educate people, especially kids, who are more attracted to visuals.”Even the Ministry of Health and Family Welfare has found a way to educate kids through comics. They have released a book, titled Kids, Vaayu & Corona. The narrative follows the life of a superhero, named Vaayu, who helps kids to understand what coronavirus is and how it can be kept away. In the book, Vaayu repeatedly tells youngsters not to panic and educates them about social distancing and maintaining hygiene. This book has been conceptualised and written by Dr Ravindra Khaiwal, Additional Professor of Environmental Health — PGIMER — Chandigarh, and Dr Suman Mor, Associate Professor and Chairperson, Department of Environment Studies, Panjab University, while the illustrations are by Sonali Verma and Shruti Govil from Panjab University.",bengaluru,"https://static.toiimg.com/thumb/msid-,width-1070,height-580,imgsize-,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/artists-across-the-globe-raise-awareness-about-covid-19/articleshow/74828951.cms
1,['27/03/2020'],"I’ve been in quarantine since I returned home, says Nidhi Subbaiah","When Nidhi Subbaiah went to New York earlier this year, she was looking forward to enriching her craft by attending a few intensive courses, among others, and was all set to return home in time for the Ugadi celebrations. But then, the coronavirus pandemic took hold of the world, and all her plans went topsy-turvy. The actress was hopeful of sticking to her original travel plan, but had to make last minute changes when she heard of flight operations being suspended in India.“I was in New York on March 19, when I heard about restrictions on international flights landing in India from March 22. That meant that I just had one day to find a flight and return home before the ban. I frantically looked up flights and found two Air India flights with lots of seats available. But by the time I got to the payment page of the booking, there were only two seats left on one flight, while the other was no longer available. Luckily, I managed to get a seat,” she says.The rest of the day, adds Nidhi, was nothing short of a blur, as she went into a mad rush of packing and weighing bags. “At the airport, the Air India gate was packed, the line was pretty long, but fast moving. After 15 long hours and lots of controversy theories about how they won’t let people out of the Mumbai airport and how they’re being shipped to government quarantine facilities, all by a medical intern based out of Mumbai who is also a neighbour and made me write down the ‘nicer’ hospitals where I’d be more comfortable, I landed in Mumbai. Nervous and jetlagged, we got off the flight, not knowing what lay ahead,” says the actress.What happened next, took her by surprise. “Everyone was asked to queue up with their masks on. There was a separate queue for people with immediate connecting flights. A medical supervisor would check our temperature, following which we had to cross a barricade, form another queue, where in the most disciplined fashion, nurses were questioning each passenger if they, perhaps, had symptoms of the coronavirus. If none, they would let each out with a stamp on the left hand for mandatory 14-day home quarantine, which specified the date we could step out again, and another on the right hand that said HQ,” Nidhi explains.Before being allowed to proceed for check-in for her connecting flight, the actress, along with other passengers, were also counselled by a doctor about the importance of quarantine and isolation . “We were asked to keep our phones on at all times, as they would be making follow-up calls to check on us,” she says.Since returning home, Nidhi has isolated herself, considering that she lives with her mom, who is nearly 60 years old, and grandmother, who is in her 80s. “Thankfully, my room is on the first floor and has a separate entrance. Food is sent up on a tray and when I want to talk to my mother, we do so by maintaining six-feet distance from each other. I understand the importance of following rules at this time. And no, it’s not about what’s going to happen to you, it’s about what might happen to others because of you. This is our time to protect society and our loved ones and help the country fight this virus, by staying indoors. Stay in, stay safe,” she signs off.",entertainment,"https://static.toiimg.com/thumb/msid-74829380,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-249675/74829380.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/ive-been-in-quarantine-since-i-returned-home-says-nidhi-subbaiah/articleshow/74829380.cms
2,['27/03/2020'],Artists across the globe raise awareness about COVID-19,"In the midst of these gloomy times, art has been a voice of reassurance for many. And artists around the world are finding different ways to create more awareness about hygiene as well as spread cheer and positivity among the young and old. We bring you a string of artworks that are both quirky and informative…US-based illustrator Nivya Kuriakose’s comic strip reflects on the current situation. “As an artist, I think, this is the least I could do to spread some awareness. So, I decided to present the basic tips to prevent the spreading of COVID-19 in a fun manner, which will attract people’s attention. So far, a lot of people have responded to it, saying it’s both useful and funny,” says NivyaThe work-from-home scenario amid the pandemic serves as the inspiration for Bengaluru-based illustrator Alicia Souza latest artworks. Interestingly, she has been working from home for almost a decade now. “There are so many people I know who are struggling to work from home amid the lockdown, because they are not used to this regime. Since I have been doing this for a while, over time I have developed habits that help you become less distracted and more productive. My latest illustration focuses on those easy-to-acquire habits,” explains Alicia.Artist-activist Baadal Nanjundaswamy, who is known for his pothole art, recently took to social media to spread awareness about COVID-19. “My art talks concentrates on the fact that the coronavirus recognises no border, and that it can affect anyone. As an artist, I feel, it is easier to spread awareness through visual art, since the message gets across more quickly and convincingly. It is one of the best ways to educate people, especially kids, who are more attracted to visuals.”Even the Ministry of Health and Family Welfare has found a way to educate kids through comics. They have released a book, titled Kids, Vaayu & Corona. The narrative follows the life of a superhero, named Vaayu, who helps kids to understand what coronavirus is and how it can be kept away. In the book, Vaayu repeatedly tells youngsters not to panic and educates them about social distancing and maintaining hygiene. This book has been conceptualised and written by Dr Ravindra Khaiwal, Additional Professor of Environmental Health — PGIMER — Chandigarh, and Dr Suman Mor, Associate Professor and Chairperson, Department of Environment Studies, Panjab University, while the illustrations are by Sonali Verma and Shruti Govil from Panjab University.",life-style,"https://static.toiimg.com/thumb/msid-74828876,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-170704/74828876.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/artists-across-the-globe-raise-awareness-about-covid-19/articleshow/74828876.cms
3,['27/03/2020'],Mysuru artists put up unique installations about social distancing,"This story is from March 27, 2020

Mysuru artists put up unique installations about social distancing

The artist duo urges people to stay at home to contain the spread of coronavirus

Yoganand says, “We had initially started the

Mysuru artists Yoganand L and Hari Prasad are leaving no stone unturned to educate common people about the need to stay at home to contain the spread of coronavirus . A day after Janata Curfew, it was business as usual in the heritage city, which prompted the artist duo to raise more awareness about social distancing . Equipped with masks and their specially-designed installations, both Yoganand and Hari visited several localities in the city — including Devaraja Market, Nanju Malige Circle, KR Circle and Devaraj Urs Road — appealing common masses to stay indoors.Yoganand says, “We had initially started the campaign on March 18. At that time, not many people were aware of extremity of this deadly virus. Even though the knowledge and awareness has increased now, many are still too stubborn to acknowledge the gravity of the situation, and that is why things are slowly going out of control every passing day. We want to tell people the urgent necessity to remain indoors.”",mysuru,"https://static.toiimg.com/thumb/msid-74829171,width-1070,height-580,imgsize-255479,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/mysuru/mysuru-artists-put-up-unique-installations-about-social-distancing/articleshow/74829171.cms
4,['27/03/2020'],#CoronaLockdown: Workouts keep Arun Vijay busy,"For a fitness-conscious person like Arun Vijay , this lockdown and self-quarantine is proving to be a good break. Here are a couple of things that keep the actor busy...Doing workouts at home is nothing new to me as whenever we have outdoor shoots, I work out in the hotel room or use the space outdoor. So, during this quarantine period, I am using my space on the terrace. I skip, do ab crunches, pull-ups/push-ups... then, there are dumbbells.Since I’ve always been shooting outdoors, I get very less time to spend with my family. My kids, too, are having online classes. So, I sit with them and help them out. I also play indoor games with my son and daughter. My son has also been playing a spa game with me, where he applies lotion and cream on my face. Well, it turned out to be successful.",entertainment,"https://static.toiimg.com/thumb/msid-74831114,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-512539/74831114.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/coronalockdown-workouts-keep-arun-vijay-busy/articleshow/74831114.cms
5,['27/03/2020'],"Nayanthara, Trisha & Nazriya ace latest fad","We are always up for challenges. Be it to defeat the Coronavirus pandemic, or to ace the ones on social media. While new challenges keep surfacing online every other day, the one that’s piqued the curiosity of our celebs now is #GestureChallenge Though the challenge is at least three months old, it has gone viral only recently, thanks to several people — who are working from home because of Corona crisis — taking it up to break the monotony. From Hollywood stars to B-Town and K’wood celebs, and sports icons, everybody’s been attempting to get the challenge right.Closer home, Nazriya pulling off the gestures like a pro while her husband Fahadh Faasil looks on ‘cluelessly’, Nayanthara and Vignesh Shivan synchronising their movements (like the much-in-love couple that they are) and Trisha acing the challenge not once, but twice, have gone viral. So, are you guys ready to crack the #GestureChallenge?",entertainment,"https://static.toiimg.com/thumb/msid-74831063,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1000020/74831063.jpg",http://timesofindia.indiatimes.com//entertainment/tamil/movies/news/nayanthara-trisha-nazriya-ace-latest-fad/articleshow/74831063.cms
6,['27/03/2020'],The world steps up to help the elderly during lockdown,"Counted among the most susceptible lot during the coronavirus outbreak, it is important that elderly people stay at home to ensure they are in the best of health. However, being by themselves, having to tackle household chores and, at the same time, keeping themselves engaged and entertained can be taxing for many. Let’s take a look at how people around the world are doing their bit to make sure that the older generation is cared for at this time…In Spain, military personnel were spotted helping an old woman who was struggling to carry a heavy bag of groceries back home. Meanwhile, in Yorkshire, people have been asked to hang red-coloured flags at their windows to indicate that they need help with essentials — shopping, medication or transport. Many are also using social media to reach out to senior citizens who need assistance. In Bengaluru, too, a group of volunteers in Whitefield is reaching out to the elderly and helping them as and when required.With outsiders refrained from visiting the elderly at a healthcare facility in Belgium, an AI firm has instead sent robots equipped with video-calling software to help them interact and stay connected with their near-and-dear ones during the lockdown.Games and other activities being organised at care homes is not unheard of, but people playing Hungry Hungry Hippos sitting in their wheelchairs at this nursing home in the UK makes for a heart-warming sight.At a facility in Japan, the elderly residents reportedly continued with their fitness sessions by following videos on the internet. In India, actor Rishi Kapoor, too, featured in a video keeping up with his workout session in a similar manner.Times are tough, but if you’ve got a goofy significant other by your side, anything can be handled. At least, that’s the mantra of this quirky elderly couple. Twitter user, @janeytrill, shared how her parents, who’d planned to head out on a cruise, turned their quarantine into an experience. They watched a video of the sea on TV, got into their bathrobes, sat back and relaxed, sipping on a glass of their favourite drink. Janey even commented later that the response has been so overwhelming that her parents want to work on a satirical follow-up video of them ‘arriving at the destination’.Physical presence means a lot, even if it is separated by a glass window. A youngster in the US was seen hanging out with his dad from outside the window of a care centre. An employee at the centre took a picture of them and shared on social media, captioning it: “My assisted living is on lockdown so he comes every day to see his dad and they talk through the phone, sweetest thing ever. (sic)”Similarly, in the Netherlands, people gathered outside a nursing home to sing for the elders. In other countries, people wished their aged neighbours on their birthday by singing for them, and on one occasion, placed a cake in front of their home.",life-style,"https://static.toiimg.com/thumb/msid-74828499,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-276328/74828499.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/the-world-steps-up-to-help-the-elderly-during-lockdown/articleshow/74828499.cms
7,['27/03/2020'],Parenting trends that may become popular in 2020,"While every parent wants to be the best parent for their children, it’s not easy balancing career and family, juggling responsibilities and managing the needs of children and self. However, today’s parents are more invested, conscious and savvy about their parenting choices and are taking cues from everyone — environmental activist Greta Thunberg to celebrity couple Harry and Meghan. Here’s a look at the parenting trends that may pick up momentum this year…Till recently, not many were aware of the possibilities of environment-friendly parenting, except for going for wooden toys. However, millennial parents have started substituting baby wipes and cloth, using home-made food instead of canned food products and replacing plastic toys with those made of wood and natural colour.This can be a fitting trend for 2020, with parents ready to set aside 20 minutes every day to sit with their children and talk to them about everything under the sun.A pronounced trend in the West, gender-neutral parenting has been on the rise in India. These parents are letting their boys and girls choose the type of toys they want — no more cars for boys and dolls for girls, as urban millennial parents want to break the norm that pink is for girls and blue is for boys. These young parents are also dividing the household chores among themselves to show that there are no gender-specific chores at home. They also choose to narrate stories of inspiring women to tell kids that there is no concept called the weaker sex.The old practice of sitting together and watching television is increasingly being replaced by family games. Many families are finding time to play traditional games and are also buying multi-player gaming equipment for a family bonding session.Harry and Meghan made headlines when they announced to the world that they will stop at two children to help save the planet. Now, many families are gung-ho about the idea— a conscious decision not to have more than two kids so that they refrain from creating a negative impact on earth.Harry and Meghan announced to the world that they will stop at two children to help save the planet. However, the Anti-Natalist movement is all about forcing people to volunteer to not have have kids at all. In a bizarre announcement, a 27-year-old Mumbai businessman, Raphael Samuel, said last year that he plans to sue his parents for giving birth to him without his consent.Though the first menstruation cycle of a girl has been celebrated in India since yore, the West is now trying to emulate the same. There is an increased interest in celebrating their daughter’s first period with red-themed food and drinks to remove the stigma associated with menstruation, and this is an idea that’s likely to become more popular in the UK.Greta Thunberg was noticed by the world when she went vocal about the environment. Many parents have now started encouraging their children to raise their voices about the causes they believe in. Instead of only listening to adults, these children are making sure that their voices are heard by all. No wonder, companies are looking to hire children as consultants and ambassadors to talk about climate change and environment.",life-style,"https://static.toiimg.com/thumb/msid-74831284,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-981856/74831284.jpg",http://timesofindia.indiatimes.com//life-style/parenting/parenting-trends-that-may-become-popular-in-2020/articleshow/74831284.cms
8,['27/03/2020'],"Mamta Mohandas: When I found fame, I didn't take it for granted","While for the majority in the country, lockdown started on March 25, actress Mamta Mohandas has been in self-quarantine mode at her home in Kerala since March 17. The actress had travelled from Los Angeles (LA) to Kerala with a halt in Dubai to shoot a music video in the midst of the Covid-19 outbreak.When we catch up with her over a telephonic conversation, she is halfway through with painting her house – a “messy” project to keep her busy during the isolation. Mamta talks to us about her experience filming amid elaborate precautions, tips to make the most of the lockdown time, completing 15 years in the industry and about the much-anticipated Big B sequel, Bilal It wasn’t so bad when I left for Dubai, because my doctors in LA had asked if I wanted to travel at this time. I said as of now there’s no change because I spoke with (director) Amal (Neerad) and he said everything was going as per plan and Bilal's shoot would start on March 21. But the day after I landed in Dubai, everything seemed to have changed. Suddenly, there were talks about places getting locked down and flights getting cancelled.The music video’s director Sachin Ramdas and team had taken permission to shoot in several places and it was very difficult to pull that off. But we did. We had minimum crew. We were also shooting mostly in contained places; we did have outdoor shots but thankfully there weren’t many people at those locations. We avoided public locations such as those close to the Dubai Museum.I am kind of used to functioning when there are few people because where I am living now in LA, there aren’t a lot of people. It wasn’t a shock for me but for those in Dubai it was a big deal, not seeing people around and the roads being less busy.I have been through that phase of cancer multiple times and also had to be in isolation for 30 days through my bone marrow transplant process. Few people would have had to go through that and it teaches you too many things; I wouldn’t ever wish that on anybody. But the least the authorities are expecting from people right now is to take some sort of responsibility, for themselves and those around them. I don’t understand why it is hard for people to stay indoors and find constructive ways to spend time.These are questions I have even asked my mother. She is cleaning all the time and it gets to her so much that she keeps telling others, she cleaned this and that. That is her way of venting all her frustration. I think you need to find a way of giving life to all that energy inside you. There are so many beautiful things that you can do by yourself at home.When I come to Kerala, people always ask me why is it that I find it easier to be in LA than here where I have all the attention and everything I need. It’s because of the chaos in the environment, and it gets into your system as well. As much as we speak about things like yoga and resilience, we haven’t really incorporated that into our lives. This is the right time for it. This is the universe’s way of telling us that it’s time for the entire world to come to a pause.Also, something bad is happening on one side that we have no control over. What we can do is practise washing hands with soap and using sanitisers. Also, to be active you don’t have to go outside or to a gym; all it requires is some self-motivation.It’s a non-film project, so that’s great. Its music director Sachin Warrier approached me, asking if I could lend my voice to the song. I am always happy to sing. A lot of people ask me why I don’t sing. I feel it’s because not many have taken the liberty to approach me for songs. Also, I don’t think it’s right to take up all the offers, I have to be careful about where I go and sing and with whom I record. Singing is something I do purely out of love, and I told Sachin this. I also said that I want to take complete ownership of the project and that they don’t have to picturise it on anyone else but me. We then got a Bollywood team back us and they helped us make the project much bigger.I am a little private about the things that I absolutely love to do. I sing at home for everybody, I sing for myself and even shoot videos of myself singing but I might have posted only 5% of what I have shot. It’s the same with writing. I somehow feel that internalising those experiences makes it way more meaningful for me than putting it out there. That’s probably why you don’t see much of my music. My parents always tell me that everything has a life. Even as an actor, you have a shelf-life in terms of how long you can put yourself out there, but music will be there with you till you die. So, I guess that sort of keeps me complacent.I think perseverance and consistency. There’s also no point in doing a job without self-respect. That’s something you need to maintain in the industry and that promises you longevity. I am a little shy to say this, but my career has never been just mine alone. I have always had my parents fully involved in my activities. I am an only child and so, they do the filtration process for me and keep in touch with everybody. People in the industry say that if Mamta has to know something, her family has to know it too. That has often been the case; I have had my health issues and those times it is my mother that people would end up talking to because I am inaccessible. So, until I bloom again, she’s in the forefront. That has helped me get stronger over time. I didn’t find fame overnight. I don’t think my first few films were even successful. I just maintained the fame, tending to it carefully and not taking it for granted.The script itself had what it took for me to understand Rithika’s character. The film’s co-director and scriptwriter Akhil Paul had also taken a lot of interest to ensure that the character reached me. Apart from that I had the complete script with me and had two months of prep time before the shoot. Taking that long break in 2019 also helped and I was ready for the next big character. There is a way of portraying a Malayali female cop as a rough and tough person. I didn’t want that because a woman is a woman in her position. She is someone else at home and someone else at work. I wanted to maintain that balance.I am thoroughly excited. Big B was Amal’s first film and I am sure once we start shooting we are all going to go back to crazy nostalgia. It’s going to be an experience for us to relish at location. We are all looking forward to it and are excited about the new addition to the cast in Bilal. After all it’s a franchise movie, so Rimi is going to be Rimi, just a few notches better, matured and a little more part of the Kurishingal family. She’s one of them now, rather than being looked at asan outsider.",entertainment,"https://static.toiimg.com/thumb/msid-74827413,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-76375/74827413.jpg",http://timesofindia.indiatimes.com//entertainment/malayalam/movies/news/mamta-mohandas-when-i-found-fame-i-didnt-take-it-for-granted/articleshow/74827413.cms
9,['27/03/2020'],Here is how Chennai’s college students are dealing with lockdown,"Finishing things which I never had the time for

— Varsha Sriram, final-year journalism student

Looking up ideas to beat boredom

— Sahana Swaminathan, CA student

It took a global pandemic to get us some time off

— Yagna Saravanan, final-year media student

I am editing hundreds of photos that I have clicked

— Sri Loganathan, second-year media student

I have picked up gardening to kill time

— Girish Athreya, first-year architecture student

As the world fights an uphill battle from their homes during this tumultuous time of the Coronavirus pandemic, daily routines have gone out the window. With the country currently under lockdown for the next 19 days, educational institutions, including colleges, have been shut indefinitely. While classes have moved online, calls for social distancing has upended college life and camaraderie. The students, however, who have a half-glass-full philosophy, march on. We caught up with a few, who gave us a rundown on their days.I’ve been home for over a week now and to be honest, I’ve lost my mind. But because I’m in my final year, and we have our final submissions going on, I’ve gotten time to sit down and finish my work properly. The quarantine has made me finish things I never had time for. I’m finally ticking off the movie and book list that I’ve been putting off for a while. Films like Contagion and Pandemic keep things relatable and real. My friends and I have started playing a lot of online games together, like Psych and Quiz Up. We video call each other every day through this app called House party, where we play games and even snack together. Since my dance classes and my cross fit spaces are shut, I am trying to work out at home a little bit.I have never been this idle for the longest time. So, this lockdown period has been really hard. I have been looking up useful ideas to beat this boredom and ended up finding a couple of chores to keep myself busy. I began allocating a lot of time for music and art. Since I am not much of a reader, I binge watch shows including Grey’s Anatomy and Rizzoli and Isles. Apart from learning to paint on canvas, I’m also trying my hand at photography along with my brother.Apart from final-year assignments and submissions, I rely on Instagram and streaming platforms to keep myself busy. Shows like Grey’s Anatomy and Fleabag are keeping me hooked. I’ve also been trying to be more social these days. Whenever someone posts something about the quarantine period, and I reckon they have an interesting take on something, I make sure to hit them up and ask them about the same — something I usually don’t do. While this does come at a bad time given that submissions and exams are right around the corner (especially for final-year students), I think this does reflect a lot upon the education system. This is the first time in many months we’ve had a breather. Basically, it took a global pandemic to get us some time off.Since I am a photographer, I am using this time to edit and collate hundreds of photos that I have clicked. While it is a bit unfortunate that I cannot venture out and click pictures, something that is almost second nature to me, I am trying to look at the positives. Usually, when we look at YouTube videos to learn new things, we hardly pay attention, thanks to hundred distractions. But due to the lockdown, I have come to understand the value of my privilege. So, I am using this time to learn new techniques. My current read is Agni Siragugal. I would normally read around five pages a day. But now I am finishing more than 35 pages a day. This lockdown is really putting things into perspective.This lockdown has had no effect on my classes. It has just shifted from physical classrooms to online classrooms. That is the only difference. On the positive side, I am able to pay even more attention from the comfort of my house. As an architecture student, we have site sheets and plans to submit as part of our assignments. While it is quite tiresome to depict complex site plans digitally, we are slowly trying to get the hang of it. As far as my hobbies go, I have picked up gardening to kill time. I have also dug into Kalki’s five-volume series Ponniyin Selvan. That should keep me busy for quite some time.",chennai,"https://static.toiimg.com/thumb/msid-74831194,width-1070,height-580,imgsize-965700,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/chennai/here-is-how-chennais-college-students-are-dealing-with-lockdown/articleshow/74831194.cms
