,Date,Title,Content,Category,Image_link,Article_link
0,2020/02/23,"‘Ten years on, still a long way to go for fire safety’","The responsibility to ensure safety lies not just with government authorities, says Uday Vijayan of Beyond Carlton

Ten years ago, on this day, horrific images of thick black smoke billowing out of a building on HAL Airport Road, as desperate people jumped to death in a bid to escape the suffocation, stunned the city. Prior to that the last big fire tragedy Bengaluru had witnessed was at the Venus Circus in 1981.

The Carlton Towers fire of February 23, 2010 haunts survivors and families of the nine people who lost their lives. Every time a fire accident is reported in the country, they relive the horror. But what came out of the tragedy was the birth of probably the only citizen-led fire safety advocacy group in the country, Beyond Carlton, which, over the years, has become the go-to body for fire-related issues such as compliance.

Uday Vijayan, who lost his 23-year-old son in the tragedy, is the managing trustee of the fire advocacy group. “We set two objectives that haven’t changed in 10 years, one of which is making authorities more accountable. Carlton was a failure of the system: there was no inspection, fire emergency vehicles could not reach, maintenance of the building ... everything that had to go wrong went wrong. Second is coordination between different agencies — Fire and Emergency Services Department, traffic police, the building association, etc.,” he said.

A February 23, 2010 photo of smoke billowing out of Carlton Towers on HAL Airport Road.

Have things changed since the accident? Mr. Vijayan said certain things have. “Our PIL petition resulted in the Fire and Emergency Services Department conducting inspection every two years. The managing committees of high-rise apartments are a lot more accountable now. In the first two months, what we learnt was that most of us don’t know much about fire safety and there was huge apathy. No one wants to believe that we can die in an accident or fire,” he said.

But awareness and the culture of safety still has a long way to go. For instance, Beyond Carlton recently highlighted that only two hospitals in the city have a burns ward.

Rooftop establishments

After another major accident — the Kamala Mills fire in Mumbai in 2017, Beyond Carlton raised the issue of fire risks in rooftop establishments in the city. This was followed by a crackdown by the Fire and Emergency Services Department and the police on establishments flouting fire safety rules. “Local bodies such as I Change Indiranagar were active and so we got involved with them,” he said.

Going forward

Going forward, Beyond Carlton wants to see that nobody dies in a fire accident. But, it is a long journey, admitted Mr. Vijayan. “It is not a realistic goal to set it for the next five or 10 years. A fire accident could happen anywhere. In Bengaluru, for example, we hadn’t anticipated the city’s growth, and we are grossly under capacity to handle fire safety. When you can provide water and electricity to a new layout, why not a fire station, like a park? The government has land,” he said.

But the group also maintains that the responsibility lies not just with government authorities.

“There is very little time to escape a fire. In a high-rise building, for example, the internal system has to work. There is a larger chance of single ownership properties following the rules. The problem is with multi-tenanted and commercial establishments; Carlton was a similar case. There are more people involved in decision making, and fire safety is a continuous and expensive process,” he said.

Through its ‘I am a fire champ’ series, Beyond Carlton has been learning about positive steps being taken by individuals and communities. Among them is Yashve, a 9-year-old from Chennai. “We have conducted fire drills in school. We also have a fire extinguisher in the house and my mom has taught me how to use it,” she said.

Fire safety committee yet to take off

Coordination among different agencies has been a sore point in fire safety, but a committee that was promised to look into it is yet to take off. Members of Beyond Carlton have pointed out that all stakeholders — BBMP, Bescom, CREDAI, along with the fire advocacy group, were to be part of the fire safety committee. “A Government Order was also issued in 2018, but it is sadly yet to work out,” said members of Beyond Carlton.

Beyond Carlton had released a five-year fire safety blueprint for Bengaluru in consultation with the Karnataka Fire and Emergency Services Department in 2018, which has a five-year roadmap from 2018 to 2022. Among its key recommendations are introducing a retrofit policy for older buildings, linking property tax payment and fire no-objection certificates, introducing a public-private partnership policy for private agencies to partner for new fire stations and monitoring, making burns wards compulsory in well-equipped hospitals, and developing protocols for inter-agency coordination. The plan also pushes for adoption of technology in a big way, including a tech upgrade that enables fire truck screens to see building plans.",bengaluru,https://www.thehindu.com/news/cities/bangalore/7gwlby/article30892556.ece/ALTERNATES/LANDSCAPE_615/22BGRITZCARLTON,https://www.thehindu.com/news/cities/bangalore/ten-years-on-still-a-long-way-to-go-for-fire-safety/article30892557.ece
1,2020/02/23,"In Bengaluru, officials seize ephedrine worth ₹5-crore concealed in wedding invitations","This is the second such drug bust this week

Customs Department officials at Kempegowda International Airport (KIA) unearthed another drug smuggling racket on Friday and recovered over 5 kg of ephedrine, this time concealed in wedding invitations that were to be shipped to Australia. This comes just a few days after officials detected a 5 kg of the drug concealed in bobbins of embroidery lace. That consignment, too, was slated to be couriered to Australia.

Officials were on alert after the first bust. While inspecting the wedding invitations, they realised that the cards were heavier than usual. A preliminary scan revealed polythene packets hidden inside the cardboard layers of the packaging. Each bag was filled with a powdery substance.

Officials recovered 86 polythene pouches filled with ephedrine. A further verification found that the consignment has been booked by the same Madurai-based exporter who had sent the bobbins of lace. The total quantity of ephedrine seized on Friday is estimated to be ₹5 crore in the international market. The authorities are now on the lookout for the exporters whom they suspect are part of an international drug racket. “If you consider both hauls, then the value is estimated to be about ₹10 crore. We are also verifying with the courier agencies and the company that printed the wedding cards,” said a police officer.

Ephedrine is a primarily medication used to prevent low blood pressure during spinal anaesthesia but can be abused as a stimulant and an appetite suppressant. According to officials, it is a controlled substance covered under the Narcotic Drugs and Psychotropic Substances Act, 1985.",bengaluru,https://www.thehindu.com/news/cities/bangalore/e0grl9/article30892481.ece/ALTERNATES/LANDSCAPE_615/22BGDRUGS,https://www.thehindu.com/news/cities/bangalore/customs-officials-seize-5-kg-of-ephedrine-concealed-in-wedding-invitations/article30892483.ece
2,2020/02/23,Citizens submit plea to Deputy Chief Minister against elevated corridor,"A delegation of citizens’ groups met Deputy Chief Minister C.N. Ashwath Narayan and petitioned him to permanently shelve the controversial elevated corridor project, which a group of BJP MLAs have been lobbying to be included in the upcoming State Budget.

“We reminded him that citizens across 70 civic groups had gathered in thousands to oppose the project less than a year ago and how the BJP, which was in the Opposition then, had vociferously opposed it as well,” said Srinivas Alavilli of Citizens for Bengaluru.

The petition submitted to Dr. Narayan said that world over cities were dismantling flyovers in the core city and were instead focussing on mass public transit systems. They argued for bus priority lanes and suburban trains.

While Dr. Narayan was positive on bus priority lanes and said the government was committed to introducing them on 12 high- density corridors, he was non-committal about the elevated corridors, said the activists who met him. “He said that he saw the elevated corridor as one of multiple priorities, including various ring roads and other projects, that are vying for allocation in the Budget. He said the government, facing a fund crunch, would look at public-private partnership as a viable alternative model,” Mr. Alavilli said.",bengaluru,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/cities/bangalore/citizens-submit-plea-to-deputy-chief-minister-against-elevated-corridor/article30892468.ece
3,2020/02/23,Kannada gotilla? Residents’ associations here to help,"Some of them are organising spoken Kannada classes

The city, with its thriving and expanding migrant population, is becoming a cultural melting pot, and many newcomers are keen to embrace Kannada. Residents, too, want migrants to learn the language. With this in mind, several groups and residents’ welfare associations (RWAs) have taken up the task of teaching basic spoken Kannada to those who are not familiar with it.

Residents’ Welfare Association Bangalore East (REWABE), for instance, has been holding classes regularly, and is hoping to start another round of tutorials next month. Roy Thomas, one of the organisers, said that such a necessity arose around Cooke Town as the area is predominantly filled with non-Kannada speaking residents. “As it is close to Cantonment, it has always had that cosmopolitan touch. Many who were born and raised here don’t speak Kannada,” he said.

RWABE had conducted classes in 2019. “Since many expressed their desire to join, we thought that classes during the weekends would be more beneficial. We previously had classes on weekdays. This will be our third batch,” he said.

Veena Damodaran, one of the instructors, said they taught basic conversation skills. “We give them home work and instruct them to speak in Kannada in public. Once they do it, they come up with doubts for the next class,” she said.

Similar spoken Kannada classes were being conducted by various teams in and around Whitefield and Varthur areas, but are not formally structured. “There is a huge migrant population in and around the area who cannot speak Kannada. Hence, instead of blaming that they do not know or speak Kannada, we decided to teach them,” said Jagadish Reddy of Varthur Rising.

Volunteers teach working professionals who live primarily in gated communities. “Such efforts should be held in a sustained way across the city. We often witness fights and people venting their frustration owing to the language barrier. Instead of complaining, we should work towards bringing about a positive change,” he said.",bengaluru,https://www.thehindu.com/news/cities/bangalore/jnv84l/article30892442.ece/ALTERNATES/LANDSCAPE_615/22bgKannadSpeakingcol,https://www.thehindu.com/news/cities/bangalore/kannada-gotilla-residents-associations-here-to-help/article30892443.ece
4,2020/02/23,"Yash, Jayaprada chief guests at BIFFes opening","Festival to open with the screening of Iranian film Cinema Donkey

Kannada actor Yash and multilingual actor Jayaprada will be the chief guests at the inauguration of the 12th edition of Bengaluru International Film Festival (BIFFes) on Wednesday.

Chief Minister B.S. Yediyurappa will preside over the event and inaugurate the festival. Film producer Boney Kapoor and singer Sonu Nigam will also be among the guests at the event, which will be held at Sri Kanteerava Indoor Stadium.

Both the opening and closing films of this edition revolve around film-making. The festival will open with the Iranian film Cinema Donkey (Cinema Khar), written and directed by Shahed Ahmadlou, which is about the making of a film with a donkey. Golden Voices, an Israeli film directed by Evgeny Ruman that tells the tale of two Russian film dubbing artistes who migrate to Israel after the fall of the Soviet Union, will be the closing film.

The festival will screen 225 films from 60 countries, mainly at Orion Mall, Rajajinagar, from February 27 to March 4. Select films will also be screened at Navrang theatre at Rajajinagar, Suchitra Film Society at Banashankari, and Karnataka Chalanachitra Kalavidara Sangha, Chamarajpet. Films from Germany, the Philippines, and Australia, and those that portray traditional Indian music will be the focus of the festival. A retrospective of multilingual actor Anant Nag and Russian auteur Andrei Tarkovsky will also be held.

Governor Vajubhai R. Vala will give away awards to winners in the Kannada, Kannada Popular Entertainment, Indian, and Asian competition sections, at the Vidhana Soudha on March 4.",bengaluru,https://www.thehindu.com/news/cities/bangalore/c367xr/article30892417.ece/ALTERNATES/LANDSCAPE_615/22BGBIFFES,https://www.thehindu.com/news/cities/bangalore/yash-jayaprada-chief-guests-at-biffes-opening/article30892418.ece
5,2020/02/23,"Chennai engagements for February 24, 2020","RELIGION

Kaivalya Navanetham: Vidhyaananda Sarasvati, Kumaran Nagar third cross street, Chinmaya Nagar stage 2, 11 a.m.

Bhagavatham: B. Sundarakumar, Sri Venugopalaswamy temple, second street, Gopalapuram, 6.45 p.m.

GENERAL

M.T.S. Academy and Nehru Yuva Kendra: Award ceremony for senior citizens, Ethiraj College for Women, Egmore,11.30 a.m.

PSN Disciples Foundation: Annual Day celebrations, Honouring T.K. Murthy and Prema Hariharan, Ragasudha Hall, Luz Avenue, Mylapore, 6 p.m.

Quaid-e-millath government college for women: Students forum valedictory function, Triplicane, 2 p.m.

U.S. Consulate General and Care Earth Trust: Water Matters exhibition, Periyar Science and Technology centre, Gandhi Mandapam road, 10.30 a.m. onwards

University of Madras: Professor P.T. Srinivasan Endowment lecture, R.K. Raghavan, Former Director, CBI will speak on ‘Managing the police forces in India and the role of technology’, Management studies department, Chepauk, 2.30 p.m.

Guru Shree Shantivijai Jain College for Women: 29th Annual Sports Meet, Nehru Stadium, Periyampet, 9 a.m.

S.A. Engineering College: Guest lecture on Recent trends in wireless networks and scope, ECE Department seminar hall, 9.30 a.m. ;Inauguration of NIPM Student chapter and management day, MBA Conference Hall, Poonamalle-Avadi main road, 9.30 a.m.

Narcotics Anonymous: Meetings, Grace of the Millennium Group, CSI Zion Church, Chintadripet; and Reality Group, CSI Good Shepherd Church, Taramani 100 ft. Rd., Velachery, 7 p.m.

Al-Anon: Meetings, Meston College of Education, Royapettah; The Lady of the Light Church, Luz, Mylapore; Madipakkam Group, Moovarasampettai; Anmeega Asthivara Group, Tollgate; and CSI Church, Padikuppam Rd., Anna Nagar, 7 p.m.; Family Group, Alagumuthumariamman Thirukoil, Korrukupet; and Independence AFG, St. Mathias Church, K.K. Nagar, 7 p.m.

Alcoholics Anonymous: Meetings, Our Lady of Lourdese Church, Perambur, 6.30 p.m.; Meston College, Royapettah;; Risen Redeemers Church, United India Colony, Kodambakkam; Annai Velankanni Church, Besant Nagar; The Lady of the Light Church, Luz, Mylapore; St. Johns Catholic Church, Seniyamman Koil St., Thirumullaivayal; Purana Suvisesa Eluputhal Church, Santhipuram, Thirumullaivoyal; Glory Church, MMDA Colony, Arumbakkam; St. Joseph School,, 18th West Cross St., M.K.B. Nagar; Govt. Primary School, Govindaraj Nagar, Kattupakkam; Immanuel Church, Perumal Kovil St., Nerkundram, English Language Meeting, Teresa Church, Nungambakkam, 7 p.m.",chennai,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/cities/chennai/chennai-engagements-for-february-24-2020/article30895656.ece
6,2020/02/23,"DAV Matriculation, Gopalapuram alumni from batches 1996 to 2002 have a reunion","The alumni donated a token amount towards the development of the school

The 1996 to 2002 batches of DAV Matriculation, Gopalapuram had a reunion on February 16 at the Alumni Club - Anna University on Boat Club Road, R.A. Puram. This alumni meet was initiated by founder-principal Vasantha Krishnaswami.

For the alumni as well as the mentors, this day will be indelibly marked in their memory, as many of them shared anecdotes from their days at the school, dwelling on the ethos of DAV Gopalapuram, especially its emphasis on spiritual development through the weekly 'havan', a unique feature of DAV Gopalapuram.

The teachers expressed their pride over having played a role in the development of young individuals who have turned out to be high-flying professionals and service-minded members of society.

The alumni donated a token amount towards the development of the school, as an expression of their gratitude for it.

To quote a student, ""The best way to show gratitude to our roots is to bear strong seeds and serve as roots for much stronger trees.

(Ramaa Subramaniam is a retired principal of DAV Matriculation, Gopalapuram)",chennai,https://www.thehindu.com/education/schools/wft3kx/article30894731.ece/ALTERNATES/LANDSCAPE_615/23dcmyprDAVjpg,https://www.thehindu.com/news/cities/chennai/dav-matriculation-gopalapuram-alumni-from-batches-1996-to-2002-have-a-reunion/article30894732.ece
7,2020/02/23,Rally against child abuse held in Chennai,"Holding placards, children and elders walked for a few hundred metres as part of the rally

A rally against child abuse was held at Besant Nagar beach in Chennai on Sunday morning.

Holding placards carrying messages against child abuse, children and elders gathered near the police booth on the beach road around 6.30 a.m. They walked for a few hundred metres as part of the rally.

H. Jayalakshmi, Deputy Commissioner of Police, special wing for crimes against women and children, was the chief guest at the event.

She said that the police had zero tolerance towards crimes against children. “All angles of abuse and neglect are looked into. We employ the best practices from around the world in ensuring children-related crimes are handled with due care and diligence. Our All Women Police Stations have child counsellors and all police officers working there are trained consistently on handling sensitive crimes,” she said.

Social activist and politician Apsara Reddy, who organised the event, said that society needed to look at child abuse as a human rights issue.

Stating that it could happen in any home and there was no real profile of a perpetrator, she added that boys too were subjected to sexual abuse.

Members of FICCI FLO, Lions Club and transgender organisations took part in the rally.",chennai,https://www.thehindu.com/news/national/2z1noe/article28108359.ece/ALTERNATES/LANDSCAPE_615/child-abuse-representation,https://www.thehindu.com/news/cities/chennai/rally-against-child-abuse-held-in-chennai/article30894507.ece
8,2020/02/23,Craniofacial clinic opened for children at Kanchi Kamakoti CHILDS Trust Hospital,"Craniofacial disorders involve the head and face of the children, and they are affected with severe breathing difficulty, speech and vision problems.

To provide comprehensive care for children with craniofacial disorders, doctors of the Kanchi Kamakoti CHILDS Trust Hospital have started a Craniofacial Clinic.

Craniofacial disorders involve the head and face of the children, and they are affected with severe breathing difficulty, speech and vision problems.

“We have been performing surgeries for craniofacial disorders since 1991. This cannot be done by doctors of a single speciality. The children will need correction of the head, nose, teeth and eyes. Now, Doctors of various specialities including neurosurgery, dentistry, ENT, ophthalmology and anaesthesia have come together. We will see children individually throughout the week and later, plan the treatment,” S. Ramesh, head of department, Anaesthesiology, told reporters on Saturday.

B. Chidambaram, neurosurgeon, said earlier, they received 10 to 12 children with craniofacial disorders a year. “We see 50 to 60 children with the disorder per year. There are no definite reasons for the disorder but in some cases, it is genetic. The first thing is to restore normal brain growth and then normal facial growth. The face of these children will be small, so the air passages will be small and they would not be able to breathe properly,” he said.

Dr. Ramesh said how early the surgical correction is done is important. “Three months to nine months is the ideal time for surgery. One of our youngest patients was two-and-a-half-month old,” he said.

While a neurosurgeon corrects the skull deformity first to allow normal brain and skull development, midface advancement by internal or external distractors are done by a maxillofacial surgeon. Ophthalmic problems such as protrusion of eyeballs, squint and poor vision may also arise, while there could be problems of poorly developed upper jaw requiring intervention by specialists.

Doctors emphasised that the surgery for craniofacial disorders was not cosmetic but is reconstructive and needed to restore normalcy of brain and body growth.",chennai,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/cities/chennai/craniofacial-clinic-opened-for-children-at-kanchi-kamakoti-childs-trust-hospital/article30892411.ece
9,2020/02/23,Three murders reported in city in last 24 hours,"Body of 40-year-old with stab injuries found near banks of the Cooum, killer arrested.

Three murders were reported in the city in the last 24 hours.

On Friday evening, a 60-year-old man was murdered by a four-member gang at the Kasimedu wharf. According to police, the victim, Kuppan alias Sori Kuppan, of Indira Nagar, Kasimedu, was murdered by Aadu Ramesh, Sampath, Rakesh and Santosh. The police nabbed Aadu Ramesh, the main accused, and during interrogation he said the victim made derogatory comments about his wife, so he plotted the murder.

Dhanraj, 30 , an auto driver, was hacked to death by a gang in Krishnadas Nagar, Otteri. He was standing near his mother-in-law’s house when an eight-member gang riding on bikes surrounded and attacked him.

Neighbours rushed Dhanraj to the Government Stanley Hospital where he succumbed. Police suspect he was killed due to a dispute over selling liquor in the area.

At New Colony in Koyambedu, a 40-year-old man was found dead near the Cooum river with stab injuries. Police investigation revealed that the victim was Dhanasekar from Madurai.

Police apprehended Jayakumar, 21, a mason, under suspicion and during interrogation, he admitted that he committed the crime along with an associate.",chennai,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/cities/chennai/three-murders-reported-in-city-in-last-24-hours/article30892376.ece
