,Date,Title,Content,Category,Image_link,Article_link
0,2020/03/04,WhatsApp launches Dark Mode for both iPhone and Android,"The users would notice a special dark gray background and off-white colour that lowers the brightness of the screen, cuts down the glare and improves contrast and readability, the company said.

Facebook-owned WhatsApp on Tuesday announced to roll out the much-awaited ‘Dark Mode’ feature on both iPhone and Android devices globally.

‘Dark Mode’ is designed to reduce eye strain in low-light environments and prevent those awkward moments that happen when your phone lights up the room.







The feature is being rolled out with the latest version of WhatsApp.

The users would notice a special dark gray background and off-white colour that lowers the brightness of the screen, cuts down the glare and improves contrast and readability, the company said.

Also Read WhatsApp dark mode finally ready for some users

“When designing dark mode, we spent time researching and experimenting with a focus on two particular areas: readability and information hierarchy.

“When choosing colours, we wanted to minimise eye fatigue and use colours that are closer to the system defaults on iPhone and Android, respectively,” said WhatsApp.

“We also wanted to help users easily focus their attention on each screen. We did this by using colour and other design elements to make sure the most important information stands out,” it added.

Users on Android 10 and iOS 13 can use Dark Mode by enabling it in system settings.

Users on Android 9 and below versions can go into WhatsApp settings, then chats, theme and select ‘Dark’.",technology,https://www.thehindu.com/sci-tech/technology/internet/dkzoqm/article30500444.ece/ALTERNATES/LANDSCAPE_615/03NETWHATSAPP,https://www.thehindu.com/sci-tech/technology/whatsapp-launches-dark-mode-for-both-iphone-and-android/article30979102.ece
1,2020/03/04,Facebook tweaks Libra project amid pressure,"Several US senators have opposed Facebook’s digital coin, arguing that the social networking giant has been irresponsible with user data privacy.

Hit by regulators and political pressure, Facebook is reportedly planning to now offer digital versions of government-backed currencies, including the US dollar and the euro, apart from the cryptocurrency Libra.

According to a report in The Information on Tuesday, the social networking giant would also delay the roll out of its digital currency by several months.

Facebook Calibra wallet, originally slated to launch this summer, is now coming out in October, the report said.

The crypto wallet will also support other major currencies apart from Libra.

Facebook, however, denied the report that earlier stated that Calibra wallet will not offer Libra.

“Reporting that Facebook does not intend to offer the Libra currency in its Calibra wallet is entirely incorrect. Facebook remains fully committed to the project,” a Facebook spokesperson told The Verge.

Several US senators have opposed Facebook’s digital coin, arguing that the social networking giant has been irresponsible with user data privacy. They have even called the digital cryptocurrency Libra “delusional” and “dangerous”.

Facebook CEO Mark Zuckerberg testified before the Congress last October about Libra, defending the idea, but acknowledging the struggles left to overcome.

The Libra Association last year said that that over 1,500 entities indicated interest in joining the Libra project effort since the project was announced on June 18, 2019.

Also Read Facebook’s Libra cryptocurrency faces new hurdle from G7 nations

Facebook and 20 partner organisations formally joined the digital currency project during a meeting in Geneva in October.

However, the project courted controversies and telecom major Vodafone, which was one of the 21 organisations which signed onto the Libra Association charter in October, decided to exit the project.

Earlier, companies including PayPal, Mastercard, Visa, Mercado Pago, eBay, Stripe and Booking Holdings withdrew from the project.",technology,https://www.thehindu.com/sci-tech/technology/j70yvr/article30823445.ece/ALTERNATES/LANDSCAPE_615/FACEBOOK-PAID-POLITICAL-MEMES,https://www.thehindu.com/sci-tech/technology/facebook-tweaks-libra-project-amid-pressure/article30979046.ece
2,2020/03/04,"Top news of the day: India reports 28 coronavirus cases, all websites open for access on 2G speed in J&K, and more","The major news headlines of the day, and more.

With India reporting new cases of COVID-19 this week, the Union government and States have geared up to tackle the situation. A high-level meeting was chaired by Health Minister Harsh Vardhan and Prime Minister Narendra Modi has cancelled his Holi Milan event. The official confirmed cases in India as of today stands at 28. It includes 17 from Jaipur, 6 in Agra, 3 in Kerala and one each in Telangana and Delhi. Three patients from Kerala have recovered from the illness. Seventeen Indians have been infected with coronavirus abroad, the Ministry of External Affairs said. | Bye-bye handshakes: how COVID-19 is changing global habits | Explained: When can people transmit the novel coronavirus? | Day’s updates | Full coverage

14 Italian tourists and their Indian driver also test positive. | Watch: COVID-19 — Dos and don’ts from the Health Ministry

Telangana Health Department officials are gripped with anxiety as two out of 47 samples, in which viral load is reportedly high, are being sent to the National Institute of Virology (NIV), Pune, for further tests to confirm COVID-19.

South Korea has seen a rapid rise in infections in recent days. | Vietnamese song ‘Jealous Coronavirus’ created to spread awareness on COVID-19 goes viral | First COVID-19 case at European Union agency in Brussels

Ban on high-speed Internet extended till March 17.

Less than a week ago, the High Court adjourned to April 13 the hearing of petitions seeking immediate registration of FIRs against those who egged mobs on with their hate speeches. It had seemed to agree with the government that the “atmosphere was not conducive” for action.

Two Madhya Pradesh Ministers flew to New Delhi in the wee hours of the day and along with Congress MP Digvijaya Singh staged a political rescue of six MLAs supporting the Kamal Nath government reportedly lodged at a hotel in Manesar by the BJP, purportedly scripting their cross over in a bid to undermine the Congress regime. Another four MLAs, three from the Congress and an independent, had been flown to Bengaluru from New Delhi. Madhya Pradesh Congress media chief Shobha Oza said party leaders were in contact with them, and the situation was under control.

President Ram Nath Kovind rejects mercy petition of convict Pawan Kumar Gupta.

Special Court says the expelled BJP MLA had no intention of killing the person, but he was beaten so brutally that he died.

Revised launch date will be announced later. GISAT-1 is short for Geo-Imaging Satellite and is the first of two earth imagers planned in a geostationary orbit. | Chandrayaan-3 to be launched in first half of 2021: Govt

This is the second time the law is being amended in the past one year.

The DoT had sought ₹1.83 lakh crore from GAIL and ₹48,489 crore from OIL by including their revenues from oil and gas business in calculating dues for leasing out surplus bandwidth capacity to third parties.

Joshi replaces MSK Prasad, Harvinder replaces Gagan Khoda; the existing members of the selection panel are Jatin Paranjpe, Devang Gandhi and Sarandeep Singh.",news,https://www.thehindu.com/news/pv1rrk/article30982813.ece/ALTERNATES/LANDSCAPE_615/INDIAVIRUSOUTBREAK,https://www.thehindu.com/news/top-news-of-march-4-2020-india-reports-28-coronavirus-cases-all-websites-open-for-access-on-2g-speed-in-jk-and-more/article30982814.ece
3,2020/03/04,"Morning Digest: World Bank, IMF to hold ‘virtual’ meetings due to COVID-19 outbreak; resurgent Biden set to win Virginia on Super Tuesday, and more","A select list of stories to read before you start your day

In an unprecedented and rare move, the Geneva-based Office of the High Commissioner for Human Rights (OHCHR) has announced that it plans to file an application in the Indian Supreme Court, asking to be impleaded in the petitions challenging the Citizenship (Amendment) Act (CAA).

Even as the world is grappling to contain the epidemic, with more than 3,000 deaths and over 90,000 cases across 76 countries, senior scientists at Australia’s national science agency, the Commonwealth Scientific and Industrial Research Organisation (CSIRO), have said the virus is mutating.

A man and his daughter were arrested on Tuesday from Pulwama’s Hakripora village for allegedly sheltering the suicide bomber who attacked a CRPF convoy last year in Pulwama leaving 40 jawans dead. Their house was used to shoot the last video by the Jaish-e-Muhammad (JeM).

“Given health considerations related to the virus, and increasing uncertainties relating to travel, the Management of the World Bank Group and IMF together have agreed to adapt the 2020 World Bank Group-IMF Spring Meetings to a virtual format,” said World Bank President David Malpass.

“Cisco denies reports from India regarding Cisco involvement in restricting access to social media websites. Cisco strongly supports free expression and open communication on the Internet, and our policies and practices are well-established in this area,” a Cisco spokesperson said.

A resurgent Biden, former President Barack Obama's vice president, has enjoyed a burst of momentum since his blowout win in South Carolina on Saturday, with a flood of prominent party officials and former rivals endorsing his candidacy.

Black carbon concentrations near the Gangotri glacier rose 400 times in summer due to forest fires and stubble burning from agricultural waste, and triggered glacial melt, says a study by scientists at the Wadia Institute of Himalayan Geology (WIHG).

The Central government is working on the establishment of an exclusive body to implement projects for linking rivers.

To be called the National Interlinking of Rivers Authority (NIRA), the proposed body is expected to take up both inter-State and intra-State projects. It will also make arrangements for generating up funds, internally and externally.

“We had a very good conversation with the leader of the Taliban today, and they’re looking to get this ended, and we’re looking to get it ended. I think we all have a very common interest,” Mr. Trump said.

In a unanimous decision, the Fed’s policy-setting committee cut its key interest rate by a half point to a range of 1.0-1.25. The large cut taken just 15 days before the upcoming policy meeting, reflected growing concerns that the spreading virus will affect the U.S. and global economies.

In the Budget 2020-21, the Tourism Ministry has seen a reduction in allocation of funds due to “broad budgetary cuts imposed by the Finance Ministry”, and has been allocated ₹2,499.83 crore as against its projected demand of ₹2,647.25 crore, leading to a ₹147.42 crore- shortfall.

In New Zealand, India was swept aside 0-2 without any fight. In conditions where the ball swung, seamed and bounced, the Indian batting, lacking footwork, unsure of the off-stump, and undone by short-pitched bowling, stood totally exposed.

A close study of the Athletics Federation of India's entry standards for this year's National championships throws up an interesting picture. The federation has raised the bar in five men’s events. It has pushed up the standard in just the discus throw for women.",news,https://www.thehindu.com/news/international/m4bzw7/article30976184.ece/ALTERNATES/LANDSCAPE_615/HEALTH-CORONAVIRUSIMF-WORLDBANK,https://www.thehindu.com/news/morning-digest-march-04-2020/article30978449.ece
4,2020/03/04,COVID-19 | Italy closes schools as death toll hits 107,"The nation of 60 million people has now recorded over 3,000 cases and only trails China in terms of total fatalities

Italy on Wednesday closed all schools and universities until March 15 as the number of deaths from COVID-19 in the Mediterranean country hit 107.

The measure is the most restrictive response to COVID-19 of any European nation and tougher than the closure of schools — but not universities — taken by fellow Group of Seven (G7) member Japan.

Italy reported 28 more deaths on Wednesday, the highest single day total to date. The nation of 60 million people has now recorded over 3,000 cases and only trails China in terms of total fatalities.

Other measures discussed by top ministers and reported by Italian media include what promises to be an unpopular plan to play all football matches without fans for a month.

Italy has borne the brunt in Europe of a disease that is now spreading across the world faster than it is in the central Chinese region where it was first detected late last year.

The problem for the Italian government is that existing restrictions — including a quarantine of 11 towns with 50,000 people in the north — have failed to stop the outbreak.

The overwhelming majority of the fatalities have occurred in Milan's Lombardy region and the neighbouring northern area around the cities of Bologna and Venice.

But 21 of the 22 regions have now had cases and infections are slowly reaching Italy's less wealthy and developed south.

The government reported the first death south of Rome on Wednesday. It came in the Puglia region that surrounds the city of Bari in the heel of the Italian boot on the map.

Top government minister spent hours huddling Wednesday to chart a way out of a health crisis that threatens to tip Italy's wheezing economy into recession and overwhelm hospitals.

Most of the steps being considered involve ways to avoid crowds and keep people from coming in contact with each other outdoors.

Crowd control

Media reports said people will be advised to stay at least a metre (three feet) apart and to avoid crowded places whenever possible.

The traditional greetings of kissing on the cheeks or shaking hands are strongly discouraged.

Exhibits and shows are set to be rescheduled — a measure that will be especially painful for Italy's already hard-hit hotel and restaurant industry.

Some of the government's more mundane and common-sense measures include instructions to cough and sneeze in a handkerchief to avoid hands coming in contact with “respiratory secretions”.

Italians will also be urged to avoid sharing bottles and not to drink from the same cups and glasses.

The crowd-control measures will most directly affect football matches and could cause the most resentment in the sports-mad nation.

Italy's Serie A has already been thrown into disarray by two weeks of postponements that have seen some clubs not play at all and others play multiple matches in a week.

Fans will even be prohibited from attending the training sessions of top teams such as Cristiano Ronaldo's Juventus in Turin.

The government will also recommend to those over 75 to stay indoors and to avoid public places. The advice extends to those who are at least 65 and suffer from other ailments.

A top civil protection official told AFP that most of those who have died in the past few days were in their 80s and 90s and were already suffering from other pathologies.

All these measures are meant to stay in place for a month and be reviewed and possibly fine-tuned after two weeks.",international,https://www.thehindu.com/news/international/mi2lmu/article30985057.ece/ALTERNATES/LANDSCAPE_615/ITALYVIRUSOUTBREAK,https://www.thehindu.com/news/international/covid-19-italy-closes-schools-as-death-toll-hits-107/article30985059.ece
5,2020/03/04,One killed in clashes on Greece-Turkey border,"Stun grenades fired at migrants

Greek authorities fired tear gas and stun grenades on Wednesday morning to repulse a push by migrants to cross its land border from Turkey, as pressure continued along its frontier after Turkey said its own border with Europe was open to whoever wanted to cross.

Turkish authorities said one person was killed and five were wounded by fire coming from the Greek side — an assertion the Greek government strongly rejected as “fake news.”

The clashes were near the border village of Kastanies, along a border fence that covers much of the frontier not demarcated by the Evros river.

Turkey made good on a threat to open its borders and send migrants into Europe last week. Turkish President Recep Tayyip Erdogan’s action triggered days of violent clashes at the land border, where thousands of migrants and refugees have gathered.

Meanwhile, the European Union said will not give in to “blackmail” by Turkey and borders will remain closed to migrants despite Ankara’s threat to let them pass, France’s Foreign Minister Jean-Yves Le Drian said on Wednesday.

“The borders of Greece and the Schengen Area are closed, and we will ensure they stay closed” despite attempts to enter by thousands of migrants who have massed on Turkey’s frontier, Le Drian told Senators.",international,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/news/international/one-killed-in-clashes-on-greece-turkey-border/article30984500.ece
6,2020/03/04,Joe Biden wins 9 States in Super Tuesday race; Bloomberg drops out,"Bernie Sanders vows to continue the fight for candidacy; Mr. Bloomberg endorses Biden

Super Tuesday, when fourteen American States voted in the Democratic primaries, was a watershed moment in former Vice-President Joseph R. Biden Jr.’s quest for the nomination, as he surpassed his progressive rival, Bernie Sanders by winning strongly in the south.

Also read | Biden sweeps South Carolina primary

The crowded democratic field has now been reshaped into a Biden vs. Sanders contest, and battle of identity for the Democratic party — between its centrist or moderate wing represented by the former Vice-President and its progressive wing led by the independent Senator from Vermont, Mr. Sanders.

Also read | Scripting an audacity of hope, the Sanders way

Tuesday, however, went to Mr. Biden, who won nine of the 14 States in contest. Buoyed by a win in South Carolina on Saturday and with endorsements from other Democrats, including Pete Buttigieg and Amy Klobuchar, who dropped out of the race in the last few days, Mr. Biden had won at least 418 delegates (so far) to the nominating convention, relative to Mr. Sanders’s count of 367 delegates.

Mr. Biden had a surprise win in Texas, the State with second most number of delegates, which Mr. Sanders was leading in, according to opinion polls before Super Tuesday. He also won Virginia, and North Carolina.

California, which has the most number of delegates (415), is expected to be won by Mr. Sanders, although by a narrower margin than first expected. Mr. Sanders has won 72 delegates relative to Mr. Biden’s 21, with just under 80% reporting, as per the Associated Press.

“You cannot beat Trump with the same old, same old kind of politics,” Mr. Sanders said to a crowd in Vermont on Tuesday. “ What we need is a new politics that brings working class people into our political movement, which brings young people into our political movement…”

Mr. Biden had a surprise win in Texas, the second largest prize on Tuesday, a state where Mr. Sanders had been in the lead.

It was a disastrous night for progressive candidate, Senator Elizabeth Warren, who came in third in her home state of Massachusetts, which was won by Mr. Biden. Mr. Sanders came in second place. Mr. Sanders narrowly lost Massachusetts to Hilary Clinton in the 2016 primary; Ms. Clinton won the State by a large margin in the general election against U.S. President Donald Trump.

Progressive votes had thus far been split between Ms. Warren, who has won a total of 36 delegates and Mr. Sanders, with some criticising Ms. Warren for not dropping out of the race before Super Tuesday in order to consolidate support for Mr. Sanders, who was way ahead of her. Ms. warren performed poorly among black voters across States — and had a mediocre performance — just 33% among her core group, college-educated white women in Massachusetts, as per the New York Times.

Bloomberg exits race

Former New York Mayor, billionaire Michael Bloomberg, who had spent more than $687 million on his campaign so far (and about $ 550 million on ads), performed very poorly on Tuesday and decided to suspend his campaign, endorsing Mr. Biden. Mr. Bloomberg won 12 delegates on Tuesday as per some projections, winning American Samoa, but losing States like Virginia and North Carolina to his closest competitor, Mr. Biden.

“I’ve always believed that defeating Donald Trump starts with uniting behind the candidate with the best shot to do it. After yesterday’s vote, it is clear that candidate is my friend and a great American, Joe Biden,” Mr. Bloomberg said in a statement.

Financial assistance from Mr. Bloomberg could provide a game-changing boost for Mr. Biden’s campaign, something Mr. Biden hinted on Wednesday morning.

“This race is bigger than candidates and bigger than politics. It’s about defeating Donald Trump, and with your help, we’re gonna do it,” Mr. Biden said in a tweet.",international,https://www.thehindu.com/news/international/o7o2tx/article30984395.ece/ALTERNATES/LANDSCAPE_615/thjc-poll,https://www.thehindu.com/news/international/joe-biden-wins-9-states-in-super-tuesday-race/article30984396.ece
7,2020/03/04,"U.S. launches strikes on Taliban, calls for halt to ‘needless attacks’","The militant group had mounted attacks on Afghan forces

The United States on Wednesday carried out its first air strike on Taliban fighters in Afghanistan since the two sides signed a troop withdrawal agreement on Saturday.

A U.S. forces spokesman confirmed the incident in southern Helmand province, hours after President Donald Trump spoke by phone with chief Taliban negotiator Mullah Baradar Akhund on Tuesday, the first known conversation between a U.S. leader and a top Taliban official.

Also read | A big, bad deal: On U.S.-Taliban agreement

The Taliban fighters “were actively attacking an (Afghan National Security Forces) checkpoint. This was a defensive strike to disrupt the attack,” said Colonel Sonny Leggett, a spokesman for the U.S. Forces in Afghanistan in a tweet.

He said Washington was committed to peace but would defend Afghan forces if needed. “Taliban leadership promised the (international) community they would reduce violence and not increase attacks. We call on the Taliban to stop needless attacks and uphold their commitments,” he said.

The strike was the first by the U.S. against the Taliban in 11 days, when a violence reduction deal had begun between the sides in the lead up to Saturday’s pact.

The Taliban had decided on Monday to resume normal operations against Afghan forces, though sources have said they will continue to hold back on attacks on foreign forces.

The Taliban has declined to confirm or deny responsibility for any of the attacks. Taliban spokesman Suhail Shaheen said in a Tweet that ”according to the plan (the Taliban) is implementing all parts of the agreement one after another in order to keep the fighting reduced.”

Also read | Who won the Afghan war?

A Taliban senior commander in Helmand who declined to be named said that a drone had targeted their position.

“As far as I know we didn’t suffer any human losses but we are working on it and sent our team to the area,” he told Reuters, adding that the group’s senior leadership in Afghanistan had called an emergency meeting to discuss what he described as a “major violation” of the agreement.

“THINGS COULD SPIRAL”

Experts said the public agreement was vague on details around ongoing violence in the country, but that the air strike and comments from U.S. officials suggested the United States had a plan to ensure reduced violence against Afghan forces and civilians.

“It is significant. I don’t think it signals the collapse of the whole U.S.-Taliban agreement...(but) you can easily see how things could spiral,” said Andrew Watkins, a senior analyst covering Afghanistan at International Crisis Group.

A spokesman for Helmand’s provincial governor said the Taliban had attacked a security checkpoint in Washer district - a different district to the one in which the U.S. carried out its air strike - on Tuesday evening, killing two police officers.

An Interior Ministry spokesman, Nasrat Rahimi, said the Taliban had conducted 30 attacks in last 24 hours, killing four civilians and 11 security personnel. Seventeen militants were also killed, he said.

The weekend agreement envisages a full withdrawal of all U.S. and coalition forces within 14 months, dependent on security guarantees by the Taliban, but faces a number of hurdles as the United States tries to shepherd the Taliban and Afghan government towards talks.",international,https://www.thehindu.com/news/international/hd1cy2/article30984281.ece/ALTERNATES/LANDSCAPE_615/thjc-Afghan,https://www.thehindu.com/news/international/us-launches-strikes-on-taliban-calls-for-halt-to-needless-attacks/article30984282.ece
8,2020/03/04,Malaysia police questions Mahathir’s daughter over protest,"Several peaceful protests, with crowds of no more than a few hundred people, took place in Kuala Lumpur following the weekend decision to appoint Muhyiddin Yassin as the Prime Minister

Malaysian police questioned ex-premier Mahathir Mohamad's daughter and 18 other activists on Wednesday over several small, peaceful protests triggered by the elderly leader losing power and a corruption-tainted party's return.

The reformist “Pact of Hope” alliance, which took power in a historic victory two years ago, collapsed last week and 94-year-old Prime Minister Mahathir resigned. He then sought to return as premier but unexpectedly lost out to Muhyiddin Yassin, who is backed by the scandal-mired United Malays National Organisation (UMNO), which had been ousted in 2018.

Several peaceful protests, with crowds of no more than a few hundred people, took place in Kuala Lumpur following the weekend decision to appoint Mr. Muhyiddin Prime Minister. But under Malaysian law, it is illegal to hold a protest without first getting police permission, and on Wednesday a group of activists who took part were called in for questioning.

Mr. Mahathir’s daughter, Marina, participated in a rally on Sunday. “The new government has only been in two days and all this is happening,” Ms. Marina said.

“This reminds us of more than two years ago, when so many of us had to undergo this,” the 62-year-old, who is a leading women's campaigner activist, told AFP.

Activist Fadiah Nadwa Fikri, who was questioned for taking part in two protests, added: “We experienced this before and now we're seeing the same thing unfolding.”

The long-ruling UMNO-led regime ejected from power in 2018 was frequently accused of using heavy-handed tactics to curb free speech and the right to protest.

Mr. Mahathir's alliance, which included leader-in-waiting Anwar Ibrahim, sought to reform draconian laws, but made only small steps during its two years in office.

His allies have challenged Mr. Muhyiddin's legitimacy, saying he did not win an election and does not have majority support from MPs, which is necessary to become premier.

Mr. Mahathir wants to bring a vote of no-confidence in Mr. Muhyiddin's leadership when parliament sits again. But his plan suffered a blow Wednesday when the legislature's return was delayed from March 9 to May 18.",international,https://www.thehindu.com/news/international/avfg18/article30984058.ece/ALTERNATES/LANDSCAPE_615/thjc-Mahathir,https://www.thehindu.com/news/international/malaysia-police-questions-mahathirs-daughter-over-protest/article30984059.ece
9,2020/03/04,15 new deaths in Iran raises toll to 107,"Iran on Thursday reported 15 new deaths from the novel coronavirus, raising the national toll to 107, and said it would keep schools and universities closed until early April.

But the number of the dead could be higher, according to a tally reported by state news agency IRNA.

Data gathered by the agency from medical universities across Iran as of Wednesday night show at least 126 have died, as it lists the toll in Tehran and Gilan -- two of the worst-hit provinces -- as “unknown”.

Also read | Virus kills member of council advising Iran’s Supreme Leader

Iran has already suspended major cultural and sporting events and reduced working hours across the country, which is one of the worst hit after China.

“Schools and universities will be closed until the end” of the current Iranian year, Health Minister Saeed Namaki said in a televised press conference.

The Iranian year ends on March 19 and national holidays then last until early April.

“People should not consider this as an opportunity to go travelling,” the minister said. “They should stay home and take our warnings seriously.

“This virus is highly contagious. It is a serious matter, do not joke about it.”

The Islamic republic also reported 591 additional confirmed cases of the COVID-19 illness, bringing the total to 3,513 infected.

“Until today, samples have been taken of 23,327 suspected cases, only 3,513 of which have been confirmed,” said ministry spokesman Kianoush Jahanpour.

Also read | Passengers from Italy, Iran too will be screened, says DGCA

According to Jahanpour, Tehran province is the worst-hit with 1,352 confirmed cases, followed by Qom with 386, Gilan with 333 and Esfahan with 238.

The Shiite holy city of Qom, south of Tehran, is the epicentre of Iran's coronavirus outbreak and where its first deaths were reported on February 19.

Authorities have since scrambled to halt its rapid spread.

“But there is some good news, of the increasing rate of recovery,” Jahanpour said, noting that 739 of the confirmed cases had made recoveries.

Also read | Explained: When can people transmit the novel coronavirus?

According to Jahanpour, Tehran province is the worst-hit with 1,352 confirmed cases, followed by Qom with 386, Gilan with 333 and Esfahan with 238.

The Shiite holy city of Qom, south of Tehran, is the epicentre of Iran's coronavirus outbreak and where its first deaths were reported on February 19.

Authorities have since scrambled to halt its rapid spread.

“But there is some good news, of the increasing rate of recovery,” Jahanpour said, noting that 739 of the confirmed cases had made recoveries.",international,https://www.thehindu.com/news/international/dkt4mr/article30983900.ece/ALTERNATES/LANDSCAPE_615/thjc-Hassan-Rouhani,https://www.thehindu.com/news/international/15-more-covid-19-deaths-in-iran-raises-toll-to-92/article30983901.ece
