,Date,Title,Content,Category,Image_link,Article_link
0,2020/10/16,Wimbledon set to return in 2021,"Wimbledon is set to go ahead next year even if the Grand Slam tournament has to be staged behind closed doors, organisers announced on Friday.

The grasscourt championships were cancelled this year for the first time since World War II because of the coronavirus pandemic.

The All England Club is planning for several scenarios in 2021 — a full-capacity Wimbledon, reduced numbers of fans or holding the tournament with no spectators present.

“Staging the championships in 2021 is our number-one priority and we are actively engaged in scenario-planning in order to deliver on that priority,” said chief executive Sally Bolton.

Wimbledon’s statement read: “Our overriding priority will continue to be the health and safety of all of our stakeholders, in particular our guests, our staff, and our competitors.

“We are working closely with relevant government and public health authorities, alongside the rest of the sports industry, to understand the varying challenges and opportunities presented by the ongoing coronavirus pandemic.”

The 134th championships will be staged from June 28 to July 11, 2021.",,https://www.thehindu.com/sport/tennis/xxauzo/article32876039.ece/ALTERNATES/LANDSCAPE_615/TH17WIMBLEDON1,https://www.thehindu.com/sport/tennis/wimbledon-set-to-return-in-2021/article32876040.ece
1,2020/10/16,"Wimbledon plans return in 2021, with or without fans","The tournament, cancelled this year for the first time since 1945, is scheduled to run next year from June 28-July 11.

The Wimbledon tennis tournament is planning its comeback in 2021.

Wimbledon was the only Grand Slam tournament cancelled this year because of the coronavirus pandemic, but the All England Club announced plans on Friday for its return next year.

Staging The Championships in 2021 is our number one priority and we are actively engaged in scenario planning in order to deliver on that priority, All England Club chief executive Sally Bolton said.

The tournament, cancelled this year for the first time since 1945, is scheduled to run next year from June 28-July 11. It could be held at full capacity, reduced capacity or without fans, the club said.

All of the options are dependent on the status of government and public health guidelines, the club said.

The U.S. Open and French Open were held this year but with strict protocols to reduce the possibility of spreading the virus. No fans were allowed at Flushing Meadows, while Roland Garros was limited to 1,000 fans per day.

Our overriding priority will continue to be the health and safety of all of our stakeholders, in particular our guests, our staff, and our competitors, the All England Club said.

We are working closely with the relevant government and public health authorities, alongside the rest of the sports industry, to understand the varying challenges and opportunities presented by the ongoing coronavirus pandemic.

The Australian Open was held this year before the coronavirus pandemic spread around the world, but the 2021 tournament could be affected. Next year’s tournament at Melbourne Park is scheduled to run from January 18-31.

Australian Open chief executive Craig Tiley has said he wants international tennis players arriving for the tournament to be exempt from the 14-day hotel quarantines that are mandatory for inbound travelers.",,https://www.thehindu.com/sport/tennis/44rrv7/article32046853.ece/ALTERNATES/LANDSCAPE_615/TH11WIMBLEDON,https://www.thehindu.com/sport/tennis/wimbledon-plans-return-in-2021-with-or-without-fans/article32873521.ece
2,2020/10/16,Google to migrate users from Hangouts to Chat in 2021,"The search giant’s Chat service will be available for free, and integrated within Gmail.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Google will begin migrating Hangouts users to Chat in the first half of 2021. Users’ conversations, contacts and saved history in Hangouts will be moved to Chat.

The search giant’s Chat service will be available for free, and integrated within Gmail. It will also function as a standalone app.

Chat includes features similar to Hangouts such as direct and group messaging. Additionally, it will have ‘send to inbox’, faster search, emoji reactions, and suggested replies options.

“With Chat, you can more easily plan with others on goals and similar interests, share and collaborate on files, and assign tasks to help keep everyone on the same page,” Google said in a blog post.

Chat features the same phishing protections as Gmail, so if a link is sent via Chat, it will be checked against real-time data from Safe Browsing and flagged if it’s found to be malicious, it added.

Google said it has seen more users shift away from using Hangouts to manage their texting and calling needs, so it is doing away with Fi support (Google’s carrier service in the US) in Hangouts. It will move users to Google Messages app on Fi.

The search engine giant will enable its users to make voice calls and check voicemail from Messages for web, manage conversations from Messages across devices, and migrate their existing Hangouts conversations.

Similarly, for Voice users, it will direct Hangout Voice users to the Voice app and remove Voice support in Hangouts early next year.

Additionally, due to new telecommunications regulations in the EU and U.S. beginning in 2021, Google will remove the call phones feature in Hangouts. In November, the company will update the group video calling experience in Hangouts with Meet.",,https://www.thehindu.com/sci-tech/technology/qniviv/article32873896.ece/ALTERNATES/LANDSCAPE_615/Google-hangoutsjpg,https://www.thehindu.com/sci-tech/technology/google-to-migrate-users-from-hangouts-to-chat-in-2021/article32873819.ece
3,2020/10/16,Find the song by humming it to Google Assistant,"The search giant’s machine learning algorithm helps find potential song matches after the user finishes humming.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Ever experienced that moment when knew the song, but couldn’t say it. Well, Google is adding a new feature that will help you find a song just by humming, whistling or singing a melody.

On Google Assistant, just say: “Hey Google, what’s this song?”, and then hum the tune. Google will help find it in about 10-15 seconds. This feature is currently available in English on iOS, and in more than 20 languages on Android.

The search giant’s machine learning algorithm helps find potential song matches after the user finishes humming.

“Don’t worry, you don’t need perfect pitch to use this feature,” Google said in a blog post.

Based on the tune, it will show the most likely option, and users can select the best match, view any accompanying music videos or listen to the song on music apps.

Apart from this, the California-based company has also updated its search algorithm to refine results for users. The company says that 1 in 10 search queries are misspelt. So, it is introducing a new spelling algorithm that helps understand context of misspelt words to show the right results.

Google has also expanded its use of AI in search. It will now allow users to search within a video. It is using computer and speech recognition to automatically identify key moments in the videos. The technology tags those moments in the video to navigate them like chapters in a book. For instance, finding a step in a recipe video or a home run in highlights reel.

Another new feature is the introduction of various data sources directly to Google Search. Datasets which were previously available as part of Open Data Commons can now be accessed through Google search. If a user asks a question like “how many people work in Chicago,” Google will provide stats in a visual format. It will also give other relevant data points and context—like stats for other cities.

New ways to learn and shop with AR

As part of its SearchOn event, Google announced new ways to use its Lens and augmented reality (AR) features.

Lens allows people to search everything using the camera with an ability to recognise 15 billion things. Additionally, it can translate more than 100 languages and can pronounce sentences out loud. With lens, users can now get step-by-step homework help on math, chemistry, biology and physics problems.

For users who use Google to shop, the company has added a feature that will find the exact or similar items for the image that the user has tapped on, and suggest ways to style it.",,https://www.thehindu.com/sci-tech/technology/cp3hap/article32873590.ece/ALTERNATES/LANDSCAPE_615/finding-songpng,https://www.thehindu.com/sci-tech/technology/find-the-song-by-humming-it-to-google-assistant/article32873583.ece
4,2020/10/16,"OnePlus launches its flagship OnePlus 8T, starting at ₹42,999","The smartphone is available in 2 colours — Aquamarine Green and Lunar Silver. It comes in 128 GB and 256 GB storage variants. Pricing starts at ₹42,999.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Chinese handset maker OnePlus launched on Wednesday its flagship OnePlus 8T smartphone.

The device includes a twin-battery technology with 4,500 mAh capacity, and comes with warp charge 65 charging solution, which helps the phone get a full-recharge in just 39 minutes.

The OnePlus 8T is equipped with 12 temperature sensors, along with an extra encryption chip in the adapter and cable, to charge safely and at comfortable temperatures.

The smartphone has a 120 Hz fluid AMOLED display, and is said to have the highest colour accuracy in the industry. It also enables seamless scrolling owing to its low-response latency. Powered by Qualcomm Snapdragon 865 5G Mobile, OnePlus 8T comes with up to 256 GB of UFS 3.1 flash storage, to deliver 4K video capture and playback with reduced battery drain.

OnePlus introduced the Video Portrait mode to produce clips effects based on artificial intelligence (AI), accurately detecting and analysing human subjects and blurring the background. The camera system includes a 48MP main camera and a 16MP ultra-wide lens.

The smartphone is available in 2 colours — Aquamarine Green and Lunar Silver. It comes in 128 GB and 256 GB storage variants. Pricing starts at ₹42,999.

OnePlus also introduced the OnePlus Buds Z, the wireless earphones powered by Dolby Atmos 3D stereo and Bluetooth 5.0. It is said to provide 20 hours of playback time, and is available in white and gray variants. Pricing starts at ₹2,990.",,https://www.thehindu.com/incoming/djtfan/article32871925.ece/ALTERNATES/LANDSCAPE_615/op8t-spl-arrjpg,https://www.thehindu.com/sci-tech/technology/oneplus-launches-its-flagship-oneplus-8t-starting-at-42999/article32872011.ece
5,2020/10/16,Microsoft Edge adds instant video calling feature to its browser,"The video-calling tool will allow users to start video chat by simply clicking on ‘Meet Now’ on the new tab page.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Microsoft has added new features like a quick video call feature, a new tool for screenshot and built-in price comparisons to its Edge browser, without adding extensions.

The video-calling tool will allow users to start video chat by simply clicking on ‘Meet Now’ on the new tab page. Users can create a link and share with up to 50 people who can join for free without signing up or downloading any app.

“Meet Now lets you share screens, chat with others and record sessions that last as long as you like,” Microsoft said in a blog post.

The feature will appear in Edge this month, and will be available in Outlook on the web and the Windows 10 taskbar in the coming weeks.

Microsoft has added a new way to capture online content without the need of a separate screenshot tool. With the selection tool, users can screen-grab what they need from a web page. They can drag towards the bottom of the screen, and Edge will automatically scroll down to capture a long image and share with others for future reference.

The company is also rolling out a price comparison feature that lets users compare prices of a product across retailers with a single click.",,https://www.thehindu.com/sci-tech/technology/glzj01/article32870423.ece/ALTERNATES/LANDSCAPE_615/microsoft-edgejpg,https://www.thehindu.com/sci-tech/technology/microsoft-edge-adds-instant-video-calling-feature-to-its-browser/article32870385.ece
6,2020/10/16,U.S. tech mogul Robert Brockman charged in biggest U.S. tax evasion scheme,"U.S. Attorney David Anderson said Brockman was also charged in a securities fraud scheme, after he bought and sold debt securities in his own company, “breaking a promise to investors that he would not buy or sell his own company's debt.”

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

U.S technology executive Robert Brockman has been charged in the biggest tax evasion case in U.S. history after fellow billionaire Robert Smith turned against him to avoid prosecution himself, the Justice Department said on Thursday.

Brockman, the 79-year-old chief executive of Ohio-based Reynolds and Reynolds Co, hid $2 billion in income from the Internal Revenue Service over two decades, using a web of off-shore companies in Bermuda and St. Kitts and Nevis, according to an indictment unsealed on Thursday.

Reynolds and Reynolds provides software used by auto dealerships to help manage their business.

The indictment alleges Brockman appointed nominees to manage the off-shore entities for him as a means of hiding his involvement, saying he even went so far as to establish a proprietary encrypted email system and use code words such as ”Permit,” “Red fish” and “Snapper” to communicate.

At a press conference in San Francisco, U.S. Attorney David Anderson said Brockman was also charged in a securities fraud scheme, after he bought and sold debt securities in his own company, “breaking a promise to investors that he would not buy or sell his own company's debt.”

The debt was purchased thanks to inside information Brockman possessed, Anderson added.

He faces seven counts of tax evasion, six counts of failing to file reports disclosing foreign bank accounts, and numerous other counts including wire fraud, money laundering and evidence tampering.

Mr. Brockman has pled not guilty, and we look forward to defending him against these charges,” Brockman's attorney Kathryn Keneally said in an emailed statement.

A spokesman for Smith could not be reached immediately for comment.

Anderson said Smith, who helped secure the charges against Brockman and famously announced at last year's Morehouse College commencement that he would pay off the college debt of 2019 graduates, accepted responsibility for his own crimes in the tax evasion scheme.

Brockman and Smith have a business relationship dating back to the late 1990s, according to documents filed in connection with Smith's non-prosecution agreement.

Brockman, who is referred to as “Individual A,” became an investor in Smith's private equity fund in 2000, first with a $300 million commitment, and later increasing it to $1 billion.

As part of his non-prosecution agreement, Smith admitted to using a nominee trustee and corporate manager to hide his control in four off-shore companies. Some of his untaxed income was used to buy a vacation home in Sonoma, California, and ski properties in the Alps, and to fund charitable causes, Anderson said.

He will pay $139 million in taxes and penalties, and will abandon a $182 protective refund claim and pay interest as part of the deal. ”Although Smith willfully and knowingly violated the law, Smith has accepted responsibility and agreed to provide complete and truthful cooperation,” Anderson said.

Smith founded private equity firm Vista Equity Partners and he is listed by Forbes as being the nation's wealthiest Black investor.",,https://www.thehindu.com/incoming/umhh4z/article32870014.ece/ALTERNATES/LANDSCAPE_615/irs-reutersjpg,https://www.thehindu.com/sci-tech/technology/us-tech-mogul-robert-brockman-charged-in-biggest-us-tax-evasion-scheme/article32869998.ece
7,2020/10/16,Apple supplier Foxconn aims to supply to 10% of global EVs,"Foxconn is planning to launch its first solid-state battery for EVs in 2024, which is a high-capacity energy storage device that improves on current batteries.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Foxconn aims to provide components or services for 10% of the world's electric vehicles (EVs) by between 2025 and 2027, and has been in talks with multiple car manufacturers for future cooperation, Chairman Liu Young-way said on Friday.

The Taiwanese contract manufacturer, formally called Hon Hai Precision Industry Co Ltd and a major supplier to Apple Inc , is looking at fresh growth from sectors such as electric vehicles, digital health and robots in a drive to diversify its global investments.

Automaker Fiat Chrysler said in January it planned to set up a joint venture with Foxconn to build electric cars and develop internet-connected vehicles in China.

“We want to push Taiwan's EV industry to the world,” Liu said in Taipei on Friday.

“Hon Hai has to ready our open platform as soon as possible. We need to move fast to grab market share,” he said, referring to Foxconn's pledge to build an “open platform” to make key EV components including battery and car internet services to car makers.

Also read | Musk says Tesla to use new batteries, tech in Model Y; flags production risk

Foxconn, which has said it will not manufacture the cars, will make key components for EVs and work with global major auto makers to reach the 10% goal, Liu added, representing around three million vehicles.

The company has been in talks with multiple automobile manufacturers, he said, but declined to provide details citing ”ongoing talks”.

However, progress in these talks has been “relatively good”, Liu added, and declined to give a revenue target for its new EV business.

Also read | Mercedes’ EVs to be powered by solid-state batteries. What are these batteries?

Foxconn is planning to launch its first solid-state battery for EVs in 2024, which is a high-capacity energy storage device that improves on current batteries, he said.

Foxconn's Taipei-listed shares closed up 0.6% on Friday, outperforming the broad market, which ended 0.6% weaker.",,https://www.thehindu.com/sci-tech/technology/dt8jeg/article32869516.ece/ALTERNATES/LANDSCAPE_615/Foxconn,https://www.thehindu.com/sci-tech/technology/apple-supplier-foxconn-aims-to-supply-to-10-of-global-evs/article32869507.ece
8,2020/10/16,Facebook's Libra cryptocurrency taps ex-HSBC exec as CFO of payments unit,"Jenkins is 3rd ex-HSBC executive tapped by Libra, following the appointment of HSBC European head James Emmett and HSBC’s former chief legal officer Stuart Levey, earlier in September.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Another former HSBC executive is heading to the Facebook-backed Libra cryptocurrency project, joining as chief financial officer of a unit tasked with managing the planned digital currency's payments system.

The Geneva-based Libra Association, which plans to issue and govern the Libra cryptocurrency, said in a statement it has appointed Ian Jenkins as CFO and chief risk officer of Libra Networks.

Jenkins is HSBC's former business finance head and group general manager, the association said. He has also previously worked at Credit Suisse and Santander.

Financial leaders of the world's seven biggest economies said on Tuesday that no stablecoin - a type of cryptocurrency, such as Libra, that is often backed by traditional assets - should begin operation until it was properly regulated.

Also read | Why did Twitter owner’s payments firm buy Bitcoin worth $50 million?

The Libra project, unveiled by Facebook last year, was relaunched in slimmed-down form in April after regulators and central banks across the world raised concerns it could upset financial stability and erode mainstream power over money.

Libra is now seeking to issue a series of stablecoins backed by individual traditional currencies. It has hired a number of senior executives since applying for a Swiss payments license in April, many of them are specialised in financial compliance and with ties to U.S. government and authorities.

In September, the project appointed former HSBC European head James Emmett to lead Libra Networks. It also tapped HSBC's former chief legal officer Stuart Levey - formerly a U.S. Treasury official during the Bush and Obama administrations - to head the association itself.",,https://www.thehindu.com/incoming/1pn7a7/article32869517.ece/ALTERNATES/LANDSCAPE_615/reuters-librajpg,https://www.thehindu.com/sci-tech/technology/facebooks-libra-cryptocurrency-taps-ex-hsbc-exec-as-cfo-of-payments-unit/article32869496.ece
9,2020/10/16,A tool to measure how people feel online,"The hedonometer reflects a 10% random sampling of over 500 million messages posted to Twitter daily.

(Subscribe to our Today's Cache newsletter for a quick snapshot of top 5 tech stories. Click here to subscribe for free.)

Researchers at the University of Vermont have developed a tool, called Hedonometer, to gauge the level of happiness of large populations online in real-time. It measures the online sentiment and mental health situation of people posting content.

The tool uses data from social media to measure how people present themselves to the outside world. At present, it uses Twitter as a source, but will soon expand to other sites as well, Hedonometer's website noted.

The name Hedonometer comes from the term coined in the 1800s, which refers to a psychophysical machine used to register the height of pleasure experienced by an individual. The tool's algorithm is described in a study titled 'Temporal Patterns of Happiness and Information in a Global-Scale Social Network: Hedonometrics and Twitter'.

To quantify the level of happiness, the team merged 5,000 frequently used words from four sources — Google Books, New York Times articles, Music lyrics and Twitter's messages, to produce a list of 10,000 unique words.

Using Amazon's Mechanical Turk service, each of these words was scored on a nine-point scale that ranges from sadness to happiness. The team updates the list to include words as they trend online, it stated. The list is available for download.

The hedonometer currently measures Twitter's API. The stream reflects 10% random sampling of the roughly 500 million messages posted to the service daily. Words in messages are thrown into a large bag containing roughly 200 million words per day. This bag is then assigned a happiness score based on the average happiness score of the words contained within.

Also read | Why an online search for Shah Rukh Khan could put you at risk

The team chose Twitter as a source as it provides a massive pool of real-time data. Its user base also represents a strong social signal. The team is also involved in projects that uses the hedonometer to characterise happiness variations with respect to geography, network topology, demographics, and socio-economic data.

The team puts out graphs to portray public sentiment. For instance, the day of Osama Bin Laden's death has a low score on the scale as the hedonometer captured tweets having negative language like 'death', 'war', and 'terrorist'.

Lately, the protests against police brutality in May scored 5.6 on the hedonometer, making it the saddest day recorded by the tool so far. The tool picked up words like 'anger', 'no', 'violence', 'terrorist', and 'racist' to assign the score.

The team hopes to incorporate other emotions like anger, fear, and surprise into the tool soon.",,https://www.thehindu.com/incoming/51j1v2/article32869267.ece/ALTERNATES/LANDSCAPE_615/social-reutersjpg,https://www.thehindu.com/sci-tech/technology/a-tool-to-measure-how-people-feel-online/article32869263.ece
